Iteration	Replicate_ID	Posterior	Likelihood	Prior	diversification	extinction_rate	speciation_rate	turnover
73	1	-17387.8	-17288.1	-99.6935	-3.40454	3.409225	0.004684947	727.6977
74	0	-17176	-17076.2	-99.7272	4.003385	0.01291603	4.016301	0.003215901
75	1	-17400.6	-17300.5	-100.108	-3.338541	3.359636	0.02109422	159.268
76	0	-17183.1	-17083	-100.151	3.261975	0.02595324	3.287929	0.007893493
77	1	-17394.8	-17294.6	-100.233	-3.782543	3.821103	0.03855958	99.09606
78	0	-17180.9	-17080.2	-100.656	4.021369	0.05465443	4.076023	0.01340876
79	1	-17402.3	-17301.8	-100.516	-3.364411	3.413219	0.04880815	69.93132
80	0	-17191.1	-17090.5	-100.603	3.852679	0.05998197	3.912661	0.01533022
81	1	-17008.9	-16909.7	-99.18	-3.541218	3.60323	0.06201257	58.10484
82	0	-17187.6	-17087.3	-100.312	3.521504	0.05442037	3.575925	0.01521854
83	1	-16997.2	-16898	-99.1155	-4.169994	4.211556	0.04156225	101.3313
84	0	-17018.1	-16918.9	-99.2693	3.898635	0.04580453	3.944439	0.01161243
85	1	-17011.3	-16910.8	-100.491	-3.699701	3.878838	0.179137	21.65291
86	0	-17014.8	-16914.8	-100.041	4.283267	0.08232031	4.365587	0.01885664
87	1	-17008	-16908.8	-99.1783	-3.653719	3.727778	0.0740593	50.33504
88	0	-17017.8	-16918.8	-99.0103	3.564071	0.05387685	3.617948	0.01489155
89	1	-17002.8	-16902.9	-99.9792	-3.014819	3.076012	0.06119353	50.26696
90	0	-17012.1	-16913	-99.1329	3.784793	0.08578978	3.870583	0.02216456
91	1	-17000.5	-16902.1	-98.3469	-3.883726	3.890157	0.006430885	604.9178
92	0	-17013.6	-16915	-98.5886	3.841153	0.04317672	3.88433	0.01111562
93	1	-16997.2	-16898.8	-98.4588	-4.141441	4.150482	0.009041084	459.0691
94	0	-17015.7	-16915.6	-100.146	3.256368	0.1459604	3.402329	0.04290014
95	1	-16995.5	-16895.5	-99.9914	-3.618565	3.768405	0.1498394	25.14962
96	0	-17010.3	-16911.8	-98.489	3.815798	0.0161046	3.831903	0.004202769
97	1	-16999.1	-16897.3	-101.833	-4.834297	4.967056	0.1327597	37.41389
98	0	-17014.7	-16915.9	-98.8226	3.277373	0.007248777	3.284622	0.002206883
99	1	-17001.4	-16898.2	-103.207	-4.311911	4.633773	0.3218616	14.39679
100	0	-17012.8	-16913.8	-98.948	3.350715	0.04784023	3.398555	0.01407664
101	1	-16997.7	-16894.8	-102.854	-4.84368	5.043725	0.2000448	25.21297
102	0	-17012.5	-16912.7	-99.8614	4.373525	0.09327183	4.466796	0.02088115
103	1	-16998.2	-16897.4	-100.81	-4.023364	4.207321	0.1839571	22.87121
104	0	-17010.2	-16910.8	-99.3865	4.442372	0.05260577	4.494978	0.01170323
105	1	-17001.7	-16903.3	-98.3934	-3.418207	3.418954	0.0007475097	4573.792
106	0	-17021	-16921.5	-99.4214	3.793011	0.1027265	3.895737	0.02636895
107	1	-17003.3	-16903.9	-99.3202	-3.525854	3.628818	0.1029639	35.24358
108	0	-17018	-16919.3	-98.679	4.086401	0.009703505	4.096104	0.002368959
109	1	-16998.4	-16899.9	-98.4593	-3.608506	3.624225	0.01571927	230.5594
110	0	-17006.7	-16907.7	-98.966	3.281668	0.02356121	3.305229	0.007128465
111	1	-16990.5	-16892.3	-98.1944	-3.693627	3.706801	0.01317449	281.362
112	0	-17010.8	-16911.5	-99.3449	4.245015	0.06205937	4.307074	0.01440871
113	1	-16995.6	-16897.1	-98.4167	-3.767232	3.787661	0.02042847	185.4109
114	0	-17015.9	-16917.5	-98.3994	3.862696	0.02777239	3.890468	0.007138572
115	1	-16996.5	-16897.2	-99.2949	-3.408201	3.502944	0.09474361	36.97288
116	0	-17011.7	-16912.6	-99.0291	4.284432	0.02524229	4.309674	0.005857123
117	1	-16994.1	-16895.3	-98.8042	-3.869332	3.932066	0.06273323	62.67915
118	0	-17013.5	-16913.8	-99.7482	3.137795	0.06690577	3.204701	0.02087738
119	1	-16996.8	-16894.8	-101.945	-4.537069	4.75941	0.2223413	21.40587
120	0	-17018.4	-16918.2	-100.207	4.349855	0.09271756	4.442572	0.02087024
121	1	-16998.9	-16900.5	-98.3223	-3.58101	3.589472	0.008462715	424.1514
122	0	-17013.8	-16914.2	-99.5178	3.941537	0.08362778	4.025165	0.02077624
123	1	-16995.8	-16897.3	-98.5476	-3.521541	3.568541	0.04699961	75.92702
124	0	-17010.1	-16909.5	-100.515	4.077121	0.1651587	4.24228	0.03893159
125	1	-16999.5	-16900	-99.4596	-3.849586	3.980241	0.1306554	30.46366
126	0	-17019.8	-16920.8	-98.999	3.866958	0.05313264	3.92009	0.01355393
127	1	-16991.2	-16892.7	-98.5411	-4.159693	4.192924	0.03323041	126.1773
128	0	-17011.3	-16912.5	-98.7782	4.247419	0.000939693	4.248358	0.0002211897
129	1	-16989.3	-16891.1	-98.1833	-3.849987	3.869814	0.01982719	195.1772
130	0	-17015.6	-16916.8	-98.7541	3.400669	0.002125413	3.402794	0.0006246081
