Iteration	Posterior	Likelihood	Prior	clock_rate	event_rate	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction_mean	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation_mean	speciation_sd
34	-16798.5	-16539.9	-258.643	0.009074474	0.04895668	0.238416	0.238416	0.238416	0.238416	0.2384165	0.0682079	0.117995	0.179576	0.310655	0.1455649	0.6589832
35	-16672.4	-16414.6	-257.796	0.008179242	0.02876819	0.28963	0.28963	0.28963	0.28963	0.2896298	0.068608	0.118186	0.179286	0.308844	0.1455649	0.6538996
36	-16666.6	-16408	-258.565	0.008179242	0.04568278	0.198752	0.198752	0.198752	0.198752	0.1987523	0.0639737	0.110203	0.167175	0.287982	0.1357324	0.6538996
37	-16663.2	-16403.4	-259.773	0.008179242	0.04568278	0.290753	0.290753	0.290753	0.290753	0.2907535	0.058371	0.107441	0.171474	0.315624	0.1357324	0.733573
38	-16663.2	-16403.3	-259.866	0.008179242	0.05593931	0.233736	0.233736	0.233736	0.233736	0.2337358	0.0648126	0.110602	0.166573	0.284255	0.1357324	0.6425751
39	-16651.1	-16390.2	-260.929	0.008179242	0.07579662	0.233736	0.233736	0.233736	0.233736	0.2337358	0.0648126	0.110602	0.166573	0.284255	0.1357324	0.6425751
40	-16646.4	-16384.5	-261.979	0.008179242	0.07579662	0.213152	0.213152	0.213152	0.213152	0.2131519	0.0513822	0.101263	0.170298	0.335618	0.1313194	0.8157005
41	-16634.4	-16373.2	-261.232	0.008179242	0.06235516	0.213152	0.213152	0.213152	0.213152	0.2131519	0.043344	0.0834589	0.137879	0.265486	0.1072717	0.7877574
42	-16632.5	-16371.3	-261.248	0.008179242	0.08449977	0.18002	0.18002	0.18002	0.18002	0.1800201	0.0417512	0.0803919	0.132812	0.255729	0.1033296	0.7877574
43	-16627.6	-16366.7	-260.959	0.008179242	0.05165897	0.18002	0.18002	0.18002	0.18002	0.1800201	0.0417512	0.0803919	0.132812	0.255729	0.1033296	0.7877574
44	-16625.8	-16365.1	-260.659	0.008179242	0.03543863	0.18002	0.18002	0.18002	0.18002	0.1800201	0.0387405	0.0745948	0.123235	0.237289	0.09587852	0.7877574
45	-16625.4	-16364	-261.462	0.008179242	0.05536466	0.204381	0.204381	0.204381	0.204381	0.2043812	0.0262489	0.0639074	0.126372	0.307675	0.08986723	1.069858
46	-16629.4	-16367.8	-261.579	0.008179242	0.07862113	0.204381	0.204381	0.204381	0.204381	0.2043812	0.0407874	0.0798598	0.133633	0.261647	0.103305	0.8078518
47	-16630	-16368.1	-261.89	0.008179242	0.09645807	0.196053	0.196053	0.196053	0.196053	0.1960534	0.0407874	0.0798598	0.133633	0.261647	0.103305	0.8078518
48	-16626.7	-16364	-262.724	0.008179242	0.1125454	0.128165	0.128165	0.128165	0.128165	0.1281651	0.0445624	0.0872509	0.146001	0.285863	0.1128661	0.8078518
49	-16629.4	-16366.9	-262.482	0.008179242	0.1125454	0.137959	0.137959	0.137959	0.137959	0.1379588	0.0445624	0.0872509	0.146001	0.285863	0.1128661	0.8078518
50	-16630.9	-16368.9	-261.969	0.008179242	0.1816056	0.115671	0.115671	0.115671	0.115671	0.1156711	0.0445624	0.0872509	0.146001	0.285863	0.1128661	0.8078518
51	-16635.4	-16371.2	-264.218	0.008179242	0.08950083	0.115671	0.115671	0.115671	0.115671	0.1156711	0.0356094	0.0781069	0.142583	0.312746	0.1055306	0.9444012
52	-16628.5	-16366.5	-262.043	0.008179242	0.1131401	0.115671	0.115671	0.115671	0.115671	0.1156711	0.0476068	0.0854279	0.133711	0.239938	0.106877	0.7030057
53	-16637.3	-16376.5	-260.772	0.008179242	0.1383644	0.100373	0.100373	0.100373	0.100373	0.1003727	0.114126	0.145934	0.176185	0.22529	0.1603478	0.2955996
54	-16633.9	-16370.7	-263.203	0.008179242	0.2079375	0.100373	0.100373	0.100373	0.100373	0.1003727	0.137806	0.180399	0.221747	0.290285	0.2000077	0.3238219
55	-16632.3	-16369.5	-262.732	0.008179242	0.1595546	0.0883013	0.0883013	0.0883013	0.0883013	0.0883013	0.0981418	0.114638	0.129131	0.150836	0.1216689	0.1868041
56	-16631.2	-16369.3	-261.854	0.008179242	0.1595546	0.0775807	0.0775807	0.0775807	0.0775807	0.0775807	0.0810895	0.108735	0.136141	0.182555	0.1216689	0.3527192
