Iteration	Posterior	Likelihood	Prior	diversification	extinction_rate	speciation_rate	turnover
0	-68808	-68519.9	-288.118	-0.05251853	0.06179839	0.009279861	6.659409
10	-57117.7	-56852.5	-265.2	-0.1196412	0.1259031	0.00626189	20.10624
20	-43695.5	-43469.1	-226.424	-0.260872	0.2735108	0.01263884	21.64051
30	-33842.9	-33669.2	-173.619	-0.9132523	0.9441617	0.03090944	30.54606
40	-27720.7	-27577.2	-143.431	-1.60612	1.616586	0.0104656	154.4667
50	-22855.7	-22722.1	-133.56	-1.584698	1.588006	0.003307176	480.1696
60	-19895.9	-19771	-124.991	-2.105237	2.11943	0.01419356	149.3234
70	-18703.5	-18581.4	-122.116	-2.328631	2.353537	0.02490661	94.49449
80	-17994.1	-17888.4	-105.719	-2.87315	2.925564	0.05241387	55.81661
90	-17928	-17822.2	-105.826	-2.740055	2.858451	0.1183964	24.14305
100	-17912.9	-17806.9	-105.957	-3.465286	3.670053	0.2047669	17.92308
110	-17877.1	-17770.9	-106.178	-2.996558	3.250104	0.253546	12.8186
120	-17549.1	-17444.3	-104.787	-2.903855	3.235257	0.3314017	9.762341
130	-17540.2	-17435	-105.184	-3.613023	4.009578	0.3965559	10.11101
140	-17514	-17412.5	-101.564	-3.598664	3.695516	0.09685172	38.15643
150	-17513.2	-17412.2	-101.01	-4.062016	4.086313	0.02429737	168.1793
160	-17520	-17418.7	-101.363	-3.92215	3.980976	0.05882576	67.67402
170	-17514.2	-17413.2	-100.913	-3.175071	3.200868	0.02579682	124.08
180	-17518.8	-17417.7	-101.057	-3.383282	3.45315	0.06986832	49.42369
190	-17512.2	-17411.4	-100.742	-3.797113	3.854363	0.05724993	67.32519
200	-17510.9	-17408.8	-102.121	-4.335544	4.421461	0.08591607	51.46256
210	-17508.5	-17407.2	-101.27	-2.987882	3.03193	0.04404832	68.83191
220	-17518.9	-17415.3	-103.574	-4.581697	4.716168	0.1344713	35.07192
230	-17504.3	-17403.3	-100.983	-4.098379	4.134391	0.03601282	114.8033
240	-17511.7	-17411	-100.682	-4.016997	4.042695	0.02569725	157.3201
250	-17518.2	-17417.8	-100.343	-3.790283	3.794163	0.003880023	977.8712
260	-17526.2	-17425.8	-100.417	-3.880931	3.889563	0.008632196	450.5879
270	-17513.5	-17413.2	-100.34	-3.227164	3.238664	0.01150041	281.613
280	-17395.4	-17295.7	-99.7227	-3.706888	3.719069	0.01218129	305.31
290	-17398.7	-17298.9	-99.8599	-3.229589	3.235194	0.005605189	577.1784
300	-17394.7	-17293.5	-101.209	-2.803491	2.804615	0.00112398	2495.252
310	-17385.2	-17285.4	-99.8388	-3.813368	3.813843	0.000475061	8028.111
320	-17396.9	-17296.3	-100.608	-4.321511	4.322605	0.001093967	3951.312
330	-17399.4	-17299.5	-99.9717	-3.886417	3.886962	0.0005446115	7137.128
340	-17397.7	-17297.9	-99.8312	-3.619942	3.622902	0.002959994	1223.956
350	-17387	-17287.2	-99.782	-3.952532	3.953857	0.001324334	2985.543
360	-17387.8	-17288.1	-99.6935	-3.40454	3.409225	0.004684947	727.6977
370	-17400.6	-17300.5	-100.108	-3.338541	3.359636	0.02109422	159.268
380	-17394.8	-17294.6	-100.233	-3.782543	3.821103	0.03855958	99.09606
390	-17402.3	-17301.8	-100.516	-3.364411	3.413219	0.04880815	69.93132
400	-17008.9	-16909.7	-99.18	-3.541218	3.60323	0.06201257	58.10484
410	-16997.2	-16898	-99.1155	-4.169994	4.211556	0.04156225	101.3313
420	-17011.3	-16910.8	-100.491	-3.699701	3.878838	0.179137	21.65291
430	-17008	-16908.8	-99.1783	-3.653719	3.727778	0.0740593	50.33504
440	-17002.8	-16902.9	-99.9792	-3.014819	3.076012	0.06119353	50.26696
450	-17000.5	-16902.1	-98.3469	-3.883726	3.890157	0.006430885	604.9178
460	-16997.2	-16898.8	-98.4588	-4.141441	4.150482	0.009041084	459.0691
470	-16995.5	-16895.5	-99.9914	-3.618565	3.768405	0.1498394	25.14962
480	-16999.1	-16897.3	-101.833	-4.834297	4.967056	0.1327597	37.41389
490	-17001.4	-16898.2	-103.207	-4.311911	4.633773	0.3218616	14.39679
500	-16997.7	-16894.8	-102.854	-4.84368	5.043725	0.2000448	25.21297
510	-16998.2	-16897.4	-100.81	-4.023364	4.207321	0.1839571	22.87121
520	-17001.7	-16903.3	-98.3934	-3.418207	3.418954	0.0007475097	4573.792
530	-17003.3	-16903.9	-99.3202	-3.525854	3.628818	0.1029639	35.24358
