Iteration	Posterior	Likelihood	Prior	branch_rate[1]	branch_rate[2]	branch_rate[3]	branch_rate[4]	branch_rate[5]	branch_rate[6]	branch_rate[7]	branch_rate[8]	branch_rate[9]	branch_rate[10]	branch_rate[11]	branch_rate[12]	branch_rate[13]	branch_rate[14]	branch_rate[15]	branch_rate[16]	branch_rate[17]	branch_rate[18]	branch_rate[19]	branch_rate[20]	branch_rate[21]	branch_rate[22]	branch_rate[23]	branch_rate[24]	branch_rate[25]	branch_rate[26]	branch_rate[27]	branch_rate[28]	branch_rate[29]	branch_rate[30]	branch_rate[31]	branch_rate[32]	branch_rate[33]	branch_rate[34]	branch_rate[35]	branch_rate[36]	branch_rate[37]	branch_rate[38]	branch_rate[39]	branch_rate[40]	branch_rate[41]	branch_rate[42]	branch_rate[43]	branch_rate[44]	branch_rate[45]	branch_rate[46]	branch_rate[47]	branch_rate[48]	branch_rate[49]	branch_rate[50]	branch_rate[51]	branch_rate[52]	branch_rate[53]	branch_rate[54]	branch_rate[55]	branch_rate[56]	branch_rate[57]	branch_rate[58]	branch_rate[59]	branch_rate[60]	branch_rate[61]	branch_rate[62]	branch_rate[63]	branch_rate[64]	branch_rate[65]	branch_rate[66]	branch_rate[67]	branch_rate[68]	branch_rate[69]	branch_rate[70]	branch_rate[71]	branch_rate[72]	branch_rate[73]	branch_rate[74]	branch_rate[75]	branch_rate[76]	branch_rate[77]	branch_rate[78]	branch_rate[79]	branch_rate[80]	branch_rate[81]	branch_rate[82]	branch_rate[83]	branch_rate[84]	branch_rate[85]	branch_rate[86]	branch_rate[87]	branch_rate[88]	branch_rate[89]	branch_rate[90]	branch_rate[91]	branch_rate[92]	branch_rate[93]	branch_rate[94]	branch_rate[95]	branch_rate[96]	branch_rate[97]	branch_rate[98]	clock_rate	event_rate	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction_mean	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation_mean	speciation_sd
0	-67354.8	-66905.8	-448.934	3.96488	7.21431	6.25174	4.27414	5.05532	5.48391	4.32615	4.26891	4.60599	3.74005	3.87004	2.20105	3.14643	3.44246	3.20958	3.94559	5.968	3.66589	7.80302	7.3394	4.6211	3.96212	3.86897	8.93713	3.85945	5.39378	6.26132	4.30695	4.82559	4.3502	4.77654	4.86786	4.94206	2.81499	3.40783	3.8692	2.16151	2.83796	5.25805	1.5962	3.43809	3.90141	3.14952	5.55096	4.6858	3.16007	4.32986	2.56177	4.74865	3.30739	3.04357	2.98807	2.68159	6.92451	5.91407	5.08451	3.50853	4.3913	3.8479	3.45241	5.30652	4.45048	5.06013	5.32621	5.96913	3.26937	3.18518	3.55169	1.66888	4.01947	3.25369	4.74	2.6789	4.344	7.37146	2.57256	5.25248	6.00528	2.14642	6.11195	3.73355	7.22174	2.62117	3.5775	4.00539	6.32048	2.83593	5.13698	3.41665	4.95339	4.12445	4.41015	7.24944	4.45458	3.68254	3.44955	8.90949	4.34296	4.459625	0.01089803	0.0490217	0.0490217	0.0490217	0.0490217	0.04902169	0.0721389	0.0900553	0.10674	0.13325	0.09804339	0.2667157
100	-15053.5	-15052.3	-1.19815	0.0981852	0.0329413	0.0505127	0.0404567	0.0506414	0.0502843	0.0465749	0.029878	0.0251258	0.0535014	0.0451075	0.0346917	0.0382754	0.047252	0.0441046	0.0566853	0.053195	0.0333535	0.0359441	0.0570169	0.0356572	0.0699948	0.0769909	0.0299458	0.0692339	0.033523	0.0430099	0.0321935	0.0519146	0.0198751	0.043176	0.0506268	0.037381	0.045887	0.0791295	0.0512313	0.0417412	0.0447459	0.0737257	0.0492198	0.0315506	0.0424546	0.0373635	0.046328	0.0372571	0.0622171	0.052262	0.0708999	0.0538992	0.0473591	0.00881683	0.0365871	0.0951738	0.0596525	0.0343784	0.0437386	0.0662704	0.0487804	0.0705356	0.0269001	0.025517	0.0485523	0.0522788	0.0715899	0.0758605	0.0455369	0.106109	0.0537198	0.0684971	0.0588145	0.0426538	0.0378973	0.0436861	0.0585522	0.0431451	0.0465963	0.049809	0.0369341	0.0822721	0.041769	0.0508093	0.0271767	0.00362997	0.033378	0.0487562	0.0299376	0.0364665	0.0263409	0.0133284	0.0510832	0.0988046	0.0724873	0.0413248	0.0590566	0.0363978	0.0163945	0.0303571	0.00389843	0.04830641	0.1088521	1.12811	1.12811	1.12811	1.12811	1.128111	0.00599294	0.0403092	0.173644	1.16795	0.08366285	2.291663
200	-14913.6	-14974.7	61.0894	0.0596735	0.0297129	0.0552911	0.0366627	0.0325448	0.0299756	0.0342305	0.0302319	0.0277911	0.0505564	0.0201295	0.0194543	0.0488689	0.0389635	0.0207196	0.0232017	0.0225491	0.0384469	0.0214969	0.0390401	0.0313943	0.028017	0.0223787	0.0330623	0.0407507	0.0263797	0.0270702	0.0306994	0.0359997	0.0338183	0.0304513	0.0407102	0.043187	0.0376682	0.0435547	0.0284766	0.0375008	0.035569	0.0501958	0.0419816	0.0287028	0.044807	0.0340876	0.0257928	0.0247474	0.0369399	0.0184105	0.0347931	0.0496601	0.0406751	0.0276765	0.0312784	0.0409872	0.0490913	0.031716	0.0382338	0.0443429	0.0408718	0.0276319	0.0249732	0.0242508	0.0366408	0.0295077	0.055618	0.030619	0.0392207	0.0823911	0.0311547	0.0534956	0.0868243	0.032219	0.030107	0.0406806	0.0496695	0.0250728	0.0261092	0.0269274	0.0338856	0.0395396	0.0699953	0.0305147	0.0368723	0.00353908	0.022904	0.0290421	0.0373419	0.0331444	0.0316907	0.0163457	0.0297822	0.0471368	0.034629	0.0222781	0.035537	0.0622286	0.0323318	0.0275247	0.0030496	0.03430302	0.02944797	0.995016	0.995016	0.995016	0.995016	0.995016	0.0144628	0.0665008	0.214047	0.984204	0.1193077	1.834336
300	-14908.3	-14977.8	69.5047	0.058494	0.0178545	0.0474528	0.0207762	0.0261338	0.0406328	0.0168891	0.0192362	0.0196576	0.0258356	0.0262682	0.0257119	0.0398227	0.0298119	0.0316963	0.0320911	0.0340654	0.0359431	0.0214964	0.0212117	0.0309999	0.0240498	0.0242592	0.027232	0.0294899	0.0227308	0.0199078	0.0523932	0.0171038	0.0292552	0.0276456	0.0307964	0.0329892	0.0254018	0.0353685	0.0313355	0.0386627	0.0421689	0.0490907	0.0354718	0.0337069	0.0422167	0.0361867	0.0257957	0.0218277	0.0482009	0.016583	0.0393029	0.0497038	0.0419212	0.0227274	0.0201011	0.0417512	0.0543859	0.0344115	0.0449915	0.0314902	0.0260976	0.0230404	0.0227874	0.0229462	0.0572149	0.0401623	0.0487513	0.0433021	0.0302837	0.0367494	0.0383357	0.0238029	0.0708298	0.0323827	0.0363504	0.031696	0.0264193	0.0252579	0.0346975	0.0180334	0.0261021	0.0246453	0.0412482	0.023207	0.039936	0.00350517	0.0229866	0.0276603	0.0367578	0.0355856	0.0320921	0.0292858	0.0206268	0.0275124	0.0375567	0.0273717	0.0290578	0.0525139	0.0401032	0.0464981	0.0033646	0.03042387	0.150304	1.03762	1.03762	1.03762	1.03762	1.037617	0.0145235	0.0673001	0.217911	1.00977	0.1211009	1.84366
400	-14907.5	-14980.1	72.6167	0.0509703	0.0280617	0.0391696	0.0323862	0.0340783	0.0451588	0.0422044	0.0197412	0.0159241	0.0444917	0.0283156	0.0334792	0.0314951	0.0286329	0.0233977	0.0290771	0.01856	0.0249662	0.0274662	0.0371454	0.0201106	0.0322771	0.0310244	0.034168	0.0557063	0.0370982	0.0208424	0.0303044	0.0227065	0.0303296	0.0267671	0.028181	0.0182618	0.0315817	0.0388545	0.0346122	0.0313186	0.0270058	0.0305936	0.0679654	0.0418684	0.0417513	0.0341602	0.0240744	0.0307828	0.0418848	0.0227932	0.0497809	0.0398227	0.0334816	0.0349325	0.0209136	0.0288781	0.0302127	0.0244134	0.0495375	0.0311102	0.0191997	0.0210181	0.0234081	0.0137476	0.0377005	0.0335697	0.0364913	0.0145316	0.0242212	0.0470217	0.0603486	0.0216603	0.0424585	0.0243682	0.0399206	0.0192959	0.0588024	0.0369676	0.0426127	0.0393669	0.0282352	0.0262749	0.0331979	0.0320773	0.029764	0.00377521	0.0255551	0.0267854	0.0396526	0.0184959	0.0339272	0.0279491	0.0289931	0.0317266	0.0304494	0.0279316	0.0291262	0.0405055	0.0284979	0.0395107	0.00322974	0.03010855	0.06614584	0.877766	0.877766	0.877766	0.877766	0.8777665	0.00697769	0.0400443	0.152748	0.876605	0.07820918	2.100814
500	-14914.2	-14986.2	72.0255	0.0558676	0.0272193	0.0218902	0.0117908	0.02516	0.037143	0.0389868	0.0413954	0.0176255	0.0540471	0.0246061	0.0252806	0.0391648	0.0405169	0.0222957	0.0260875	0.0258616	0.03816	0.0189551	0.0326586	0.0386636	0.0295336	0.0306063	0.0281883	0.0203928	0.0161702	0.0136814	0.0359682	0.0317075	0.0341231	0.02126	0.0224969	0.0225475	0.0264735	0.0318861	0.0329294	0.027729	0.0345515	0.0389082	0.0299764	0.0153874	0.0355564	0.038786	0.0397758	0.0217239	0.0397556	0.0298393	0.0511936	0.0517401	0.0466092	0.027839	0.0276673	0.0318525	0.0403768	0.0217701	0.0430007	0.0434534	0.0309789	0.0254579	0.0270385	0.0271392	0.0344955	0.0223419	0.0265932	0.0187475	0.024007	0.04026	0.0270552	0.0205326	0.0424333	0.0357467	0.0188289	0.0202028	0.02833	0.0331958	0.0286407	0.0143531	0.0391369	0.0244481	0.0356124	0.021844	0.0407458	0.00371926	0.018446	0.017368	0.0407368	0.0334693	0.0231522	0.026247	0.0199047	0.0428919	0.0275737	0.0371088	0.030677	0.0518471	0.0131077	0.0342881	0.00330765	0.02821677	0.1849187	0.88096	0.88096	0.88096	0.88096	0.8809598	0.0141014	0.0631007	0.198917	0.890109	0.1120348	1.801656
600	-14905.6	-14993.8	88.2245	0.0408706	0.0176956	0.0342252	0.0308112	0.0370036	0.0227667	0.0301022	0.0329609	0.0138299	0.030698	0.0235207	0.0170439	0.0371017	0.0327484	0.0273524	0.0281358	0.0282905	0.033338	0.0339474	0.0185822	0.0272361	0.0265925	0.0286332	0.0373365	0.0218333	0.0178609	0.0193739	0.0217702	0.0256844	0.0328759	0.0209519	0.0281127	0.0375723	0.0197169	0.0230227	0.0294738	0.0292465	0.030616	0.0514052	0.0299887	0.0258438	0.0409356	0.0350905	0.0309718	0.0299351	0.048397	0.0356992	0.0495175	0.0378826	0.0292694	0.032833	0.0271321	0.0518395	0.0394631	0.0237006	0.0379784	0.0439661	0.0277165	0.0288034	0.0221316	0.0349295	0.0320412	0.0283294	0.0287558	0.030389	0.0295146	0.0288074	0.0217625	0.0290066	0.0494017	0.0173524	0.0281536	0.0270968	0.0484249	0.0280084	0.0369383	0.0248965	0.0329006	0.0335516	0.0555859	0.0354336	0.0281671	0.00450207	0.026558	0.0317529	0.0549103	0.0299453	0.0406588	0.0248858	0.0341236	0.0394718	0.0390451	0.0289938	0.0279189	0.0363901	0.0171203	0.0230074	0.00319805	0.0303264	0.1316769	0.85892	0.85892	0.85892	0.85892	0.8589197	0.00297227	0.0233787	0.113542	0.893073	0.05152141	2.47983
700	-14893.8	-14981.8	87.943	0.0409068	0.0145326	0.0392832	0.0370617	0.0563047	0.0312352	0.0341101	0.0207955	0.0112217	0.0379587	0.0268309	0.0247255	0.0339481	0.0391679	0.0222035	0.0201257	0.0300123	0.0392654	0.0201752	0.0240189	0.0258007	0.0244685	0.0229628	0.031683	0.0324082	0.0156561	0.0288833	0.0296311	0.0218736	0.0259166	0.0196708	0.021065	0.0304804	0.0232546	0.0369435	0.0359339	0.030932	0.0283363	0.0371307	0.0530352	0.0307547	0.0449341	0.0413642	0.0186028	0.0252871	0.0285964	0.0315489	0.0384997	0.0368468	0.0302893	0.0329071	0.0302476	0.0446347	0.0251316	0.0178008	0.0336516	0.0240093	0.023813	0.0253788	0.0286682	0.0369209	0.0247849	0.0158016	0.0261842	0.0257989	0.0181292	0.0429384	0.0291345	0.0343106	0.0422286	0.0323077	0.0186797	0.0288759	0.0264514	0.0293504	0.0466469	0.0214295	0.0240641	0.0418714	0.0452102	0.0235564	0.0430585	0.00409318	0.0415644	0.0206137	0.0347433	0.0238139	0.0426046	0.0288809	0.0203447	0.03461	0.035642	0.016738	0.0285599	0.0479272	0.0227051	0.028037	0.00380739	0.02862705	0.04619514	1.12264	1.12264	1.12264	1.12264	1.122642	0.0275638	0.103108	0.283336	1.05987	0.1709212	1.586212
800	-14894.4	-14977.6	83.1514	0.0522849	0.021992	0.0279194	0.0325306	0.0288493	0.0290892	0.0256256	0.0275836	0.0161245	0.0398665	0.0326566	0.0356953	0.0415021	0.0314235	0.0194191	0.0235449	0.0194357	0.0291341	0.0247647	0.0259136	0.0231725	0.0256893	0.0279506	0.0255887	0.0338648	0.019497	0.0186391	0.0233577	0.0259123	0.0306345	0.0203546	0.0127017	0.0183529	0.0229973	0.0367575	0.0314545	0.0262554	0.0314532	0.0419754	0.026432	0.0312232	0.027201	0.0271609	0.0265474	0.0179453	0.0297728	0.0313149	0.0273322	0.0446571	0.0342879	0.0174934	0.0292552	0.0451887	0.0444427	0.032905	0.0390743	0.0308593	0.0392687	0.0277613	0.0202221	0.0224735	0.040813	0.019559	0.0526546	0.0239499	0.0212342	0.0513201	0.0306748	0.023777	0.0752644	0.0300824	0.0323777	0.0184994	0.0276374	0.0261882	0.0280318	0.0386194	0.0326683	0.0237143	0.0289956	0.0204957	0.0213801	0.00314115	0.0267732	0.0236149	0.0550663	0.0255378	0.050045	0.0299015	0.0160287	0.0270687	0.0321856	0.0426335	0.025537	0.0417708	0.0205433	0.029079	0.00388541	0.02924263	0.1923075	0.727867	0.727867	0.727867	0.727867	0.7278672	0.0381419	0.117364	0.277689	0.854462	0.1805291	1.351398
900	-14886.4	-14970.4	83.9612	0.0496694	0.0150824	0.0354549	0.0190587	0.0252776	0.026689	0.0244071	0.0214151	0.0181217	0.0367899	0.0179758	0.0328764	0.0298431	0.0355128	0.0250563	0.0336711	0.0248352	0.054564	0.0231855	0.0136328	0.0257562	0.0280602	0.0258148	0.0325008	0.0428004	0.0256315	0.0160304	0.0161812	0.0437932	0.0308575	0.0195535	0.0271076	0.0268701	0.0195082	0.0280537	0.0320936	0.0229733	0.0345979	0.0284938	0.0349549	0.0231998	0.0335462	0.0332685	0.0257557	0.0130094	0.0287629	0.0286701	0.0311368	0.0271652	0.0321493	0.0214696	0.0239384	0.0289854	0.0370202	0.0176252	0.0397636	0.0246852	0.0254402	0.0226805	0.0254571	0.0269278	0.0373288	0.0340833	0.0426498	0.0258547	0.0376752	0.0351088	0.0299705	0.0217225	0.0321719	0.0203036	0.0285435	0.0231046	0.0180052	0.0230516	0.034561	0.0145676	0.0297787	0.0308896	0.0486813	0.0218896	0.0290966	0.0043182	0.0279555	0.0177379	0.0357061	0.0308069	0.0455323	0.0369653	0.0168755	0.0462954	0.0333502	0.0152975	0.0251971	0.0354491	0.0287623	0.0187044	0.00275018	0.02633451	0.02148993	0.48315	0.48315	0.48315	0.48315	0.4831495	0.139741	0.218722	0.308301	0.48255	0.2596772	0.5386583
