Iteration	Replicate_ID	Posterior	Likelihood	Prior	branch_rate[1]	branch_rate[2]	branch_rate[3]	branch_rate[4]	branch_rate[5]	branch_rate[6]	branch_rate[7]	branch_rate[8]	branch_rate[9]	branch_rate[10]	branch_rate[11]	branch_rate[12]	branch_rate[13]	branch_rate[14]	branch_rate[15]	branch_rate[16]	branch_rate[17]	branch_rate[18]	branch_rate[19]	branch_rate[20]	branch_rate[21]	branch_rate[22]	branch_rate[23]	branch_rate[24]	branch_rate[25]	branch_rate[26]	branch_rate[27]	branch_rate[28]	branch_rate[29]	branch_rate[30]	branch_rate[31]	branch_rate[32]	branch_rate[33]	branch_rate[34]	branch_rate[35]	branch_rate[36]	branch_rate[37]	branch_rate[38]	branch_rate[39]	branch_rate[40]	branch_rate[41]	branch_rate[42]	branch_rate[43]	branch_rate[44]	branch_rate[45]	branch_rate[46]	branch_rate[47]	branch_rate[48]	branch_rate[49]	branch_rate[50]	branch_rate[51]	branch_rate[52]	branch_rate[53]	branch_rate[54]	branch_rate[55]	branch_rate[56]	branch_rate[57]	branch_rate[58]	branch_rate[59]	branch_rate[60]	branch_rate[61]	branch_rate[62]	branch_rate[63]	branch_rate[64]	branch_rate[65]	branch_rate[66]	branch_rate[67]	branch_rate[68]	branch_rate[69]	branch_rate[70]	branch_rate[71]	branch_rate[72]	branch_rate[73]	branch_rate[74]	branch_rate[75]	branch_rate[76]	branch_rate[77]	branch_rate[78]	branch_rate[79]	branch_rate[80]	branch_rate[81]	branch_rate[82]	branch_rate[83]	branch_rate[84]	branch_rate[85]	branch_rate[86]	branch_rate[87]	branch_rate[88]	branch_rate[89]	branch_rate[90]	branch_rate[91]	branch_rate[92]	branch_rate[93]	branch_rate[94]	branch_rate[95]	branch_rate[96]	branch_rate[97]	branch_rate[98]	clock_rate	event_rate	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction_mean	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation_mean	speciation_sd
0	0	-56297.9	-56058.3	-239.603	0.700073	0.413092	0.830597	0.624692	0.739319	0.62271	0.395275	0.485997	0.457746	0.527672	0.396508	0.536121	0.377168	0.555219	0.551295	0.519534	0.340807	0.301915	0.725224	0.787561	0.427936	0.624335	0.417739	0.604487	0.662894	0.614551	0.504733	0.313786	0.643146	0.528181	0.731186	0.536665	0.829745	0.47552	0.600788	0.509408	0.586308	0.36928	0.992754	1.06382	0.518876	0.485789	0.547853	0.452506	0.384444	0.629692	0.85726	0.330769	0.412295	0.683222	0.2264	0.512451	0.673464	0.607915	0.933414	0.551795	0.344947	0.394001	1.20248	0.455674	0.604535	0.504484	0.519003	0.460935	0.849558	0.72484	0.701193	0.711865	0.565582	0.517826	0.573614	0.556005	0.8276	0.422651	0.613088	0.560284	0.62327	0.651757	0.593191	0.624074	0.381422	0.64252	0.557924	0.526313	0.34546	0.557566	0.983625	0.607762	0.448245	0.615046	0.76298	0.453034	0.920996	1.29856	0.509208	0.866051	0.496192	0.44447	0.5830793	0.04246182	0.0499591	0.0499591	0.0499591	0.0499591	0.04995906	0.0449696	0.0800947	0.124648	0.222008	0.09991811	0.6940192
1	1	-54358.2	-54152.7	-205.532	0.491455	0.26469	0.51456	0.340263	0.367475	0.542169	0.28495	0.488205	0.356529	0.316846	0.141027	0.357075	0.571861	0.370118	0.167359	0.473795	0.405504	0.440426	0.392836	0.421389	0.384016	0.542931	0.615924	0.762065	0.301924	0.555262	0.293648	0.592095	0.321706	0.342307	0.27237	0.420366	0.26099	0.38538	0.42673	0.47633	0.27746	0.446633	0.211432	0.451147	0.326346	0.28685	0.259188	0.347908	0.302251	0.436618	0.333433	0.294629	0.463287	0.278344	0.341723	0.28501	0.424035	0.338002	0.338702	0.610266	0.376762	0.630469	0.278336	0.605717	0.327705	0.47621	0.380878	0.728748	0.346899	0.235007	0.343957	0.853183	0.573921	0.414925	0.430617	0.427021	0.320646	0.456639	0.63466	0.309584	0.398578	0.298714	0.632679	0.341419	0.259885	0.276774	0.363064	0.384082	0.294815	0.429593	0.249182	0.520848	0.546437	0.454838	0.349382	0.33975	0.178173	0.451238	0.357857	0.337469	0.674052	0.320559	0.3919962	0.1878814	0.0499591	0.0499591	0.0499591	0.0499591	0.04995906	0.098366	0.0994857	0.100352	0.101495	0.09991811	0.01360962
2	0	-15926.5	-15976.5	50.0457	0.017866	0.0528977	0.0224538	0.0207779	0.0226887	0.0173683	0.0330773	0.0225302	0.0145398	0.00244597	0.029705	0.0183904	0.0253917	0.0255814	0.0216735	0.0138072	0.01531	0.0248634	0.0193001	0.0187399	0.0182567	0.0163888	0.0368786	0.0204777	0.0215927	0.0122674	0.0171048	0.0294596	0.0199697	0.0260639	0.0156781	0.0140259	0.0190283	0.0227922	0.0150153	0.019166	0.0195444	0.0235307	0.0262594	0.0110879	0.0201104	0.0271476	0.0143391	0.014868	0.0145386	0.023138	0.0278719	0.0178864	0.0172722	0.0259775	0.0283762	0.0272186	0.0189148	0.0306661	0.0234667	0.0139055	0.0149584	0.0190108	0.0255583	0.037498	0.0166426	0.0224448	0.0177483	0.0349218	0.0328782	0.0345339	0.0114988	0.0373188	0.0184634	0.0115719	0.0105817	0.00768238	0.0104091	0.0281528	0.0522394	0.0471705	0.0201642	0.0155342	0.0119616	0.00349104	0.0229891	0.0360691	0.0274069	0.0348405	0.0327968	0.0196985	0.016685	0.0170167	0.0149487	0.00368248	0.0436265	0.0206697	0.0414739	0.0476192	0.00870466	0.0136526	0.0134198	0.0131269	0.02137569	0.175234	0.637003	0.637003	0.637003	0.637003	0.637003	0.0248001	0.084958	0.218245	0.747643	0.1361677	1.480453
3	1	-16201.2	-16243.9	42.7515	0.0200283	0.0137799	0.0135988	0.0113819	0.0138447	0.0150569	0.0491545	0.0292993	0.0223759	0.034235	0.0490914	0.0111192	0.0166244	0.0130807	0.023894	0.017281	0.0125772	0.0153514	0.0159761	0.0130338	0.013751	0.0322333	0.0451655	0.0163281	0.0159031	0.0176667	0.0228845	0.0153263	0.0129811	0.0167287	0.0164493	0.0173116	0.00941464	0.0176172	0.0132639	0.0153244	0.0176597	0.0148718	0.0326241	0.012134	0.0213237	0.035763	0.0143858	0.0192579	0.0190459	0.0161497	0.028298	0.0117258	0.0310796	0.01734	0.0213515	0.00990839	0.0221121	0.0674796	0.00896664	0.01467	0.027004	0.0253821	0.0221975	0.0281455	0.0180114	0.0117427	0.0155098	0.00896268	0.0133273	0.0124387	0.0206945	0.0190957	0.0206388	0.0124746	0.0236257	0.0119597	0.00495461	0.013905	0.0194082	0.0357467	0.0251504	0.0209473	0.0109076	0.0195862	0.0138827	0.0352741	0.025179	0.0256517	0.0207917	0.0139646	0.00345024	0.0157762	0.021517	0.00308279	0.00298013	0.0115318	0.015016	0.0291729	0.0151185	0.00364434	0.00926539	0.013375	0.01840747	0.0746447	0.781397	0.781397	0.781397	0.781397	0.7813973	0.520629	0.604296	0.677394	0.786255	0.6398022	0.1791817
4	0	-15704.5	-15776.2	71.7107	0.0171442	0.0155595	0.0137043	0.020649	0.0108609	0.0127908	0.0220756	0.0279122	0.0138762	0.0117688	0.0189976	0.0152746	0.018515	0.0245537	0.0150765	0.0191829	0.0133681	0.0204163	0.0142365	0.0200594	0.0156195	0.0172933	0.0194603	0.00931509	0.0173725	0.0165447	0.0167336	0.023704	0.014617	0.0234719	0.0172614	0.0182797	0.021152	0.0245741	0.0131158	0.04079	0.0100684	0.0232774	0.0290599	0.0139089	0.0205589	0.0240879	0.0128371	0.0231389	0.0201512	0.0142486	0.0276507	0.0082831	0.027984	0.0262273	0.032097	0.022394	0.0301274	0.0439163	0.031725	0.0141707	0.0135189	0.0136508	0.0383237	0.0224293	0.0122685	0.0210915	0.0203649	0.0401317	0.0287999	0.0333371	0.0162518	0.0166612	0.0149954	0.0153128	0.0227525	0.0245855	0.00820152	0.0257878	0.0559723	0.0295431	0.0056152	0.0200576	0.0104604	0.00227865	0.016962	0.0320467	0.0254733	0.0177899	0.015514	0.0163663	0.0128378	0.0148771	0.0129727	0.00237297	0.0247891	0.0205632	0.0229743	0.0163804	0.0186474	0.0153693	0.0162548	0.00866155	0.01831574	0.07563688	0.0259002	0.0259002	0.0259002	0.0259002	0.02590018	0.0280068	0.0718828	0.148009	0.379883	0.103147	1.133314
5	1	-15650	-15778.7	128.7	0.0112798	0.0118242	0.0138296	0.00889087	0.0106608	0.0124365	0.017506	0.0242836	0.0138416	0.0223016	0.0273666	0.00764648	0.0105632	0.012032	0.0185245	0.0120952	0.0128592	0.0119683	0.0129056	0.00780412	0.0144663	0.0188811	0.0175261	0.0098404	0.0182193	0.00895224	0.0133489	0.0248533	0.0125318	0.0305821	0.0212382	0.0156264	0.013564	0.0110185	0.0121593	0.01458	0.0133814	0.021809	0.0136798	0.00889586	0.0112418	0.0186191	0.0221798	0.00983388	0.00635374	0.0141463	0.0197532	0.00790155	0.0149527	0.00919052	0.0146009	0.0122549	0.0179988	0.0181912	0.00905914	0.00793119	0.0106978	0.0190839	0.0209346	0.0160832	0.00855926	0.018169	0.0104526	0.0190187	0.0177951	0.0202348	0.010441	0.016178	0.0302715	0.0125043	0.0116615	0.0116936	0.00854685	0.00917468	0.0174877	0.0329544	0.0219287	0.01496	0.00791979	0.0124647	0.0184185	0.021153	0.0257951	0.0227247	0.0191408	0.0198549	0.0127943	0.0152889	0.0105272	0.00503266	0.0115186	0.0137743	0.0134777	0.023201	0.0212543	0.00509356	0.0216622	0.0182598	0.01486954	0.1115932	0.495842	0.495842	0.495842	0.495842	0.4958424	0.260203	0.336999	0.410856	0.532117	0.3720998	0.3109501
6	0	-15686.3	-15778.3	92.0613	0.0218534	0.0172183	0.0264467	0.0157839	0.016941	0.011461	0.0207635	0.0235649	0.0138714	0.0235158	0.0251682	0.0172553	0.0145146	0.0111365	0.0169423	0.0198405	0.0162822	0.0115589	0.0175973	0.0259159	0.0144419	0.020517	0.0231924	0.00996804	0.0210637	0.0117189	0.0120466	0.0289571	0.0196663	0.0162198	0.01568	0.0143163	0.0114181	0.0268102	0.0209357	0.0231898	0.0101429	0.0180588	0.0227353	0.00851109	0.0150726	0.0232008	0.0259526	0.0170322	0.0154857	0.0228745	0.0215908	0.0106732	0.0207991	0.0155299	0.0251543	0.0184335	0.0145739	0.046824	0.0221684	0.0143829	0.0121754	0.0197373	0.0206231	0.0240196	0.021954	0.0160072	0.0224716	0.0349467	0.028343	0.0168963	0.0126672	0.0143677	0.0159006	0.0169008	0.0115512	0.0164927	0.0148555	0.0182879	0.0487507	0.0277325	0.0057294	0.0171094	0.0164886	0.00197262	0.0181425	0.0243817	0.0232363	0.00993604	0.0271081	0.0178009	0.0261977	0.0111904	0.0191196	0.0028856	0.026139	0.0107504	0.0305096	0.0285585	0.0189713	0.0101221	0.0140581	0.0179171	0.01870178	0.0297768	0.00553227	0.00553227	0.00553227	0.00553227	0.005532274	0.000418989	0.00466789	0.0296004	0.329773	0.01175462	2.898387
7	1	-15636	-15770.5	134.449	0.0161245	0.00998119	0.0128762	0.0141924	0.0123879	0.0103669	0.0145825	0.0206315	0.0105606	0.0143943	0.0165045	0.0116248	0.01722	0.0148722	0.0129968	0.00867463	0.0169917	0.0169232	0.0119813	0.0138372	0.0136018	0.0151997	0.0171542	0.00772529	0.0152788	0.0138352	0.011629	0.0262522	0.0147488	0.0171166	0.0124614	0.0125664	0.0119618	0.0116372	0.0163265	0.0104604	0.0112567	0.0156081	0.0177559	0.00802578	0.0143812	0.0190379	0.0184301	0.0163015	0.00753284	0.0115049	0.0177452	0.00628906	0.0160704	0.0219977	0.0260209	0.0139506	0.00733484	0.0199747	0.0136299	0.00660812	0.00915753	0.0173245	0.0181404	0.0161169	0.00577159	0.0106215	0.00884262	0.0107056	0.021289	0.0268912	0.0107666	0.0134188	0.00985311	0.0141653	0.0145794	0.0148199	0.00930835	0.00727879	0.00758342	0.0287807	0.0254072	0.0173128	0.00872843	0.0197742	0.014093	0.0241186	0.0181926	0.0175003	0.0206795	0.0226181	0.00863597	0.0188674	0.0186026	0.00448852	0.014161	0.0109069	0.0140276	0.0234933	0.0143519	0.0038819	0.0176508	0.0113869	0.01421876	0.0529066	0.0329702	0.0329702	0.0329702	0.0329702	0.03297016	0.00596818	0.0232664	0.0659907	0.257259	0.03918374	1.635869
8	0	-15718.5	-15798.6	80.1092	0.0202782	0.0116156	0.0146238	0.0223399	0.0118036	0.0149182	0.0275073	0.0220662	0.0127692	0.0181282	0.0216794	0.0137145	0.018542	0.0140746	0.0178585	0.0178834	0.013678	0.0189484	0.0118589	0.0160603	0.0144705	0.0208943	0.0260907	0.0148611	0.0181217	0.0233701	0.0123328	0.0290192	0.015091	0.0239315	0.0250691	0.015983	0.0124458	0.0272999	0.0207447	0.014569	0.0148911	0.0185983	0.0177033	0.00847756	0.0169968	0.0241576	0.0180034	0.0157864	0.0154388	0.00927015	0.0218322	0.00890401	0.0198224	0.0122928	0.0193969	0.00661841	0.0092813	0.042208	0.0208241	0.0156341	0.0138656	0.0142668	0.0190439	0.0297787	0.0257214	0.0198578	0.0189814	0.0346548	0.031191	0.032655	0.0136359	0.0166831	0.0196368	0.0252202	0.0185615	0.0185096	0.0202568	0.0316964	0.0628749	0.0279396	0.00581202	0.0130016	0.0165696	0.00211403	0.0232915	0.0256558	0.0401636	0.0112955	0.0327479	0.0182982	0.014774	0.0164804	0.0132179	0.0026725	0.0248115	0.0230215	0.0142504	0.0237612	0.0220315	0.00823527	0.0164912	0.0224086	0.01770627	0.01519662	0.000347883	0.000347883	0.000347883	0.000347883	0.0003478833	0.000284293	0.00385393	0.028404	0.385051	0.01046266	3.13432
9	1	-15637.8	-15783.7	145.932	0.0108121	0.0130627	0.0105642	0.0154858	0.00881574	0.0102124	0.0167343	0.0273743	0.0174051	0.0157736	0.0227677	0.00860218	0.0120811	0.0102419	0.00913061	0.0120286	0.0196843	0.0115142	0.0103631	0.0100966	0.00884051	0.0136657	0.0135207	0.00815681	0.0174242	0.0119367	0.0104991	0.0238917	0.0119726	0.0243183	0.0171356	0.0166839	0.0108799	0.0173377	0.0123742	0.00956267	0.0145605	0.0101824	0.024897	0.0108342	0.0109459	0.020243	0.0119191	0.0123271	0.00742346	0.0156274	0.0202615	0.00915986	0.0160123	0.0138109	0.0174	0.00966173	0.013439	0.0111696	0.00802282	0.00824333	0.010394	0.0254974	0.0204265	0.0125366	0.00805615	0.018394	0.00667875	0.014597	0.013082	0.0098732	0.0160037	0.012681	0.00977565	0.0210689	0.0151818	0.0117485	0.0124266	0.0110807	0.0115216	0.0254384	0.0184199	0.00728824	0.00769613	0.00956638	0.0113476	0.0159458	0.0190372	0.0215256	0.0173734	0.0172824	0.0336765	0.0190196	0.0111903	0.00426422	0.0108525	0.0127216	0.0119473	0.0169412	0.0142787	0.00459536	0.0168984	0.0141217	0.0138934	0.05952072	0.000168031	0.000168031	0.000168031	0.000168031	0.0001680309	0.0640798	0.0961107	0.131119	0.196661	0.1122585	0.4873956
