Iteration	Posterior	Likelihood	Prior	branch_rate[1]	branch_rate[2]	branch_rate[3]	branch_rate[4]	branch_rate[5]	branch_rate[6]	branch_rate[7]	branch_rate[8]	branch_rate[9]	branch_rate[10]	branch_rate[11]	branch_rate[12]	branch_rate[13]	branch_rate[14]	branch_rate[15]	branch_rate[16]	branch_rate[17]	branch_rate[18]	branch_rate[19]	branch_rate[20]	branch_rate[21]	branch_rate[22]	branch_rate[23]	branch_rate[24]	branch_rate[25]	branch_rate[26]	branch_rate[27]	branch_rate[28]	branch_rate[29]	branch_rate[30]	branch_rate[31]	branch_rate[32]	branch_rate[33]	branch_rate[34]	branch_rate[35]	branch_rate[36]	branch_rate[37]	branch_rate[38]	branch_rate[39]	branch_rate[40]	branch_rate[41]	branch_rate[42]	branch_rate[43]	branch_rate[44]	branch_rate[45]	branch_rate[46]	branch_rate[47]	branch_rate[48]	branch_rate[49]	branch_rate[50]	branch_rate[51]	branch_rate[52]	branch_rate[53]	branch_rate[54]	branch_rate[55]	branch_rate[56]	branch_rate[57]	branch_rate[58]	branch_rate[59]	branch_rate[60]	branch_rate[61]	branch_rate[62]	branch_rate[63]	branch_rate[64]	branch_rate[65]	branch_rate[66]	branch_rate[67]	branch_rate[68]	branch_rate[69]	branch_rate[70]	branch_rate[71]	branch_rate[72]	branch_rate[73]	branch_rate[74]	branch_rate[75]	branch_rate[76]	branch_rate[77]	branch_rate[78]	branch_rate[79]	branch_rate[80]	branch_rate[81]	branch_rate[82]	branch_rate[83]	branch_rate[84]	branch_rate[85]	branch_rate[86]	branch_rate[87]	branch_rate[88]	branch_rate[89]	branch_rate[90]	branch_rate[91]	branch_rate[92]	branch_rate[93]	branch_rate[94]	branch_rate[95]	branch_rate[96]	branch_rate[97]	branch_rate[98]	clock_rate	event_rate	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction_mean	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation_mean	speciation_sd
0	-46529.6	-46384.6	-144.968	0.240249	0.202647	0.343398	0.189706	0.259215	0.296763	0.211958	0.259709	0.121958	0.175027	0.204227	0.165975	0.298379	0.195695	0.159308	0.329576	0.247239	0.141512	0.319892	0.186636	0.218099	0.213443	0.262509	0.235362	0.168432	0.127281	0.239993	0.164014	0.17225	0.207626	0.37946	0.248304	0.223762	0.305751	0.226499	0.248919	0.344257	0.201387	0.401411	0.185151	0.205226	0.233954	0.19118	0.274597	0.209489	0.295468	0.248775	0.423495	0.328378	0.171071	0.246284	0.173578	0.232485	0.402538	0.21624	0.150502	0.170147	0.174319	0.133816	0.247652	0.248785	0.143435	0.167216	0.137039	0.165035	0.298454	0.198742	0.133586	0.38371	0.21348	0.180865	0.196549	0.240125	0.242771	0.17033	0.223934	0.116255	0.531779	0.1752	0.383124	0.240256	0.278202	0.243896	0.306516	0.257191	0.242471	0.210771	0.159672	0.137461	0.239762	0.157756	0.364007	0.251729	0.127363	0.409621	0.247262	0.205704	0.122581	0.223359	0.1618785	0.0543422	0.0543422	0.0543422	0.0543422	0.05434222	0.0863236	0.101967	0.115845	0.136838	0.1086844	0.2002396
100	-15257.1	-15424.3	167.217	0.0100542	0.0103026	0.00855566	0.0161281	0.0101499	0.0137788	0.0156798	0.0082477	0.0198039	0.0114748	0.0195594	0.0119993	0.014146	0.0134043	0.010442	0.00703924	0.010065	0.0126795	0.016199	0.0100943	0.0223206	0.010989	0.00834793	0.0166098	0.0127701	0.0093592	0.00899844	0.0131971	0.00786653	0.00733726	0.0159674	0.0136633	0.0107376	0.0149979	0.0116853	0.0129117	0.00727848	0.00930538	0.0133897	0.00973472	0.00551429	0.0142963	0.0121704	0.0216417	0.0141669	0.0137228	0.00960893	0.0168254	0.0105316	0.0118766	0.0052864	0.0175439	0.0136136	0.0104797	0.00989745	0.0120705	0.00748017	0.00868645	0.0102432	0.0139054	0.0124969	0.0159411	0.0208992	0.00686522	0.00742307	0.0130851	0.0041707	0.0154565	0.0115543	0.0237406	0.00919596	0.0109433	0.0128079	0.0113294	0.00870995	0.0118697	0.0163076	0.00916327	0.00559603	0.0085072	0.00980934	0.0170811	0.0105954	0.0132409	0.0101984	0.00891434	0.00821434	0.0151587	0.0140124	0.0150968	0.0114101	0.00757875	0.0116907	0.0108442	0.0151865	0.00708187	0.00566915	0.0136946	0.0117768	0.1243693	0.251551	0.251551	0.251551	0.251551	0.2515508	0.281903	0.290692	0.297611	0.306889	0.2941309	0.03691182
200	-15247.8	-15427.8	179.929	0.0113531	0.0123774	0.0157339	0.0118656	0.0117048	0.00726217	0.00597441	0.00607001	0.0143676	0.0101056	0.0090348	0.00632801	0.0108746	0.01085	0.0131516	0.0102377	0.00907841	0.00662035	0.00721089	0.00701802	0.0084279	0.00712894	0.00851131	0.0094211	0.0186507	0.0105956	0.0133795	0.00917676	0.00731218	0.00673073	0.014492	0.0173999	0.013802	0.0164235	0.00832902	0.00522308	0.0150757	0.00898341	0.0082365	0.0085527	0.00588663	0.00944376	0.00954141	0.0114446	0.00829673	0.0125947	0.00662468	0.00841211	0.00892613	0.0088255	0.00675414	0.0118985	0.015035	0.0185783	0.00985597	0.00766288	0.0148315	0.0131823	0.0123376	0.0112185	0.00727188	0.00896168	0.0117566	0.00837445	0.0106215	0.011256	0.00523924	0.00931984	0.00908003	0.0166026	0.00923356	0.0105688	0.00960651	0.0107464	0.00755566	0.00801156	0.0100161	0.0110699	0.00654718	0.0153707	0.012378	0.0114209	0.0124221	0.00937083	0.00764397	0.0143018	0.00758437	0.0104669	0.00847064	0.0102145	0.0059657	0.016077	0.00764542	0.0100748	0.0117233	0.00852484	0.0033451	0.0177889	0.01047226	0.07040303	0.00316744	0.00316744	0.00316744	0.00316744	0.003167438	0.17598	0.176235	0.176431	0.176687	0.1763329	0.001743307
300	-15241.5	-15423.7	182.202	0.0129137	0.00929145	0.00594549	0.00568494	0.0102389	0.0100676	0.00757507	0.00660685	0.00804733	0.00659549	0.0107852	0.00913474	0.0118137	0.00631538	0.00920531	0.0110712	0.00710612	0.00525514	0.00777844	0.0083961	0.00681472	0.0080614	0.00985859	0.00665695	0.0134021	0.00962822	0.0143339	0.00895398	0.00977992	0.00783294	0.0165468	0.0178956	0.0152387	0.0138634	0.0090212	0.00780678	0.0120308	0.0103291	0.011447	0.0117542	0.00564771	0.0100649	0.0105557	0.00922828	0.0142233	0.014703	0.00828014	0.012354	0.00874381	0.0111651	0.00670197	0.0139607	0.0117906	0.00631924	0.00687511	0.0135359	0.0116326	0.007406	0.0100631	0.00534933	0.00684963	0.0104258	0.0141514	0.00848408	0.0183663	0.00924977	0.00600304	0.00734671	0.00777416	0.019666	0.00682346	0.00814463	0.00649334	0.00641827	0.00830171	0.0150624	0.01222	0.0115234	0.00796366	0.00818795	0.00678772	0.0107052	0.0108501	0.00840127	0.00881432	0.00934605	0.0103959	0.00978204	0.0128777	0.0118214	0.00689674	0.00901014	0.00978247	0.0114676	0.0142836	0.0128859	0.00345157	0.0178839	0.0105073	0.1161239	0.000583639	0.000583639	0.000583639	0.000583639	0.0005836393	0.0635118	0.113441	0.176928	0.316019	0.141672	0.6974302
400	-15228.5	-15412.2	183.626	0.00914028	0.00953382	0.0108598	0.0160749	0.0149893	0.00986746	0.0144781	0.00636612	0.00783301	0.00719223	0.00826237	0.0101505	0.00794613	0.0100535	0.0104073	0.0116646	0.00964706	0.00719662	0.0101323	0.00906635	0.00957397	0.00764165	0.0100366	0.0113011	0.0129561	0.0106891	0.0121111	0.00625347	0.00953039	0.0162377	0.0135571	0.0162738	0.00818792	0.00551358	0.0112503	0.00714984	0.00645566	0.0112353	0.0102043	0.0107501	0.00657489	0.00840387	0.00753769	0.0100123	0.00827213	0.00966382	0.0114465	0.0103354	0.00791768	0.00912815	0.00746422	0.00855781	0.0078509	0.00885065	0.00543407	0.00770598	0.0102584	0.0122198	0.00913178	0.00917583	0.00571621	0.00528891	0.0148608	0.00986382	0.0150283	0.00869835	0.00693909	0.00580956	0.00676015	0.0182279	0.00589295	0.00862764	0.00728844	0.00841651	0.00615965	0.0134192	0.0114819	0.0171267	0.0081212	0.016156	0.0112224	0.0111803	0.00962104	0.00860215	0.0104374	0.0083063	0.00998966	0.00813478	0.0129443	0.0121352	0.0171729	0.00789811	0.00833703	0.00790715	0.0175627	0.00550246	0.00416234	0.0165575	0.009816631	0.08936148	0.0211765	0.0211765	0.0211765	0.0211765	0.02117646	0.0374477	0.0745963	0.126486	0.251962	0.097136	0.8285891
500	-15223.3	-15410.6	187.253	0.0106277	0.00554481	0.00829511	0.0102272	0.00558468	0.00958088	0.00807586	0.00577384	0.0138314	0.0065383	0.00933705	0.00574392	0.00878768	0.0168008	0.00596859	0.0129376	0.00801423	0.00575098	0.0103441	0.0107856	0.0149753	0.00877953	0.00912963	0.0107514	0.0122513	0.00720913	0.00875637	0.00920009	0.0137412	0.0116701	0.0110553	0.0107559	0.0109155	0.00927434	0.00946623	0.00876805	0.00820499	0.0102611	0.012957	0.0114289	0.00627334	0.00885625	0.0107794	0.0118125	0.0095909	0.014849	0.0094316	0.0101272	0.00890968	0.0107699	0.00553662	0.011988	0.0156679	0.00995566	0.00798099	0.0082318	0.0135452	0.0102994	0.00914073	0.0101908	0.00654271	0.00793398	0.0167596	0.00825476	0.00630993	0.0091883	0.00403508	0.00635156	0.0119887	0.0156947	0.00840374	0.00681321	0.0104057	0.0177064	0.00517307	0.00760184	0.00999948	0.0088509	0.00824672	0.0108023	0.0126246	0.00970253	0.00791093	0.0057061	0.00843661	0.0079436	0.00888326	0.0145256	0.0114046	0.016957	0.00824555	0.0101337	0.00731162	0.00900359	0.0133448	0.0111429	0.00563715	0.0108385	0.009951638	0.2185409	0.349788	0.349788	0.349788	0.349788	0.3497879	0.348738	0.354915	0.359721	0.366093	0.3573099	0.02110929
600	-15235.8	-15410.7	174.899	0.0102847	0.00879134	0.00804339	0.0100223	0.0080979	0.00759892	0.00672589	0.0076416	0.0103456	0.00874314	0.0113727	0.00932576	0.00912472	0.00861622	0.00713417	0.00678508	0.007665	0.00634478	0.00921156	0.0145999	0.0130321	0.00903669	0.00709383	0.00373951	0.0176404	0.00951451	0.00882307	0.0111377	0.0139902	0.00963087	0.0106143	0.0122234	0.011742	0.0105674	0.0128862	0.00957923	0.00973404	0.00613572	0.00652558	0.00813864	0.00613093	0.0107469	0.00955019	0.00922135	0.00992873	0.00727834	0.00671406	0.00826268	0.00992827	0.012823	0.00903615	0.0114917	0.00864172	0.0144851	0.017791	0.00756781	0.0180543	0.00875697	0.00922505	0.00757232	0.0060225	0.0114602	0.0161362	0.0109374	0.00576997	0.00960441	0.00601158	0.0116244	0.00986041	0.022899	0.00625758	0.0101981	0.00784195	0.00645278	0.0110984	0.0136156	0.0117981	0.0111097	0.00767217	0.00619006	0.00901521	0.0123214	0.00625487	0.0129636	0.00732802	0.00819223	0.00669979	0.00744098	0.014629	0.0176261	0.00733907	0.0210541	0.00651613	0.0116244	0.0114846	0.0134255	0.00422664	0.0188011	0.01052946	0.2223947	0.00902189	0.00902189	0.00902189	0.00902189	0.009021891	0.133675	0.163286	0.190342	0.232506	0.1762957	0.2405813
700	-15233	-15425	191.977	0.00972068	0.00880202	0.00897969	0.00641795	0.00531497	0.00898189	0.00832568	0.0103736	0.00911249	0.00764321	0.00578039	0.00891843	0.00720844	0.00920511	0.00669817	0.0180518	0.00971117	0.0094962	0.00871066	0.00746733	0.00907545	0.00713025	0.00862127	0.00787352	0.013276	0.00571832	0.0108001	0.0105842	0.00824034	0.00936172	0.00962005	0.0127231	0.00802089	0.00830564	0.00840633	0.00774892	0.00885303	0.0132212	0.0074291	0.0110822	0.00566246	0.00948117	0.00922292	0.00973173	0.00970371	0.0124406	0.0117031	0.0114457	0.00804538	0.00708641	0.00846109	0.0144959	0.00851062	0.00778926	0.00884858	0.0142568	0.00696318	0.00817825	0.010639	0.0059611	0.0067113	0.00968996	0.0161319	0.00913942	0.00640156	0.00687106	0.00469131	0.00756019	0.00716923	0.0239875	0.00642291	0.00950811	0.0108204	0.00866333	0.0128217	0.0157746	0.01819	0.00838194	0.00835202	0.00541975	0.00967074	0.00896815	0.0106062	0.00970897	0.00559597	0.0110366	0.0115228	0.00798733	0.00935306	0.0115855	0.00572159	0.00911069	0.00701936	0.0149584	0.00787921	0.00577318	0.00603898	0.0218586	0.009232425	0.1945457	4.05856e-05	4.05856e-05	4.05856e-05	4.05856e-05	4.058564e-05	0.150452	0.172578	0.191709	0.219903	0.1818923	0.1649707
800	-15229.3	-15422.3	192.997	0.00878468	0.0113678	0.00591044	0.00661415	0.0094072	0.00927183	0.00860398	0.00787492	0.00860903	0.00619837	0.00592743	0.0117974	0.00639536	0.0088539	0.00620691	0.0121761	0.00731325	0.00522293	0.00888999	0.0102302	0.0107988	0.00730379	0.00876683	0.0106981	0.0123849	0.00704318	0.00859622	0.0100978	0.00792642	0.0065485	0.0109162	0.0126992	0.00846706	0.0148226	0.0121763	0.0096934	0.00474084	0.0106132	0.0072607	0.0105897	0.00465993	0.00947648	0.0084542	0.00975798	0.00853192	0.0109941	0.00596274	0.0104503	0.00968009	0.00919864	0.00772524	0.0121078	0.00812495	0.00598559	0.00895973	0.00559834	0.0123057	0.0106582	0.00761068	0.0145854	0.00476532	0.00936229	0.014427	0.00877813	0.00705863	0.00764392	0.00600472	0.0114825	0.0136598	0.0184747	0.00672041	0.00627189	0.00988822	0.0182968	0.00957681	0.00753034	0.010841	0.00790342	0.00662543	0.0076815	0.0067588	0.0122951	0.00992931	0.00727243	0.00901807	0.00856958	0.0111203	0.00863553	0.0104902	0.0115121	0.00831916	0.0102035	0.0111541	0.0113119	0.00901639	0.00864371	0.00592948	0.0145229	0.01002615	0.01663055	0.00667319	0.00667319	0.00667319	0.00667319	0.006673192	0.0482471	0.0849485	0.131041	0.230723	0.1055069	0.6801765
900	-15218.1	-15408.2	190.105	0.00810312	0.0101314	0.00915195	0.0121999	0.00733124	0.00982842	0.0109789	0.00803519	0.0130189	0.0117479	0.00933324	0.0112569	0.0127873	0.0120908	0.010481	0.00876603	0.0102461	0.00722261	0.0158572	0.00873216	0.0124594	0.00968146	0.00800375	0.0126767	0.00927855	0.00662731	0.00857172	0.00820842	0.00510962	0.00990342	0.0119757	0.0118008	0.00990044	0.0138739	0.00388316	0.00519876	0.0067921	0.0113973	0.00870161	0.00880196	0.00689257	0.00971918	0.0101691	0.0128578	0.00800917	0.00824425	0.00769407	0.0100925	0.0107588	0.0102092	0.00802819	0.0125918	0.0105095	0.00982148	0.0122151	0.00835808	0.011697	0.0075866	0.00864086	0.00680919	0.00867905	0.00769385	0.0105192	0.0126905	0.00925803	0.00608376	0.00421071	0.0128265	0.00520174	0.0237857	0.00928859	0.00673548	0.00749573	0.00971173	0.00779327	0.00968747	0.0108624	0.00807295	0.00732193	0.0177701	0.00671541	0.0109242	0.00978212	0.0139265	0.01511	0.0107907	0.00571245	0.0113756	0.0103761	0.0148856	0.00649616	0.0113135	0.0117043	0.00791282	0.0100881	0.00483829	0.0060436	0.0144575	0.009249996	0.02172053	2.75864e-05	2.75864e-05	2.75864e-05	2.75864e-05	2.758637e-05	0.111939	0.146545	0.180139	0.235828	0.162476	0.323879
