Iteration	Replicate_ID	Posterior	Likelihood	Prior	branch_rate[1]	branch_rate[2]	branch_rate[3]	branch_rate[4]	branch_rate[5]	branch_rate[6]	branch_rate[7]	branch_rate[8]	branch_rate[9]	branch_rate[10]	branch_rate[11]	branch_rate[12]	branch_rate[13]	branch_rate[14]	branch_rate[15]	branch_rate[16]	branch_rate[17]	branch_rate[18]	branch_rate[19]	branch_rate[20]	branch_rate[21]	branch_rate[22]	branch_rate[23]	branch_rate[24]	branch_rate[25]	branch_rate[26]	branch_rate[27]	branch_rate[28]	branch_rate[29]	branch_rate[30]	branch_rate[31]	branch_rate[32]	branch_rate[33]	branch_rate[34]	branch_rate[35]	branch_rate[36]	branch_rate[37]	branch_rate[38]	branch_rate[39]	branch_rate[40]	branch_rate[41]	branch_rate[42]	branch_rate[43]	branch_rate[44]	branch_rate[45]	branch_rate[46]	branch_rate[47]	branch_rate[48]	branch_rate[49]	branch_rate[50]	branch_rate[51]	branch_rate[52]	branch_rate[53]	branch_rate[54]	branch_rate[55]	branch_rate[56]	branch_rate[57]	branch_rate[58]	branch_rate[59]	branch_rate[60]	branch_rate[61]	branch_rate[62]	branch_rate[63]	branch_rate[64]	branch_rate[65]	branch_rate[66]	branch_rate[67]	branch_rate[68]	branch_rate[69]	branch_rate[70]	branch_rate[71]	branch_rate[72]	branch_rate[73]	branch_rate[74]	branch_rate[75]	branch_rate[76]	branch_rate[77]	branch_rate[78]	branch_rate[79]	branch_rate[80]	branch_rate[81]	branch_rate[82]	branch_rate[83]	branch_rate[84]	branch_rate[85]	branch_rate[86]	branch_rate[87]	branch_rate[88]	branch_rate[89]	branch_rate[90]	branch_rate[91]	branch_rate[92]	branch_rate[93]	branch_rate[94]	branch_rate[95]	branch_rate[96]	branch_rate[97]	branch_rate[98]	clock_rate	event_rate	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction_mean	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation_mean	speciation_sd
0	0	-60158	-59867	-290.938	0.96169	0.736125	0.80272	0.708726	0.546544	1.7601	0.793307	0.811582	0.907647	1.40774	0.668226	0.912258	1.30023	0.822147	0.599467	1.41696	0.948334	0.911097	0.632409	0.733915	0.78736	1.62734	1.01232	1.36546	0.738211	0.926796	0.963314	0.771288	1.32042	1.445	0.831658	1.03932	1.09984	0.787794	0.77079	0.936983	0.66151	1.17941	1.13323	1.50827	1.15084	1.05076	1.36763	1.06039	0.801885	1.37739	0.962847	0.716531	1.22701	1.59021	1.20507	1.5418	1.4928	0.992953	1.25645	0.966284	1.36147	0.972823	0.843208	1.23335	1.89466	1.21503	0.901695	1.0091	1.26187	1.11084	0.903642	0.627207	0.994708	0.710592	0.908977	1.34674	1.22694	0.704685	1.66265	1.54842	0.819625	1.55312	0.979599	1.3223	0.888143	1.25569	1.65338	0.775065	0.948199	0.856314	0.713239	1.43664	1.35156	1.08865	0.702153	1.42548	0.811499	1.7692	0.905198	0.888172	0.435741	0.931538	1.075341	0.01736292	0.0520015	0.0520015	0.0520015	0.0520015	0.05200155	0.081703	0.0972781	0.111193	0.13239	0.1040031	0.2097882
1	1	-60366.3	-60078.6	-287.617	0.811408	0.543802	1.22964	0.873906	1.28002	0.839161	1.19169	0.86931	0.533168	0.652309	1.399	0.897053	0.698195	0.559823	0.58058	0.979918	0.813731	1.30402	1.94287	0.890006	0.870662	1.47612	0.754522	0.704508	1.67862	0.757676	0.45924	0.453239	0.536401	1.1547	0.959446	0.679553	0.773351	0.670045	1.41187	1.68723	0.897481	1.09911	0.67738	1.02794	0.984011	0.824312	1.00258	1.025	1.19084	0.74042	0.617992	0.874372	1.17621	1.02533	0.522493	1.17451	1.20893	1.32622	0.638895	1.76252	0.936668	0.446819	0.960144	1.04631	1.1833	0.92531	1.15651	0.757342	0.991379	0.503201	0.853637	1.01949	0.680232	1.06071	0.767838	0.865689	0.962353	0.872144	0.934309	0.929938	0.839157	0.850247	1.09537	0.837075	0.637681	0.632746	0.573514	0.408937	0.825847	0.712616	1.13472	0.67141	0.842366	0.601341	0.499102	1.4389	0.877799	1.00935	0.875936	1.09216	1.42073	0.824969	0.9256444	0.1251119	0.0520015	0.0520015	0.0520015	0.0520015	0.05200155	0.0353966	0.0771596	0.140185	0.305584	0.1040031	0.9369359
2	0	-15513.8	-15524.3	10.5076	0.0135004	0.0160422	0.007633	0.037642	0.017579	0.0149289	0.027669	0.0131696	0.0184414	0.0151924	0.018154	0.0271214	0.0220563	0.0144174	0.0200051	0.0182986	0.0235029	0.0136646	0.0233773	0.0257658	0.0173112	0.0226888	0.0058092	0.015816	0.0187785	0.0160012	0.00793963	0.0145368	0.0404819	0.0221656	0.0125418	0.0333972	0.0192176	0.0165296	0.0212368	0.0126754	0.0344206	0.0135547	0.0242253	0.013202	0.0208459	0.0161328	0.0351752	0.0346114	0.048438	0.0465552	0.0295794	0.012995	0.0112797	0.0115167	0.0177878	0.022023	0.0240973	0.0274357	0.00689926	0.00543115	0.0159178	0.0246806	0.007035	0.0191271	0.00211163	0.00664056	0.0208722	0.0104015	0.0223432	0.0222728	0.0109185	0.0179968	0.020653	0.0182257	0.0212596	0.00408072	0.0249117	0.0115005	0.0139842	0.0410375	0.0142716	0.0168383	0.0114259	0.0193199	0.0299022	0.00435187	0.033969	0.041467	0.00522299	0.00439036	0.0216573	0.0159429	0.0163421	0.0307569	0.0584843	0.00995233	0.0120895	0.0167916	0.00922831	0.0143639	0.0327077	0.0186896	0.01877638	0.07142866	0.202908	0.202908	0.202908	0.202908	0.2029077	0.0826046	0.157941	0.259525	0.496214	0.2024589	0.7793035
3	1	-14908.7	-14853.2	-55.5183	0.0192456	0.0141133	0.0165667	0.0382976	0.0160501	0.0182384	0.0257506	0.0142129	0.0196636	0.0209539	0.0191334	0.019781	0.0379027	0.0145076	0.0306508	0.0115639	0.0289081	0.0223578	0.0248731	0.0182934	0.0193066	0.0251449	0.0293516	0.0165466	0.0154071	0.011752	0.0223535	0.0201575	0.0212325	0.0284545	0.0219784	0.058412	0.0258674	0.0406489	0.0278182	0.0183191	0.0271011	0.0236811	0.0405217	0.0796512	0.0248195	0.0125674	0.0371774	0.035376	0.0426964	0.690123	0.0205795	0.0291413	0.0228598	0.021948	0.0129415	0.0161888	0.00196586	0.00964752	0.0223475	0.0244996	0.0150091	0.02467	0.0197433	0.0465366	0.0108542	0.0202626	0.0247697	0.00722979	0.0466467	0.0291668	0.0405326	0.0212754	0.0250566	0.00337299	0.0198156	0.016021	0.0185631	0.0155897	0.0176192	0.0395489	0.0227403	0.0189278	0.0220118	0.00652978	0.0287908	0.0452866	0.019701	0.00374203	0.0149331	0.0040215	0.0157191	0.0218596	0.0280847	0.0215728	0.0410694	0.0480098	0.0169612	0.0305109	0.0096611	0.021074	0.0300887	0.0217753	0.02367029	0.1684586	0.707436	0.707436	0.707436	0.707436	0.707436	0.176683	0.300094	0.450338	0.764896	0.3676192	0.63693
4	0	-14402.7	-14504.4	101.706	0.020322	0.0170724	0.0111652	0.0211447	0.0192996	0.00754005	0.0137201	0.0101344	0.0118042	0.0148412	0.00982901	0.0156961	0.0201023	0.00625784	0.00744447	0.0110108	0.0207757	0.00547606	0.0123682	0.0113973	0.00974064	0.0131384	0.0168857	0.0101496	0.0114444	0.0136017	0.0101395	0.0126461	0.0190732	0.0132615	0.0140046	0.0195306	0.0121629	0.0111195	0.0114364	0.010046	0.0231786	0.0165633	0.0232951	0.00784733	0.010449	0.00929679	0.0159696	0.0145562	0.0285703	0.0266789	0.0159095	0.0220887	0.0145565	0.0110629	0.0139896	0.0134193	0.0235748	0.0128376	0.0105774	0.00149842	0.0152484	0.0139642	0.00965979	0.01177	0.00278783	0.0062277	0.0162531	0.0132833	0.0231014	0.00865482	0.0135556	0.011218	0.01352	0.0127214	0.0109639	0.0051734	0.0163092	0.00736114	0.0169891	0.0162799	0.00819343	0.0164198	0.012991	0.0203559	0.00959898	0.011447	0.0133965	0.0220624	0.0145815	0.0023587	0.0181769	0.0113955	0.0106691	0.0141246	0.00978955	0.0180655	0.0123531	0.0124456	0.00949398	0.0182496	0.0218308	0.00917781	0.01299025	0.1529876	0.544367	0.544367	0.544367	0.544367	0.5443669	0.433456	0.476191	0.511766	0.562222	0.4936581	0.1130556
5	1	-14315.8	-14404.1	88.2634	0.0190931	0.013993	0.0192677	0.030577	0.0287387	0.0180735	0.0378002	0.0156843	0.0146179	0.0219	0.0103883	0.0209403	0.0264636	0.012584	0.0158784	0.0174069	0.035699	0.0147864	0.0150434	0.0163512	0.0168712	0.0225458	0.020579	0.0204287	0.019519	0.0206921	0.0270046	0.0182092	0.0336056	0.0155747	0.030419	0.0459343	0.025553	0.0258572	0.0186538	0.0180626	0.0419266	0.026163	0.0368571	0.0179129	0.035935	0.0320194	0.018985	0.0244551	0.0252774	0.0237364	0.0171637	0.0133382	0.0172254	0.0222423	0.0164319	0.0100244	0.00200412	0.0111443	0.0230902	0.0176833	0.0178829	0.0243411	0.0244551	0.0324911	0.0194253	0.0304669	0.0232548	0.0172348	0.0182019	0.022102	0.0274121	0.0322988	0.0191115	0.0321086	0.0159071	0.0374066	0.0203431	0.00781509	0.017407	0.0130207	0.0167508	0.0171597	0.0182914	0.0150702	0.0117313	0.0202857	0.0189418	0.0450079	0.0189178	0.00294771	0.0265313	0.0223062	0.0110933	0.0226857	0.0193017	0.0108717	0.0201986	0.022279	0.0154405	0.0177451	0.0270743	0.0175855	0.0202926	0.11609	0.80415	0.80415	0.80415	0.80415	0.8041503	0.104926	0.22439	0.401743	0.859146	0.3002449	0.9139309
6	0	-14387.1	-14484.1	96.9838	0.0205872	0.0110664	0.0104034	0.0179423	0.0117851	0.00667155	0.0151427	0.0109434	0.0138026	0.0171419	0.0138333	0.00838075	0.0139496	0.0126259	0.00852447	0.0101091	0.0120873	0.00614167	0.0110341	0.0145292	0.014496	0.0114174	0.0105935	0.0140275	0.0169524	0.0133163	0.00705839	0.0120586	0.0173352	0.0132549	0.0149569	0.0287371	0.0141021	0.010365	0.0123024	0.0166479	0.0134363	0.00772558	0.0214273	0.0101842	0.0141528	0.00963927	0.0101248	0.00767087	0.0239616	0.0224132	0.0125516	0.014137	0.00783341	0.0101644	0.0111724	0.00824202	0.0253331	0.0106471	0.00853078	0.0011059	0.00842982	0.0101274	0.00734332	0.0126772	0.00210484	0.00562676	0.00633331	0.00893782	0.0156984	0.0143433	0.0184212	0.0105091	0.0072763	0.0141739	0.00904696	0.00440503	0.00779309	0.00527552	0.00928805	0.0156952	0.0125284	0.00992023	0.0194363	0.0131464	0.0131842	0.0103654	0.0152163	0.0311696	0.0195513	0.00192576	0.0125785	0.0124524	0.00846158	0.00884937	0.00975013	0.0117772	0.00900805	0.0119131	0.0120295	0.0162084	0.0136396	0.00729185	0.01141782	0.1215282	0.372233	0.372233	0.372233	0.372233	0.372233	0.287264	0.327413	0.361933	0.412518	0.3442408	0.1572903
7	1	-14301.3	-14403.4	102.032	0.0156185	0.0250636	0.0169085	0.0263358	0.0177708	0.013107	0.0383653	0.0114085	0.0109572	0.0265999	0.0201555	0.022105	0.0217222	0.0168772	0.0197767	0.0176434	0.0218419	0.0157656	0.0203262	0.0284652	0.0137509	0.0167907	0.0171156	0.018547	0.0222627	0.0140044	0.0117804	0.0178866	0.0408019	0.0217814	0.0242417	0.044187	0.0224251	0.0280952	0.0183661	0.0136061	0.0273222	0.0158191	0.0298675	0.0166837	0.0131859	0.0162137	0.0160243	0.020952	0.0217032	0.0240235	0.0260717	0.0235578	0.0277175	0.0179608	0.00985256	0.0123767	0.00262841	0.0250377	0.0318116	0.0221302	0.0151855	0.0256407	0.0175062	0.0347619	0.0260422	0.0140055	0.0288178	0.0234685	0.0215651	0.0179936	0.0276692	0.0274947	0.0331583	0.0303457	0.0144846	0.014819	0.0247789	0.0124059	0.0153497	0.0197456	0.0222994	0.019892	0.0187512	0.0210297	0.0142513	0.0331978	0.0281384	0.0186956	0.0216156	0.00260235	0.0243951	0.0258579	0.019363	0.0117098	0.0227298	0.0247295	0.019056	0.0202421	0.0175635	0.0168322	0.030732	0.00899257	0.02054643	0.1412628	0.719868	0.719868	0.719868	0.719868	0.7198684	0.318319	0.449022	0.584449	0.824427	0.5122798	0.4136284
8	0	-14386.7	-14484.9	98.1382	0.00965491	0.0126214	0.0122427	0.0158588	0.0094162	0.00698953	0.0108712	0.00816149	0.00972158	0.0113997	0.0112333	0.0124156	0.019597	0.00824203	0.00740664	0.00529657	0.0122798	0.00980976	0.0103472	0.0130353	0.012292	0.0167561	0.00967871	0.00952512	0.0146198	0.00867396	0.00845029	0.0130223	0.0184971	0.0154279	0.0107106	0.0237606	0.0128734	0.00794003	0.00891702	0.0129413	0.015951	0.011777	0.0153593	0.00765636	0.0112161	0.00878869	0.0105752	0.00965281	0.0167067	0.0202128	0.0174969	0.00558127	0.0108311	0.00590444	0.0106518	0.0103688	0.0283071	0.0133101	0.00854658	0.00110256	0.0134706	0.0130132	0.00568318	0.0120555	0.00243899	0.00686518	0.0113745	0.0103126	0.00887517	0.0126077	0.0168896	0.0120266	0.00672085	0.0166253	0.0118045	0.00303444	0.00775325	0.00851282	0.00787755	0.0115846	0.00728316	0.0162992	0.0212115	0.0106573	0.0149574	0.0137261	0.0159678	0.0336566	0.010443	0.00209823	0.00697107	0.0134175	0.0132068	0.0223789	0.00970441	0.00640855	0.00902362	0.0101439	0.0169906	0.0127478	0.0115826	0.0063843	0.01109646	0.01615959	0.471087	0.471087	0.471087	0.471087	0.4710866	0.271629	0.34599	0.416471	0.530484	0.3795981	0.2909341
9	1	-14296.1	-14421.4	125.209	0.0226928	0.0223596	0.0253327	0.0235167	0.0151055	0.0143528	0.015863	0.0157073	0.0194862	0.0191669	0.0198934	0.0300075	0.0286228	0.0125513	0.0262954	0.0122081	0.0212874	0.0228135	0.0142567	0.0262899	0.022021	0.0169657	0.025964	0.0174903	0.0183081	0.0155881	0.0158067	0.0219267	0.036484	0.0220987	0.0288967	0.0374089	0.026533	0.0154024	0.0141931	0.0225237	0.0216685	0.0186031	0.0272369	0.00975633	0.0194183	0.0145502	0.0182081	0.0176046	0.0239106	0.0249275	0.0152891	0.0183411	0.0205135	0.0257695	0.020758	0.0128107	0.00212793	0.0187117	0.0175861	0.0231215	0.02187	0.0191541	0.0170534	0.0196179	0.0170307	0.0114532	0.0249131	0.0171285	0.0235376	0.0107667	0.0278625	0.0167677	0.0198989	0.0186425	0.0206889	0.028774	0.0208412	0.015632	0.011887	0.0150286	0.0253231	0.0185566	0.018781	0.020176	0.0175472	0.0247036	0.0346293	0.0249159	0.0139299	0.00406503	0.0305072	0.0176046	0.0141383	0.0135597	0.0217136	0.0277904	0.0134264	0.0202724	0.0151045	0.0171917	0.023156	0.0150164	0.0195321	0.0300522	0.809923	0.809923	0.809923	0.809923	0.8099229	0.576541	0.649997	0.712554	0.803339	0.6805571	0.1441866
