Iteration	Replicate_ID	Posterior	Likelihood	Prior	branch_rate[1]	branch_rate[2]	branch_rate[3]	branch_rate[4]	branch_rate[5]	branch_rate[6]	branch_rate[7]	branch_rate[8]	branch_rate[9]	branch_rate[10]	branch_rate[11]	branch_rate[12]	branch_rate[13]	branch_rate[14]	branch_rate[15]	branch_rate[16]	branch_rate[17]	branch_rate[18]	branch_rate[19]	branch_rate[20]	branch_rate[21]	branch_rate[22]	branch_rate[23]	branch_rate[24]	branch_rate[25]	branch_rate[26]	branch_rate[27]	branch_rate[28]	branch_rate[29]	branch_rate[30]	branch_rate[31]	branch_rate[32]	branch_rate[33]	branch_rate[34]	branch_rate[35]	branch_rate[36]	branch_rate[37]	branch_rate[38]	branch_rate[39]	branch_rate[40]	branch_rate[41]	branch_rate[42]	branch_rate[43]	branch_rate[44]	branch_rate[45]	branch_rate[46]	branch_rate[47]	branch_rate[48]	branch_rate[49]	branch_rate[50]	branch_rate[51]	branch_rate[52]	branch_rate[53]	branch_rate[54]	branch_rate[55]	branch_rate[56]	branch_rate[57]	branch_rate[58]	branch_rate[59]	branch_rate[60]	branch_rate[61]	branch_rate[62]	branch_rate[63]	branch_rate[64]	branch_rate[65]	branch_rate[66]	branch_rate[67]	branch_rate[68]	branch_rate[69]	branch_rate[70]	branch_rate[71]	branch_rate[72]	branch_rate[73]	branch_rate[74]	branch_rate[75]	branch_rate[76]	branch_rate[77]	branch_rate[78]	branch_rate[79]	branch_rate[80]	branch_rate[81]	branch_rate[82]	branch_rate[83]	branch_rate[84]	branch_rate[85]	branch_rate[86]	branch_rate[87]	branch_rate[88]	branch_rate[89]	branch_rate[90]	branch_rate[91]	branch_rate[92]	branch_rate[93]	branch_rate[94]	branch_rate[95]	branch_rate[96]	branch_rate[97]	branch_rate[98]	clock_rate	event_rate	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction_mean	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation_mean	speciation_sd
0	0	-65295.5	-64941.3	-354.161	1.73381	1.53768	1.7119	1.07164	1.12431	1.69235	1.1958	2.12218	1.60481	1.81192	1.64104	2.28029	2.65931	1.90577	1.73676	1.21393	1.62238	1.2778	2.8535	1.00838	1.06907	2.27059	1.35223	1.59072	1.35632	1.13948	2.35235	1.80263	1.97164	1.3592	2.43216	1.54767	1.90023	1.22426	1.73837	2.09282	1.11013	1.38212	1.83964	1.92738	2.0509	1.73678	0.984848	1.39022	2.07046	1.88695	1.63711	2.15107	0.914141	1.38514	1.77548	2.4859	1.20295	1.85894	1.86507	1.33838	3.93694	2.7437	1.08731	1.73603	2.06	2.77836	2.52177	1.9279	2.37168	1.17526	1.66734	1.76151	1.63027	2.15887	1.6367	1.19657	1.31099	1.72097	2.06459	1.6303	0.896551	1.84271	1.5688	0.827771	2.89006	1.52784	1.13845	1.18158	1.41019	1.8842	1.36789	1.05879	1.47412	1.53321	1.30897	1.32545	2.42125	1.90644	1.77913	1.76292	2.21363	1.70807	1.624737	0.1975851	0.0490217	0.0490217	0.0490217	0.0490217	0.04902169	0.0221793	0.0649572	0.147982	0.433399	0.09804339	1.291998
1	1	-67354.8	-66905.8	-448.934	3.96488	7.21431	6.25174	4.27414	5.05532	5.48391	4.32615	4.26891	4.60599	3.74005	3.87004	2.20105	3.14643	3.44246	3.20958	3.94559	5.968	3.66589	7.80302	7.3394	4.6211	3.96212	3.86897	8.93713	3.85945	5.39378	6.26132	4.30695	4.82559	4.3502	4.77654	4.86786	4.94206	2.81499	3.40783	3.8692	2.16151	2.83796	5.25805	1.5962	3.43809	3.90141	3.14952	5.55096	4.6858	3.16007	4.32986	2.56177	4.74865	3.30739	3.04357	2.98807	2.68159	6.92451	5.91407	5.08451	3.50853	4.3913	3.8479	3.45241	5.30652	4.45048	5.06013	5.32621	5.96913	3.26937	3.18518	3.55169	1.66888	4.01947	3.25369	4.74	2.6789	4.344	7.37146	2.57256	5.25248	6.00528	2.14642	6.11195	3.73355	7.22174	2.62117	3.5775	4.00539	6.32048	2.83593	5.13698	3.41665	4.95339	4.12445	4.41015	7.24944	4.45458	3.68254	3.44955	8.90949	4.34296	4.459625	0.01089803	0.0490217	0.0490217	0.0490217	0.0490217	0.04902169	0.0721389	0.0900553	0.10674	0.13325	0.09804339	0.2667157
2	0	-15664.5	-15654.8	-9.68535	0.0404655	0.0437027	0.0313287	0.0209748	0.0278327	0.0241631	0.0166566	0.0365223	0.0192036	0.045449	0.017713	0.0313375	0.0283058	0.0204587	0.0241973	0.0205519	0.0250846	0.0643501	0.0351842	0.0257943	0.0221143	0.0297499	0.0263907	0.0401802	0.0364318	0.0265018	0.00931132	0.0225708	0.0301266	0.0195856	0.0174164	0.0308399	0.0184153	0.0278921	0.0575486	0.0189555	0.0178233	0.0209695	0.028383	0.0207199	0.0245281	0.0245803	0.0389715	0.0239998	0.0166399	0.0325104	0.0268109	0.0586451	0.0472605	0.0374174	0.00240067	0.0183845	0.0178789	0.0148395	0.0212793	0.0271179	0.0161127	0.038539	0.0225473	0.0160732	0.00382873	0.0343794	0.00391639	0.0355026	0.0358574	0.0209931	0.0220383	0.0247019	0.0161445	0.0128358	0.0263626	0.0206574	0.0527901	0.0112198	0.0272885	0.036056	0.0399219	0.0193694	0.0509206	0.0285602	0.0217488	0.00281285	0.00305977	0.049374	0.0451863	0.0316216	0.0320758	0.0276203	0.0474326	0.0184112	0.0320861	0.024314	0.0255788	0.0333045	0.0170288	0.0233559	0.0340243	0.0230864	0.02595534	0.2007207	0.826478	0.826478	0.826478	0.826478	0.8264779	0.193521	0.339015	0.520942	0.912602	0.4202468	0.6741058
3	1	-15053.5	-15052.3	-1.19815	0.0981852	0.0329413	0.0505127	0.0404567	0.0506414	0.0502843	0.0465749	0.029878	0.0251258	0.0535014	0.0451075	0.0346917	0.0382754	0.047252	0.0441046	0.0566853	0.053195	0.0333535	0.0359441	0.0570169	0.0356572	0.0699948	0.0769909	0.0299458	0.0692339	0.033523	0.0430099	0.0321935	0.0519146	0.0198751	0.043176	0.0506268	0.037381	0.045887	0.0791295	0.0512313	0.0417412	0.0447459	0.0737257	0.0492198	0.0315506	0.0424546	0.0373635	0.046328	0.0372571	0.0622171	0.052262	0.0708999	0.0538992	0.0473591	0.00881683	0.0365871	0.0951738	0.0596525	0.0343784	0.0437386	0.0662704	0.0487804	0.0705356	0.0269001	0.025517	0.0485523	0.0522788	0.0715899	0.0758605	0.0455369	0.106109	0.0537198	0.0684971	0.0588145	0.0426538	0.0378973	0.0436861	0.0585522	0.0431451	0.0465963	0.049809	0.0369341	0.0822721	0.041769	0.0508093	0.0271767	0.00362997	0.033378	0.0487562	0.0299376	0.0364665	0.0263409	0.0133284	0.0510832	0.0988046	0.0724873	0.0413248	0.0590566	0.0363978	0.0163945	0.0303571	0.00389843	0.04830641	0.1088521	1.12811	1.12811	1.12811	1.12811	1.128111	0.00599294	0.0403092	0.173644	1.16795	0.08366285	2.291663
4	0	-15194.9	-15260.4	65.5055	0.0299074	0.0134515	0.024136	0.0160895	0.0250275	0.0218268	0.0157672	0.0214538	0.0065465	0.0267133	0.0140491	0.0238882	0.0211165	0.0220609	0.0184236	0.0314962	0.0325636	0.0339574	0.0148422	0.0156328	0.0144941	0.0248766	0.0251692	0.0356211	0.0202418	0.0111378	0.0104625	0.0244248	0.0175572	0.0209413	0.0208227	0.0241395	0.0206928	0.0284299	0.0348159	0.0138661	0.0142575	0.0190389	0.0212311	0.0298149	0.0211717	0.0295911	0.0229076	0.00952313	0.0135597	0.0202385	0.0213726	0.0252414	0.0188162	0.0279645	0.025628	0.0189846	0.0180931	0.0116624	0.0221059	0.0209773	0.0177161	0.0172733	0.018263	0.0199387	0.00385928	0.0233389	0.00430918	0.0196712	0.0234411	0.0214592	0.0175299	0.0259015	0.0214642	0.0110778	0.0367087	0.0210167	0.0426365	0.00850794	0.0339113	0.0380617	0.0197545	0.026537	0.0334654	0.0321925	0.0208869	0.00302415	0.00412484	0.0245437	0.030568	0.0264615	0.00758159	0.0284925	0.0271072	0.0271286	0.0298524	0.0220304	0.0129386	0.0226549	0.0177713	0.0228825	0.0343481	0.0271991	0.02052788	0.03282689	0.598686	0.598686	0.598686	0.598686	0.5986857	0.289517	0.380009	0.46806	0.614358	0.4217428	0.3270162
5	1	-14913.6	-14974.7	61.0894	0.0596735	0.0297129	0.0552911	0.0366627	0.0325448	0.0299756	0.0342305	0.0302319	0.0277911	0.0505564	0.0201295	0.0194543	0.0488689	0.0389635	0.0207196	0.0232017	0.0225491	0.0384469	0.0214969	0.0390401	0.0313943	0.028017	0.0223787	0.0330623	0.0407507	0.0263797	0.0270702	0.0306994	0.0359997	0.0338183	0.0304513	0.0407102	0.043187	0.0376682	0.0435547	0.0284766	0.0375008	0.035569	0.0501958	0.0419816	0.0287028	0.044807	0.0340876	0.0257928	0.0247474	0.0369399	0.0184105	0.0347931	0.0496601	0.0406751	0.0276765	0.0312784	0.0409872	0.0490913	0.031716	0.0382338	0.0443429	0.0408718	0.0276319	0.0249732	0.0242508	0.0366408	0.0295077	0.055618	0.030619	0.0392207	0.0823911	0.0311547	0.0534956	0.0868243	0.032219	0.030107	0.0406806	0.0496695	0.0250728	0.0261092	0.0269274	0.0338856	0.0395396	0.0699953	0.0305147	0.0368723	0.00353908	0.022904	0.0290421	0.0373419	0.0331444	0.0316907	0.0163457	0.0297822	0.0471368	0.034629	0.0222781	0.035537	0.0622286	0.0323318	0.0275247	0.0030496	0.03430302	0.02944797	0.995016	0.995016	0.995016	0.995016	0.995016	0.0144628	0.0665008	0.214047	0.984204	0.1193077	1.834336
6	0	-14880.4	-14982.2	101.776	0.036245	0.0116221	0.0264613	0.0152889	0.0160113	0.0186918	0.0217831	0.0197366	0.0174847	0.0290936	0.01885	0.0405403	0.0221319	0.0182439	0.0262257	0.0204667	0.0178716	0.0380343	0.0210706	0.0210979	0.0133976	0.0234413	0.0233285	0.0328445	0.0293366	0.0239773	0.0159725	0.0394092	0.0212134	0.0206708	0.0125359	0.0149971	0.0192829	0.0179681	0.0299022	0.018865	0.0230685	0.0202946	0.0202884	0.0202464	0.0259138	0.0249576	0.0206447	0.010132	0.0211309	0.031426	0.0148063	0.0221738	0.0210946	0.0203241	0.0304472	0.0237665	0.0323934	0.0112516	0.0242847	0.0205732	0.0227015	0.0191496	0.0168399	0.0185102	0.00382446	0.0184895	0.00396171	0.00714453	0.023748	0.0431273	0.0289767	0.0356235	0.0225693	0.0135732	0.0327546	0.018134	0.0177024	0.0193508	0.0219122	0.0293497	0.0299511	0.0307317	0.0260706	0.012609	0.00935597	0.0165866	0.0185914	0.0227706	0.0300518	0.0269773	0.0403934	0.0336783	0.0392222	0.017826	0.0207751	0.0221162	0.0160503	0.0146483	0.0257127	0.0183618	0.0144571	0.0265292	0.02217692	0.1833864	0.840922	0.840922	0.840922	0.840922	0.8409216	0.0823499	0.200294	0.395763	0.962589	0.2815476	1.068653
7	1	-14908.3	-14977.8	69.5047	0.058494	0.0178545	0.0474528	0.0207762	0.0261338	0.0406328	0.0168891	0.0192362	0.0196576	0.0258356	0.0262682	0.0257119	0.0398227	0.0298119	0.0316963	0.0320911	0.0340654	0.0359431	0.0214964	0.0212117	0.0309999	0.0240498	0.0242592	0.027232	0.0294899	0.0227308	0.0199078	0.0523932	0.0171038	0.0292552	0.0276456	0.0307964	0.0329892	0.0254018	0.0353685	0.0313355	0.0386627	0.0421689	0.0490907	0.0354718	0.0337069	0.0422167	0.0361867	0.0257957	0.0218277	0.0482009	0.016583	0.0393029	0.0497038	0.0419212	0.0227274	0.0201011	0.0417512	0.0543859	0.0344115	0.0449915	0.0314902	0.0260976	0.0230404	0.0227874	0.0229462	0.0572149	0.0401623	0.0487513	0.0433021	0.0302837	0.0367494	0.0383357	0.0238029	0.0708298	0.0323827	0.0363504	0.031696	0.0264193	0.0252579	0.0346975	0.0180334	0.0261021	0.0246453	0.0412482	0.023207	0.039936	0.00350517	0.0229866	0.0276603	0.0367578	0.0355856	0.0320921	0.0292858	0.0206268	0.0275124	0.0375567	0.0273717	0.0290578	0.0525139	0.0401032	0.0464981	0.0033646	0.03042387	0.150304	1.03762	1.03762	1.03762	1.03762	1.037617	0.0145235	0.0673001	0.217911	1.00977	0.1211009	1.84366
8	0	-14887.9	-14983.2	95.3175	0.0229341	0.0106756	0.0223787	0.0248271	0.0300927	0.0251657	0.0208609	0.0276718	0.0119603	0.0231038	0.0254633	0.0194678	0.022858	0.0173425	0.0184045	0.0250602	0.0156453	0.0274348	0.0315362	0.0170361	0.0155453	0.0263468	0.0248744	0.0305013	0.0232233	0.0175736	0.00956724	0.0254358	0.025412	0.0245824	0.0113979	0.0197553	0.0127308	0.0200977	0.0261752	0.0174798	0.031928	0.0294276	0.0261131	0.0130626	0.0195792	0.0306771	0.0292787	0.0276164	0.0244803	0.0202498	0.0203568	0.0430438	0.0217695	0.0196619	0.0416769	0.0121551	0.0238464	0.0152103	0.018051	0.0244188	0.033243	0.0116394	0.0245919	0.0205424	0.00235934	0.0170213	0.00478172	0.0148863	0.026282	0.0180241	0.0218981	0.037735	0.0194957	0.0230331	0.0244084	0.021614	0.0191411	0.0267075	0.0174331	0.0330533	0.0166621	0.0250529	0.0195121	0.0168154	0.0231182	0.0162016	0.0323305	0.0210209	0.035411	0.0287786	0.0358564	0.0384819	0.0240785	0.0243904	0.0252073	0.0172608	0.022087	0.0196993	0.0190324	0.0066936	0.02175	0.0219869	0.02194496	0.08269664	0.474542	0.474542	0.474542	0.474542	0.474542	0.117801	0.211015	0.329834	0.590825	0.2638181	0.7008829
9	1	-14907.5	-14980.1	72.6167	0.0509703	0.0280617	0.0391696	0.0323862	0.0340783	0.0451588	0.0422044	0.0197412	0.0159241	0.0444917	0.0283156	0.0334792	0.0314951	0.0286329	0.0233977	0.0290771	0.01856	0.0249662	0.0274662	0.0371454	0.0201106	0.0322771	0.0310244	0.034168	0.0557063	0.0370982	0.0208424	0.0303044	0.0227065	0.0303296	0.0267671	0.028181	0.0182618	0.0315817	0.0388545	0.0346122	0.0313186	0.0270058	0.0305936	0.0679654	0.0418684	0.0417513	0.0341602	0.0240744	0.0307828	0.0418848	0.0227932	0.0497809	0.0398227	0.0334816	0.0349325	0.0209136	0.0288781	0.0302127	0.0244134	0.0495375	0.0311102	0.0191997	0.0210181	0.0234081	0.0137476	0.0377005	0.0335697	0.0364913	0.0145316	0.0242212	0.0470217	0.0603486	0.0216603	0.0424585	0.0243682	0.0399206	0.0192959	0.0588024	0.0369676	0.0426127	0.0393669	0.0282352	0.0262749	0.0331979	0.0320773	0.029764	0.00377521	0.0255551	0.0267854	0.0396526	0.0184959	0.0339272	0.0279491	0.0289931	0.0317266	0.0304494	0.0279316	0.0291262	0.0405055	0.0284979	0.0395107	0.00322974	0.03010855	0.06614584	0.877766	0.877766	0.877766	0.877766	0.8777665	0.00697769	0.0400443	0.152748	0.876605	0.07820918	2.100814
