Iteration	Posterior	Likelihood	Prior	branch_rate[1]	branch_rate[2]	branch_rate[3]	branch_rate[4]	branch_rate[5]	branch_rate[6]	branch_rate[7]	branch_rate[8]	branch_rate[9]	branch_rate[10]	branch_rate[11]	branch_rate[12]	branch_rate[13]	branch_rate[14]	branch_rate[15]	branch_rate[16]	branch_rate[17]	branch_rate[18]	branch_rate[19]	branch_rate[20]	branch_rate[21]	branch_rate[22]	branch_rate[23]	branch_rate[24]	branch_rate[25]	branch_rate[26]	branch_rate[27]	branch_rate[28]	branch_rate[29]	branch_rate[30]	branch_rate[31]	branch_rate[32]	branch_rate[33]	branch_rate[34]	branch_rate[35]	branch_rate[36]	branch_rate[37]	branch_rate[38]	branch_rate[39]	branch_rate[40]	branch_rate[41]	branch_rate[42]	branch_rate[43]	branch_rate[44]	branch_rate[45]	branch_rate[46]	branch_rate[47]	branch_rate[48]	branch_rate[49]	branch_rate[50]	branch_rate[51]	branch_rate[52]	branch_rate[53]	branch_rate[54]	branch_rate[55]	branch_rate[56]	branch_rate[57]	branch_rate[58]	branch_rate[59]	branch_rate[60]	branch_rate[61]	branch_rate[62]	branch_rate[63]	branch_rate[64]	branch_rate[65]	branch_rate[66]	branch_rate[67]	branch_rate[68]	branch_rate[69]	branch_rate[70]	branch_rate[71]	branch_rate[72]	branch_rate[73]	branch_rate[74]	branch_rate[75]	branch_rate[76]	branch_rate[77]	branch_rate[78]	branch_rate[79]	branch_rate[80]	branch_rate[81]	branch_rate[82]	branch_rate[83]	branch_rate[84]	branch_rate[85]	branch_rate[86]	branch_rate[87]	branch_rate[88]	branch_rate[89]	branch_rate[90]	branch_rate[91]	branch_rate[92]	branch_rate[93]	branch_rate[94]	branch_rate[95]	branch_rate[96]	branch_rate[97]	branch_rate[98]	clock_rate	event_rate	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction_mean	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation_mean	speciation_sd
0	-54473.4	-54289.5	-183.926	0.372085	0.350646	0.339601	0.290071	0.369341	0.193959	0.482357	0.456579	0.353553	0.393225	0.324861	0.235994	0.210231	0.30413	0.42012	0.26117	0.371154	0.389935	0.39898	0.321828	0.242193	0.331818	0.359351	0.357277	0.269175	0.332876	0.349788	0.416071	0.252735	0.244943	0.386313	0.340343	0.295757	0.393607	0.307682	0.374389	0.391459	0.370681	0.233979	0.254041	0.339826	0.328111	0.302623	0.529982	0.302217	0.379558	0.472757	0.424531	0.393821	0.344476	0.382141	0.306916	0.273814	0.246057	0.258903	0.239821	0.235243	0.311016	0.476671	0.347258	0.279033	0.361912	0.316234	0.368577	0.394568	0.770139	0.409049	0.293909	0.352361	0.323796	0.364051	0.443644	0.5665	0.311413	0.322806	0.307433	0.244075	0.328293	0.264461	0.406667	0.383048	0.236165	0.458169	0.411576	0.198757	0.247639	0.216371	0.310945	0.610334	0.238426	0.456307	0.303678	0.229606	0.317528	0.299323	0.249319	0.399042	0.46318	0.3590489	0.2147075	0.0568417	0.0568417	0.0568417	0.0568417	0.05684167	0.0176045	0.0678128	0.190582	0.734125	0.1136833	1.621474
100	-16441.8	-16497.6	55.8351	0.0131259	0.0253161	0.0288623	0.00957794	0.0125284	0.0108596	0.0119937	0.011014	0.0291799	0.0150989	0.0348486	0.102268	0.0174207	0.0165823	0.0243444	0.0195498	0.0434768	0.0209594	0.0120785	0.0183636	0.0174028	0.00833535	0.016286	0.0156178	0.0162046	0.00849609	0.0295935	0.00598403	0.0227569	0.013442	0.0143252	0.0205713	0.0104611	0.011537	0.0141921	0.0133027	0.0113975	0.00860067	0.0152487	0.0208081	0.0194351	0.0222252	0.00895731	0.00801494	0.0170855	0.00836329	0.00798499	0.017433	0.0111356	0.009604	0.00809029	0.0121556	0.0126286	0.0158687	0.029052	0.0505528	0.0310794	0.0129394	0.0147686	0.0255075	0.0171821	0.0285813	0.0104839	0.0145561	0.0228526	0.0146572	0.0233516	0.00676295	0.0133836	0.00678372	0.00254429	0.0146804	0.0172038	0.0192517	0.0250727	0.0178588	0.00895075	0.0127319	0.0104302	0.014584	0.0101235	0.0214068	0.0145921	0.0183236	0.0280029	0.0133977	0.0130403	0.0153177	0.0178602	0.00446697	0.0114913	0.0109712	0.0105697	0.0126544	0.0301052	0.0118017	0.0152772	0.00729822	0.01600641	0.009945274	0.520605	0.520605	0.520605	0.520605	0.5206052	0.0568571	0.134112	0.258836	0.61053	0.1863142	1.031767
200	-16368	-16477.2	109.241	0.0125223	0.0189802	0.01816	0.0147861	0.0112586	0.0100238	0.0165305	0.0149469	0.0249818	0.0192703	0.0186047	0.0463498	0.0102013	0.013327	0.0223793	0.0145176	0.0232512	0.0149972	0.0115341	0.0157035	0.016961	0.0108613	0.0106432	0.0196596	0.0106343	0.0119325	0.0236274	0.0058018	0.0126992	0.0123868	0.0168851	0.0212259	0.0135618	0.00929693	0.0176173	0.00768912	0.0105595	0.00591953	0.0127151	0.0185309	0.0106425	0.0102146	0.0189225	0.010533	0.0128737	0.00618895	0.00929707	0.0183384	0.00870367	0.0108886	0.00799034	0.0150548	0.0150074	0.01132	0.0123102	0.04644	0.026467	0.0112716	0.00693387	0.0121788	0.0121491	0.0270307	0.0160001	0.0137776	0.0203261	0.0175814	0.00988619	0.00840627	0.0120366	0.0047446	0.00312545	0.0160542	0.00880281	0.0182383	0.0164565	0.0119565	0.01637	0.0143965	0.0073141	0.0177095	0.0119281	0.0107865	0.0141737	0.0112209	0.0173097	0.00737535	0.0124072	0.0185245	0.00661846	0.00560676	0.0124128	0.0137871	0.0161667	0.0115209	0.0176865	0.0090057	0.00665505	0.00832745	0.01326235	0.02279267	0.326329	0.326329	0.326329	0.326329	0.326329	0.1926	0.245955	0.296639	0.378816	0.2701108	0.2940144
300	-16260.1	-16404.9	144.751	0.0101679	0.0140098	0.0149547	0.0151062	0.0115144	0.00905353	0.0148297	0.0131914	0.00926424	0.0117208	0.00790436	0.0181036	0.00698176	0.0197668	0.0139122	0.0240074	0.0269853	0.0110873	0.0116753	0.0162107	0.0140398	0.00609075	0.0151845	0.0170498	0.0130287	0.0105151	0.0178047	0.00673534	0.0134889	0.0146192	0.0119542	0.00723284	0.0108438	0.00630454	0.0112135	0.0111813	0.0175619	0.0117398	0.0179486	0.0100072	0.00942461	0.0152496	0.0204759	0.00804252	0.00776043	0.0061042	0.00760442	0.0128482	0.00795353	0.00966323	0.00845674	0.0156079	0.011063	0.00812127	0.0137696	0.023589	0.0105413	0.0105003	0.0101872	0.00714324	0.00708567	0.0174262	0.00802804	0.00846809	0.0155541	0.0152383	0.00770979	0.00607543	0.01254	0.0102108	0.00782256	0.00851732	0.00886138	0.0108361	0.0150225	0.0117933	0.0179497	0.00696568	0.0138152	0.0120347	0.0113477	0.00522763	0.0143285	0.0135423	0.00814971	0.0151584	0.00963762	0.00752257	0.00564527	0.00800547	0.0127043	0.0150973	0.0129326	0.01176	0.0258809	0.0172017	0.0074616	0.00358641	0.01138682	0.001814918	0.226444	0.226444	0.226444	0.226444	0.226444	0.193426	0.222368	0.247442	0.284467	0.2345705	0.1676547
400	-16249.2	-16404.5	155.284	0.010995	0.0105341	0.0133359	0.0104782	0.0123212	0.00839747	0.00520882	0.0118483	0.0125199	0.00967316	0.00708832	0.015548	0.00926314	0.00752199	0.0104883	0.0121644	0.0323334	0.0168315	0.0163486	0.0182156	0.0146493	0.00857126	0.0145658	0.014441	0.0169461	0.00854394	0.0137445	0.00800097	0.0114258	0.00825754	0.00863705	0.0125054	0.0084416	0.00688747	0.00775053	0.013821	0.0114237	0.0096703	0.0111835	0.0089497	0.00549527	0.00906538	0.0114068	0.0135995	0.0061498	0.00759711	0.00907685	0.0122038	0.0111311	0.0100781	0.00757307	0.00935848	0.0146821	0.0105061	0.0114312	0.0190638	0.0202368	0.0201774	0.00684046	0.00469357	0.00608878	0.0135294	0.0100581	0.0128284	0.0130888	0.0134438	0.00988845	0.00774059	0.00997172	0.0038462	0.00826055	0.0118102	0.0103602	0.0155828	0.0137879	0.00749093	0.00829715	0.0118189	0.00827167	0.0121968	0.0122607	0.00643577	0.0141333	0.0128373	0.010095	0.00869102	0.0122573	0.00793869	0.00825875	0.00529012	0.0124711	0.0116654	0.0131113	0.0131891	0.0174725	0.024567	0.0103052	0.00681573	0.01094513	0.1619987	0.259776	0.259776	0.259776	0.259776	0.2597762	0.233478	0.276181	0.314114	0.371564	0.2945372	0.2019526
500	-16243.5	-16394.1	150.65	0.0143047	0.0173976	0.0141425	0.0107315	0.0107934	0.00925474	0.0136111	0.00538332	0.0134897	0.00616678	0.00822522	0.0141308	0.0057098	0.0108543	0.0121363	0.00979373	0.0326281	0.011934	0.00795226	0.0138507	0.0122642	0.0063549	0.0131768	0.0128287	0.013219	0.00557568	0.013865	0.00656634	0.0113551	0.00823342	0.00693363	0.00985601	0.0109162	0.00869574	0.0129721	0.00703774	0.00987678	0.00494626	0.00799025	0.00779621	0.00868641	0.0070134	0.0186331	0.0166305	0.0104831	0.00993832	0.0134411	0.013615	0.00890997	0.0125149	0.0112626	0.00908272	0.00905233	0.00880815	0.0119905	0.0213642	0.00839337	0.015386	0.00786545	0.0080447	0.0172385	0.0117458	0.00726651	0.00740795	0.00931096	0.0242604	0.00900769	0.0100097	0.00878007	0.00563956	0.00739867	0.00604262	0.00745716	0.0139415	0.0173579	0.00597315	0.00438081	0.0121408	0.0131724	0.0134498	0.00910463	0.00617652	0.0165748	0.00706172	0.00822614	0.00612159	0.0102352	0.00861571	0.00675141	0.00630222	0.0102178	0.0111046	0.0140596	0.0107528	0.0213754	0.0164547	0.00787471	0.00566999	0.01096255	0.2037787	0.00497217	0.00497217	0.00497217	0.00497217	0.004972165	0.122072	0.161991	0.201207	0.267006	0.1805376	0.3401844
600	-16241.1	-16396.4	155.32	0.0105941	0.0149959	0.0136404	0.0150859	0.00966286	0.0172034	0.0051125	0.0051313	0.0100252	0.00703658	0.0105798	0.0185651	0.0111714	0.0111757	0.0124863	0.0156997	0.0198943	0.00886115	0.0110365	0.0127297	0.0151523	0.00657108	0.00841773	0.0089841	0.0108226	0.00811578	0.0155817	0.00697723	0.0116189	0.0102859	0.00724652	0.0125764	0.00799147	0.00732527	0.00760612	0.00764391	0.00761262	0.00590857	0.0123232	0.0130285	0.0114242	0.0142849	0.0240463	0.0115124	0.012434	0.00741018	0.0073089	0.00760826	0.0110039	0.0113695	0.00817619	0.006988	0.0102165	0.012245	0.0186863	0.0149138	0.0172778	0.00861609	0.00943954	0.00953991	0.00707045	0.0127593	0.00615595	0.00737306	0.0162335	0.0149599	0.0125488	0.00755717	0.0107494	0.00559577	0.00986274	0.00846477	0.00638323	0.0208766	0.00748759	0.0080941	0.0110464	0.00860154	0.0181315	0.0118636	0.00838332	0.00906493	0.0102012	0.0129724	0.00946305	0.00720779	0.008835	0.00881031	0.00353198	0.00587101	0.00946086	0.0152407	0.0123465	0.0120331	0.0220386	0.0148545	0.00724769	0.00957744	0.01054516	0.1403967	0.200826	0.200826	0.200826	0.200826	0.2008259	0.294502	0.305575	0.314339	0.326157	0.3099259	0.04437428
700	-16230.1	-16400.3	170.28	0.0109985	0.012937	0.0143815	0.015088	0.0137976	0.00955441	0.011616	0.01083	0.0107103	0.00910108	0.00709433	0.0194352	0.00598781	0.0104911	0.0102844	0.0115155	0.0166964	0.0120896	0.010506	0.00764453	0.0133315	0.00559962	0.00954497	0.00854632	0.00680656	0.0084521	0.0126353	0.00628606	0.0085551	0.00846282	0.00951213	0.010337	0.00621232	0.0072962	0.0165255	0.013228	0.0132475	0.00617981	0.0119389	0.0119899	0.00793522	0.0159272	0.0104788	0.0101511	0.0117034	0.00756295	0.00925059	0.00910246	0.00738788	0.00947749	0.00971299	0.00843935	0.00984672	0.0105298	0.0150061	0.0188275	0.0144753	0.00603607	0.00661839	0.0103257	0.00897869	0.0141686	0.00784151	0.00927871	0.0140104	0.0141908	0.00978012	0.00916585	0.0123746	0.00444819	0.00970617	0.00535186	0.00954877	0.015187	0.0104232	0.00822309	0.0065306	0.00817017	0.00743498	0.0101837	0.00613319	0.010205	0.0136238	0.0122077	0.00845082	0.0100409	0.0104457	0.00479707	0.0117266	0.00368058	0.0121651	0.00997809	0.00975821	0.0145428	0.0199227	0.0124865	0.00934419	0.00802007	0.01078186	0.04263654	0.29267	0.29267	0.29267	0.29267	0.2926702	0.221771	0.258321	0.290353	0.338206	0.2738692	0.1834263
800	-16222.9	-16397.7	174.864	0.0127927	0.0106963	0.0109198	0.0163098	0.0102386	0.00920233	0.0103669	0.0171205	0.010765	0.00662461	0.00569105	0.0121074	0.00934298	0.00781925	0.00770763	0.0138047	0.013217	0.00809939	0.00724114	0.00647051	0.010408	0.00551009	0.00840016	0.0160938	0.00825547	0.00639914	0.0157255	0.00638145	0.00807	0.00756683	0.0112682	0.00411946	0.0132523	0.00563355	0.00978648	0.00902523	0.00820291	0.00687611	0.0130514	0.00852222	0.00960323	0.0126937	0.00752651	0.018183	0.00658859	0.00874196	0.00976235	0.00980078	0.0112254	0.0121264	0.00741379	0.00725343	0.00926919	0.00827571	0.0157313	0.0189335	0.0113975	0.0133096	0.00599894	0.00776275	0.00778355	0.0104779	0.0068828	0.00689327	0.00743007	0.0168459	0.00746474	0.00773721	0.0116089	0.00837975	0.00999901	0.0101232	0.0100977	0.0127331	0.00901828	0.00977637	0.00744078	0.00660125	0.00743454	0.00841024	0.0096289	0.00609035	0.0101048	0.0101632	0.0099045	0.00594895	0.0102163	0.00824708	0.00662872	0.00785273	0.0121899	0.0100375	0.00948887	0.0143929	0.0235988	0.0157912	0.00841642	0.00436591	0.009990912	0.003588823	0.0285419	0.0285419	0.0285419	0.0285419	0.02854189	0.183761	0.188938	0.193003	0.19844	0.1909594	0.03340427
900	-16210.1	-16388.6	178.444	0.010665	0.0116597	0.00828026	0.0111708	0.00557631	0.00459929	0.00581415	0.00413352	0.00725128	0.00686166	0.00639084	0.0123586	0.00724133	0.00755998	0.00934111	0.00977078	0.0153594	0.0123379	0.0133759	0.0095623	0.00661084	0.00605621	0.00955014	0.0134711	0.00634994	0.00565057	0.019524	0.00503915	0.013526	0.0083779	0.0076591	0.00652211	0.00773956	0.0051408	0.00865574	0.00744297	0.0104989	0.00610291	0.00976585	0.00766556	0.00762616	0.00792699	0.006563	0.00869007	0.00596967	0.0119412	0.0150054	0.0130214	0.00710688	0.0113005	0.00968546	0.00896744	0.00925197	0.00843824	0.0103267	0.0161825	0.0121483	0.00632733	0.00610628	0.00587791	0.00708761	0.0112152	0.00666998	0.00802879	0.00845011	0.0168053	0.0142376	0.00704423	0.00392912	0.00909453	0.00937274	0.00656008	0.00952687	0.014848	0.00965246	0.00701339	0.00743543	0.0119145	0.0050369	0.00902541	0.0115637	0.0116343	0.00973297	0.00783957	0.00904572	0.0065611	0.00962992	0.00789075	0.00821029	0.00778519	0.00866356	0.0101823	0.00856773	0.010588	0.0239778	0.0102095	0.008325	0.00417992	0.00876948	0.02547832	8.39899e-05	8.39899e-05	8.39899e-05	8.39899e-05	8.398989e-05	0.133115	0.176277	0.218601	0.289482	0.1963016	0.3376728
