Iteration	Posterior	Likelihood	Prior	event_rate	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction_mean	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation_mean	speciation_sd
0	-271.897	-274.048	2.15036	0.1516567	0.0490217	0.0490217	0.0490217	0.0490217	0.04902169	0.0451053	0.0790713	0.121568	0.213112	0.09804339	0.6749337
100	-270.462	-273.195	2.7331	0.09530336	0.0509867	0.0509867	0.0509867	0.0509867	0.05098668	0.096452	0.113007	0.127591	0.14949	0.1200777	0.190458
200	-271.183	-273.667	2.48332	0.001904955	0.0736682	0.0736682	0.0736682	0.0736682	0.07366817	0.094212	0.107376	0.118694	0.135279	0.1128935	0.1572545
300	-264.385	-273.856	9.47101	0.1565519	9.9613e-05	9.9613e-05	9.9613e-05	9.9613e-05	9.961301e-05	0.0743394	0.0812255	0.0869304	0.0949828	0.08402953	0.1065135
400	-263.615	-273.572	9.95697	0.05347482	3.20328e-05	3.20328e-05	3.20328e-05	3.20328e-05	3.203284e-05	0.0637707	0.0880301	0.112696	0.155568	0.0996026	0.3876167
500	-261.63	-273.708	12.0775	0.01106345	4.18122e-06	4.18122e-06	4.18122e-06	4.18122e-06	4.181222e-06	0.025506	0.0448739	0.0691813	0.121714	0.05571744	0.6792552
600	-264.87	-275.394	10.5239	0.1663231	9.61981e-06	9.61981e-06	9.61981e-06	9.61981e-06	9.619807e-06	0.0141644	0.0364959	0.07537	0.194198	0.05244706	1.137981
700	-255.809	-269.239	13.4303	0.1766179	1.27973e-06	1.27973e-06	1.27973e-06	1.27973e-06	1.279735e-06	0.101841	0.113919	0.124134	0.138856	0.1189167	0.1347531
800	-261.809	-273.065	11.2555	0.06403577	1.14083e-05	1.14083e-05	1.14083e-05	1.14083e-05	1.140832e-05	0.0647437	0.082336	0.0989869	0.125884	0.09027841	0.289009
900	-266.201	-273.88	7.67873	0.1666957	0.000244199	0.000244199	0.000244199	0.000244199	0.0002441993	0.0433422	0.0719603	0.106121	0.176192	0.08738725	0.6095738
1000	-262.966	-273.357	10.3909	0.1313344	2.56119e-05	2.56119e-05	2.56119e-05	2.56119e-05	2.561187e-05	0.0925521	0.1078	0.121163	0.141125	0.1142864	0.1833666
1100	-254.648	-268.46	13.8121	0.180731	1.05774e-06	1.05774e-06	1.05774e-06	1.05774e-06	1.057741e-06	0.0987804	0.105437	0.110839	0.118308	0.108104	0.07840619
1200	-259.793	-272.807	13.0148	0.1942077	3.10512e-06	3.10512e-06	3.10512e-06	3.10512e-06	3.105124e-06	0.09001	0.090987	0.0917427	0.0927385	0.09136408	0.01297975
1300	-255.788	-268.937	13.1489	0.1929742	1.77216e-06	1.77216e-06	1.77216e-06	1.77216e-06	1.772155e-06	0.118876	0.125486	0.130798	0.138071	0.1281145	0.06506249
1400	-256.382	-269.221	12.839	0.1986828	2.35602e-06	2.35602e-06	2.35602e-06	2.35602e-06	2.356018e-06	0.124024	0.130264	0.135256	0.142061	0.1327365	0.05901958
1500	-255.07	-268.573	13.5034	0.2029879	1.14831e-06	1.14831e-06	1.14831e-06	1.14831e-06	1.148311e-06	0.12736	0.134852	0.140889	0.149177	0.1378377	0.06872378
