Iteration	Replicate_ID	Posterior	Likelihood	Prior	event_rate	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction_mean	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation_mean	speciation_sd
32	0	-266.288	-273.948	7.66016	0.09451413	0.00023148	0.00023148	0.00023148	0.00023148	0.0002314803	0.0294027	0.0558246	0.0912373	0.173225	0.07136725	0.7708547
33	1	-257.705	-270.381	12.6762	0.2035071	3.82768e-06	3.82768e-06	3.82768e-06	3.82768e-06	3.827683e-06	0.0918585	0.0958557	0.0990358	0.103345	0.09743274	0.0512135
34	0	-261.866	-273.179	11.3131	0.1422662	1.00819e-05	1.00819e-05	1.00819e-05	1.00819e-05	1.00819e-05	0.0940869	0.109385	0.122771	0.142733	0.1158849	0.1811442
35	1	-263.432	-274.436	11.0039	0.06444519	8.81984e-06	8.81984e-06	8.81984e-06	8.81984e-06	8.819838e-06	0.00795501	0.0216247	0.0465295	0.126484	0.03172041	1.202381
36	0	-261.225	-273.465	12.24	0.1310271	5.51244e-06	5.51244e-06	5.51244e-06	5.51244e-06	5.51244e-06	0.0936029	0.0991856	0.103688	0.109872	0.1014116	0.06965422
37	1	-261.857	-274.484	12.6264	0.03464603	3.24342e-06	3.24342e-06	3.24342e-06	3.24342e-06	3.243419e-06	0.0309435	0.0472189	0.065276	0.0996093	0.05551811	0.5081463
38	0	-257.82	-271.113	13.2939	0.1491236	1.33946e-06	1.33946e-06	1.33946e-06	1.33946e-06	1.339455e-06	0.105682	0.120083	0.132432	0.150478	0.1261063	0.1535953
39	1	-271.161	-274.282	3.12024	0.08282015	0.0185261	0.0185261	0.0185261	0.0185261	0.01852607	0.013944	0.0344529	0.0689018	0.170244	0.04872239	1.087575
40	0	-253.544	-267.334	13.7897	0.2004913	1.0995e-06	1.0995e-06	1.0995e-06	1.0995e-06	1.099499e-06	0.0974923	0.103966	0.109215	0.116467	0.1065582	0.0772966
41	1	-269.872	-274.165	4.2932	0.04259885	0.0063768	0.0063768	0.0063768	0.0063768	0.006376802	0.0231645	0.0478537	0.0834351	0.172362	0.06318766	0.8723345
42	0	-256.707	-269.331	12.6238	0.1937731	3.12429e-06	3.12429e-06	3.12429e-06	3.12429e-06	3.124286e-06	0.115672	0.121587	0.126323	0.132782	0.1239322	0.05995928
43	1	-268.081	-274.177	6.09614	0.1083699	0.00163968	0.00163968	0.00163968	0.00163968	0.00163968	0.0403506	0.0622812	0.0868551	0.134061	0.07354887	0.5218791
44	0	-254.318	-268.069	13.751	0.2005553	1.08417e-06	1.08417e-06	1.08417e-06	1.08417e-06	1.084174e-06	0.0922423	0.101517	0.109249	0.120234	0.1053121	0.1151909
45	1	-264.953	-273.244	8.29109	0.09327097	0.000186726	0.000186726	0.000186726	0.000186726	0.0001867263	0.0458447	0.0677337	0.0913465	0.134961	0.07865896	0.4693023
46	0	-255.479	-268.941	13.4618	0.1991728	1.13268e-06	1.13268e-06	1.13268e-06	1.13268e-06	1.13268e-06	0.122974	0.133683	0.142517	0.154928	0.1380294	0.1004011
47	1	-255.891	-269.383	13.4917	0.1637044	1.01828e-06	1.01828e-06	1.01828e-06	1.01828e-06	1.018285e-06	0.0604795	0.0826854	0.105075	0.143655	0.09321025	0.3760194
48	0	-263.881	-273.102	9.2215	0.1954203	0.000108143	0.000108143	0.000108143	0.000108143	0.0001081432	0.0967018	0.102754	0.107646	0.114383	0.1051713	0.0729855
49	1	-258.929	-271.661	12.7323	0.177763	2.54128e-06	2.54128e-06	2.54128e-06	2.54128e-06	2.541277e-06	0.0713223	0.0888207	0.105082	0.130863	0.09660968	0.2638063
50	0	-263.695	-274.043	10.3486	0.03672541	1.37268e-05	1.37268e-05	1.37268e-05	1.37268e-05	1.372683e-05	0.0128861	0.0323832	0.0656089	0.164877	0.04609369	1.107945
51	1	-257.034	-269.952	12.9186	0.194751	2.7723e-06	2.7723e-06	2.7723e-06	2.7723e-06	2.772304e-06	0.0948969	0.10041	0.10485	0.110941	0.102606	0.06789642
52	0	-264.492	-273.879	9.38752	0.1534162	5.1406e-05	5.1406e-05	5.1406e-05	5.1406e-05	5.140604e-05	0.0336228	0.0575311	0.086824	0.148562	0.07067588	0.6458034
53	1	-268.394	-275.694	7.30083	0.004755191	3.48583e-05	3.48583e-05	3.48583e-05	3.48583e-05	3.485825e-05	0.00314327	0.0220863	0.0983825	0.691287	0.04661441	2.344197
54	0	-254.456	-267.913	13.4572	0.2018338	1.41388e-06	1.41388e-06	1.41388e-06	1.41388e-06	1.413876e-06	0.0950805	0.104578	0.112493	0.12373	0.1084635	0.114478
55	1	-254.891	-268.508	13.6173	0.179933	1.01197e-06	1.01197e-06	1.01197e-06	1.01197e-06	1.011969e-06	0.0760948	0.0939675	0.110454	0.136397	0.1018778	0.2536567
56	0	-254.263	-267.795	13.5317	0.1990334	1.15073e-06	1.15073e-06	1.15073e-06	1.15073e-06	1.150725e-06	0.0772875	0.0938284	0.10886	0.132158	0.1010652	0.2331756
