Iteration	Posterior	Likelihood	Prior	event_rate	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction_mean	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation_mean	speciation_sd
13300	-265.532	-275.792	10.2602	0.04905692	4.97519e-05	4.97519e-05	4.97519e-05	4.97519e-05	4.975189e-05	0.0570789	0.0655217	0.0728266	0.0835987	0.06907766	0.1658594
13400	-253.949	-267.975	14.0266	0.1984333	1.03057e-06	1.03057e-06	1.03057e-06	1.03057e-06	1.030569e-06	0.0899925	0.0934236	0.0961409	0.0998065	0.09477255	0.04498969
13500	-262.817	-273.795	10.9783	0.06754495	1.31283e-05	1.31283e-05	1.31283e-05	1.31283e-05	1.312825e-05	0.0295773	0.0491891	0.0726333	0.120794	0.05977263	0.6115885
13600	-254.391	-267.95	13.5584	0.1964311	1.18494e-06	1.18494e-06	1.18494e-06	1.18494e-06	1.184938e-06	0.102708	0.112909	0.121405	0.133463	0.1170799	0.1138511
13700	-257.299	-270.48	13.1804	0.1591936	1.72894e-06	1.72894e-06	1.72894e-06	1.72894e-06	1.72894e-06	0.0905311	0.103257	0.114207	0.130261	0.1085942	0.1581468
13800	-263.69	-273.875	10.1852	0.05751586	4.10612e-05	4.10612e-05	4.10612e-05	4.10612e-05	4.10612e-05	0.110898	0.11338	0.115319	0.1179	0.1143452	0.02661219
13900	-259.535	-272.999	13.4643	0.04125852	2.03646e-06	2.03646e-06	2.03646e-06	2.03646e-06	2.036464e-06	0.087227	0.088269	0.0890758	0.0901399	0.0886715	0.0142775
14000	-262.159	-273.389	11.2299	0.1586674	1.56271e-05	1.56271e-05	1.56271e-05	1.56271e-05	1.562711e-05	0.106545	0.107711	0.108613	0.109802	0.108161	0.01308984
14100	-270.33	-274.144	3.81461	0.1999399	0.0218724	0.0218724	0.0218724	0.0218724	0.02187241	0.069864	0.0839664	0.0966696	0.116183	0.09009437	0.2210697
14200	-266.094	-276.187	10.093	0.1270473	7.13993e-05	7.13993e-05	7.13993e-05	7.13993e-05	7.139932e-05	0.0669538	0.0693271	0.0712024	0.0737264	0.07025854	0.04188224
14300	-268.282	-275.435	7.15369	0.04391697	0.000952405	0.000952405	0.000952405	0.000952405	0.0009524049	0.0485218	0.061091	0.0728839	0.091764	0.06672742	0.2769624
14400	-267.697	-274.093	6.3964	0.09962523	0.00107884	0.00107884	0.00107884	0.00107884	0.001078843	0.0551844	0.0804764	0.107452	0.156699	0.09299125	0.4536225
14500	-269.256	-273.687	4.43102	0.1459528	0.0144491	0.0144491	0.0144491	0.0144491	0.01444905	0.0986164	0.101066	0.102984	0.105542	0.1020203	0.02949908
14600	-270.674	-273.919	3.24476	0.1848202	0.0228154	0.0228154	0.0228154	0.0228154	0.02281537	0.0613045	0.089269	0.119057	0.173366	0.1030928	0.4518423
14700	-266.301	-273.646	7.34452	0.05575863	0.000405444	0.000405444	0.000405444	0.000405444	0.0004054439	0.0343027	0.057976	0.0866735	0.146489	0.07088709	0.6309934
14800	-255.566	-268.889	13.3232	0.1873577	1.3441e-06	1.3441e-06	1.3441e-06	1.3441e-06	1.344102e-06	0.0567391	0.0765543	0.0963043	0.129937	0.08586328	0.3601445
14900	-258.837	-272.197	13.3595	0.1481677	1.62873e-06	1.62873e-06	1.62873e-06	1.62873e-06	1.628726e-06	0.119884	0.121679	0.123072	0.124915	0.1223737	0.01786906
15000	-257.45	-270.17	12.7198	0.1889671	2.25622e-06	2.25622e-06	2.25622e-06	2.25622e-06	2.256219e-06	0.117502	0.131452	0.143252	0.16026	0.1372255	0.134892
15100	-261.698	-273.314	11.6162	0.04016127	7.16932e-06	7.16932e-06	7.16932e-06	7.16932e-06	7.169325e-06	0.03413	0.0539198	0.0765472	0.120932	0.06424491	0.5498552
15200	-258.15	-270.085	11.935	0.1996695	5.49394e-06	5.49394e-06	5.49394e-06	5.49394e-06	5.493935e-06	0.116082	0.126391	0.134905	0.146885	0.1305786	0.1022951
15300	-258.581	-271.383	12.8023	0.1876836	2.62828e-06	2.62828e-06	2.62828e-06	2.62828e-06	2.628281e-06	0.0657293	0.0813336	0.0957536	0.118486	0.08824957	0.2561172
15400	-253.248	-267.006	13.7571	0.2028901	1.13151e-06	1.13151e-06	1.13151e-06	1.13151e-06	1.13151e-06	0.0922132	0.100058	0.106518	0.11558	0.1032374	0.09816827
15500	-257.405	-270.974	13.5687	0.169946	1.04467e-06	1.04467e-06	1.04467e-06	1.04467e-06	1.044667e-06	0.0914951	0.1076	0.121834	0.143279	0.114496	0.194944
15600	-257.11	-269.558	12.4475	0.1985787	3.52638e-06	3.52638e-06	3.52638e-06	3.52638e-06	3.52638e-06	0.120119	0.126907	0.132367	0.139847	0.1296086	0.06609568
15700	-260.839	-272.91	12.0707	0.1798503	6.77268e-06	6.77268e-06	6.77268e-06	6.77268e-06	6.772683e-06	0.0958875	0.0998262	0.102953	0.107182	0.1013777	0.04840124
15800	-263.124	-274.069	10.9455	0.09675706	1.16076e-05	1.16076e-05	1.16076e-05	1.16076e-05	1.160759e-05	0.084361	0.108166	0.13086	0.167786	0.1189731	0.2988586
15900	-262.266	-272.958	10.6924	0.1708361	2.31921e-05	2.31921e-05	2.31921e-05	2.31921e-05	2.319207e-05	0.10186	0.108766	0.114373	0.122127	0.1115345	0.07887344
16000	-255.169	-268.727	13.5585	0.1754574	1.02471e-06	1.02471e-06	1.02471e-06	1.02471e-06	1.024712e-06	0.0570982	0.0777099	0.0984098	0.133934	0.08744946	0.3705724
16100	-258.939	-271.828	12.8895	0.1716511	2.22162e-06	2.22162e-06	2.22162e-06	2.22162e-06	2.22162e-06	0.14185	0.14361	0.144973	0.146772	0.1442899	0.01482683
16200	-254.93	-268.361	13.4308	0.1986473	1.40531e-06	1.40531e-06	1.40531e-06	1.40531e-06	1.40531e-06	0.117949	0.122987	0.126992	0.132416	0.1249735	0.05028768
16300	-262.954	-275.852	12.8977	0.06500179	1.94231e-06	1.94231e-06	1.94231e-06	1.94231e-06	1.942309e-06	0.1127	0.126583	0.138366	0.15541	0.1323433	0.1396708
16400	-260.17	-273.626	13.4558	0.01743296	1.01417e-06	1.01417e-06	1.01417e-06	1.01417e-06	1.014173e-06	0.0232503	0.0424958	0.0674581	0.123297	0.0535414	0.7251175
16500	-256.687	-269.348	12.6615	0.1947271	2.33881e-06	2.33881e-06	2.33881e-06	2.33881e-06	2.338812e-06	0.0741746	0.0955122	0.115929	0.149279	0.1052268	0.3039913
16600	-261.44	-273.375	11.9356	0.02126966	5.24509e-06	5.24509e-06	5.24509e-06	5.24509e-06	5.24509e-06	0.0331964	0.0527645	0.0752567	0.119618	0.06301491	0.5571599
16700	-256.548	-269.776	13.2278	0.1928568	1.60096e-06	1.60096e-06	1.60096e-06	1.60096e-06	1.600955e-06	0.0574273	0.075442	0.0929838	0.122152	0.08375492	0.3280528
16800	-263.709	-273.584	9.87563	0.01610262	3.72705e-05	3.72705e-05	3.72705e-05	3.72705e-05	3.727048e-05	0.02291	0.0417618	0.0661572	0.120596	0.0525628	0.7218992
16900	-260.023	-273.415	13.3919	0.004415776	1.21273e-06	1.21273e-06	1.21273e-06	1.21273e-06	1.212727e-06	0.0634063	0.0836512	0.103438	0.136465	0.09301999	0.3331609
17000	-260.813	-273.215	12.4025	0.02585668	4.65494e-06	4.65494e-06	4.65494e-06	4.65494e-06	4.654937e-06	0.0730512	0.0833714	0.092255	0.105288	0.08770078	0.158882
17100	-256.911	-269.35	12.4386	0.1972266	3.78733e-06	3.78733e-06	3.78733e-06	3.78733e-06	3.787327e-06	0.0940828	0.104811	0.113853	0.126836	0.1092386	0.1298377
17200	-256.772	-269.997	13.2245	0.1924101	1.67718e-06	1.67718e-06	1.67718e-06	1.67718e-06	1.67718e-06	0.0469906	0.06463	0.0825085	0.113481	0.07302415	0.3832255
17300	-258.76	-271.163	12.4031	0.1751265	2.62812e-06	2.62812e-06	2.62812e-06	2.62812e-06	2.628119e-06	0.0786795	0.103789	0.128328	0.169283	0.1154083	0.3330238
17400	-261.043	-272.378	11.3353	0.200574	9.75657e-06	9.75657e-06	9.75657e-06	9.75657e-06	9.756568e-06	0.0736337	0.0922322	0.109604	0.137287	0.1005434	0.2707764
17500	-256.787	-270.088	13.3009	0.1712049	1.42155e-06	1.42155e-06	1.42155e-06	1.42155e-06	1.421547e-06	0.0689781	0.0870551	0.104051	0.13132	0.09517445	0.2798481
17600	-256.019	-269.932	13.9131	0.1818326	1.12533e-06	1.12533e-06	1.12533e-06	1.12533e-06	1.125334e-06	0.0847655	0.0902161	0.0946285	0.100713	0.09239599	0.07492895
17700	-256.021	-269.354	13.3326	0.1861822	1.31812e-06	1.31812e-06	1.31812e-06	1.31812e-06	1.318122e-06	0.116387	0.127735	0.137173	0.150548	0.1323701	0.1118637
17800	-253.913	-267.676	13.7632	0.1882567	1.09585e-06	1.09585e-06	1.09585e-06	1.09585e-06	1.095852e-06	0.0865437	0.0963848	0.104676	0.116579	0.1004449	0.1294912
17900	-257.088	-270.208	13.12	0.2029291	1.41135e-06	1.41135e-06	1.41135e-06	1.41135e-06	1.411349e-06	0.0737035	0.0963838	0.118381	0.15481	0.1068176	0.322574
18000	-255.728	-269.126	13.3977	0.1859588	1.29865e-06	1.29865e-06	1.29865e-06	1.29865e-06	1.298651e-06	0.05254	0.0716528	0.0908818	0.123942	0.08069657	0.3730357
18100	-256	-269.43	13.4303	0.1985621	1.5559e-06	1.5559e-06	1.5559e-06	1.5559e-06	1.555902e-06	0.113802	0.11642	0.118467	0.121193	0.1174394	0.02734788
18200	-258.877	-270.925	12.0482	0.1858587	4.12877e-06	4.12877e-06	4.12877e-06	4.12877e-06	4.128766e-06	0.0744912	0.0970646	0.11889	0.154917	0.1074243	0.3182559
18300	-253.52	-267.397	13.8772	0.1892453	1.00879e-06	1.00879e-06	1.00879e-06	1.00879e-06	1.008785e-06	0.078932	0.0894822	0.0985107	0.111678	0.09388798	0.1508376
18400	-257.471	-269.892	12.4216	0.2011126	3.32178e-06	3.32178e-06	3.32178e-06	3.32178e-06	3.321781e-06	0.121701	0.131328	0.139217	0.150231	0.1352153	0.0915409
18500	-254.913	-268.199	13.286	0.1988997	1.3847e-06	1.3847e-06	1.3847e-06	1.3847e-06	1.384697e-06	0.0814028	0.0990749	0.11517	0.140173	0.1068199	0.2362191
18600	-256.903	-270.516	13.6133	0.171147	1.31095e-06	1.31095e-06	1.31095e-06	1.31095e-06	1.310951e-06	0.081864	0.0918742	0.100365	0.112637	0.09602572	0.1387025
18700	-254.842	-268.025	13.1837	0.2032638	1.62662e-06	1.62662e-06	1.62662e-06	1.62662e-06	1.626618e-06	0.100589	0.113147	0.123819	0.139277	0.1183627	0.141444
18800	-256.366	-269.795	13.4294	0.159413	1.20071e-06	1.20071e-06	1.20071e-06	1.20071e-06	1.200707e-06	0.0769635	0.0951934	0.112033	0.13857	0.1032707	0.2555941
18900	-259.038	-271.46	12.4227	0.1931558	3.89981e-06	3.89981e-06	3.89981e-06	3.89981e-06	3.899812e-06	0.0648764	0.0802337	0.0944184	0.116769	0.08703759	0.2554493
19000	-259.583	-272.931	13.3478	0.1203399	1.03267e-06	1.03267e-06	1.03267e-06	1.03267e-06	1.032666e-06	0.0655125	0.0908792	0.116782	0.162001	0.1030198	0.3935154
19100	-257.93	-271.574	13.6444	0.1182992	1.07459e-06	1.07459e-06	1.07459e-06	1.07459e-06	1.074585e-06	0.0907784	0.103807	0.115042	0.131553	0.1092803	0.1612502
19200	-262.237	-273.538	11.3017	0.1669785	1.63722e-05	1.63722e-05	1.63722e-05	1.63722e-05	1.637216e-05	0.0933196	0.0947312	0.0958273	0.0972768	0.09527769	0.01805114
19300	-255.424	-268.569	13.1449	0.1972316	1.61955e-06	1.61955e-06	1.61955e-06	1.61955e-06	1.61955e-06	0.0821759	0.0992902	0.114779	0.138683	0.1067538	0.2274641
19400	-254.601	-268.174	13.5732	0.1919643	1.23661e-06	1.23661e-06	1.23661e-06	1.23661e-06	1.236611e-06	0.109751	0.116375	0.12172	0.129066	0.1190173	0.07046012
19500	-259.095	-271.627	12.5322	0.2015497	3.45098e-06	3.45098e-06	3.45098e-06	3.45098e-06	3.450977e-06	0.0818298	0.0949297	0.106369	0.123398	0.1004869	0.1785418
19600	-258.823	-271.611	12.7881	0.1813564	2.16474e-06	2.16474e-06	2.16474e-06	2.16474e-06	2.16474e-06	0.144594	0.151078	0.156243	0.16325	0.153639	0.05274702
19700	-255.921	-269.308	13.3874	0.2010963	1.43001e-06	1.43001e-06	1.43001e-06	1.43001e-06	1.430014e-06	0.0834911	0.0970151	0.108842	0.126472	0.1027586	0.1805038
19800	-258.086	-270.897	12.8111	0.1579855	2.71771e-06	2.71771e-06	2.71771e-06	2.71771e-06	2.717707e-06	0.0895863	0.100045	0.108879	0.12159	0.1043687	0.1327662
19900	-255.13	-268.669	13.5392	0.1932941	1.36258e-06	1.36258e-06	1.36258e-06	1.36258e-06	1.362579e-06	0.114796	0.117955	0.120434	0.123747	0.1191877	0.03263613
20000	-259.429	-272.93	13.5003	0.03061337	1.36998e-06	1.36998e-06	1.36998e-06	1.36998e-06	1.369977e-06	0.0852875	0.0964999	0.106079	0.120024	0.101176	0.1485055
