Iteration	Posterior	Likelihood	Prior	event_rate	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction_mean	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation_mean	speciation_sd
3300	-256.847	-269.713	12.8653	0.1803997	2.0019e-06	2.0019e-06	2.0019e-06	2.0019e-06	2.001899e-06	0.0596343	0.0806903	0.101729	0.137648	0.0906011	0.3635721
3400	-255.405	-268.781	13.376	0.1916808	1.66535e-06	1.66535e-06	1.66535e-06	1.66535e-06	1.665353e-06	0.0940267	0.101288	0.107229	0.11551	0.1042161	0.08944026
3500	-257.111	-270.602	13.4906	0.1952151	1.30152e-06	1.30152e-06	1.30152e-06	1.30152e-06	1.301517e-06	0.0474311	0.0648222	0.0823513	0.112546	0.07306293	0.3755757
3600	-254.722	-268.335	13.6134	0.1991457	1.13697e-06	1.13697e-06	1.13697e-06	1.13697e-06	1.136967e-06	0.125338	0.1295	0.132783	0.137193	0.1311315	0.03928003
3700	-254.52	-268.181	13.6605	0.203827	1.20308e-06	1.20308e-06	1.20308e-06	1.20308e-06	1.203079e-06	0.123745	0.124512	0.125102	0.125877	0.1248064	0.007422646
3800	-256.917	-270.298	13.381	0.1547489	1.53054e-06	1.53054e-06	1.53054e-06	1.53054e-06	1.530542e-06	0.0888691	0.0996002	0.108692	0.121816	0.1040466	0.1370667
3900	-254.879	-268.794	13.9146	0.1971647	1.20424e-06	1.20424e-06	1.20424e-06	1.20424e-06	1.20424e-06	0.0762996	0.0820617	0.0867696	0.0933224	0.08438279	0.08753551
4000	-256.973	-270.276	13.3026	0.1887465	1.4282e-06	1.4282e-06	1.4282e-06	1.4282e-06	1.428204e-06	0.143477	0.145994	0.147952	0.150547	0.1469699	0.02090719
4100	-255.543	-268.385	12.8415	0.2031223	2.30004e-06	2.30004e-06	2.30004e-06	2.30004e-06	2.300041e-06	0.0998047	0.112382	0.123082	0.138594	0.1176108	0.1427088
4200	-254.129	-267.993	13.864	0.1865162	1.01715e-06	1.01715e-06	1.01715e-06	1.01715e-06	1.017151e-06	0.0912211	0.0992836	0.10594	0.115304	0.102558	0.1018313
4300	-255.066	-268.953	13.8863	0.1750813	1.03609e-06	1.03609e-06	1.03609e-06	1.03609e-06	1.036095e-06	0.0978287	0.103094	0.107319	0.113095	0.1051853	0.06302885
4400	-261.414	-274.154	12.7405	0.08471793	2.32077e-06	2.32077e-06	2.32077e-06	2.32077e-06	2.320773e-06	0.0951445	0.111595	0.126099	0.147901	0.1186253	0.1917445
4500	-257.145	-270.758	13.6132	0.141127	1.07216e-06	1.07216e-06	1.07216e-06	1.07216e-06	1.07216e-06	0.109178	0.119469	0.128007	0.140073	0.1236642	0.1083102
4600	-256.929	-269.964	13.0341	0.1779456	1.79941e-06	1.79941e-06	1.79941e-06	1.79941e-06	1.799406e-06	0.107562	0.120345	0.131157	0.146744	0.1256347	0.1350099
4700	-255.586	-269.383	13.7967	0.1929137	1.1612e-06	1.1612e-06	1.1612e-06	1.1612e-06	1.161197e-06	0.0802226	0.0889417	0.0962585	0.10672	0.0925278	0.1240525
4800	-258.981	-271.756	12.7746	0.1719108	2.15597e-06	2.15597e-06	2.15597e-06	2.15597e-06	2.155971e-06	0.0713918	0.0921046	0.111957	0.144439	0.1015469	0.3062873
4900	-255.3	-268.647	13.3463	0.1944462	1.71472e-06	1.71472e-06	1.71472e-06	1.71472e-06	1.714722e-06	0.078007	0.0887473	0.0979671	0.111456	0.0932433	0.1550948
5000	-259.757	-272.985	13.228	0.1583784	1.69955e-06	1.69955e-06	1.69955e-06	1.69955e-06	1.699555e-06	0.0764065	0.090758	0.103553	0.123004	0.09694472	0.2069573
5100	-255.552	-269.27	13.7182	0.2006522	1.54525e-06	1.54525e-06	1.54525e-06	1.54525e-06	1.545253e-06	0.0719644	0.0775241	0.0820731	0.0884138	0.0797662	0.08947568
5200	-263.872	-273.765	9.89372	0.07049181	3.5368e-05	3.5368e-05	3.5368e-05	3.5368e-05	3.536801e-05	0.0739726	0.0967738	0.118896	0.155544	0.107266	0.3230472
5300	-255.763	-269.733	13.9697	0.1852563	1.12006e-06	1.12006e-06	1.12006e-06	1.12006e-06	1.120063e-06	0.0743679	0.0809914	0.086463	0.0941638	0.0836825	0.1025826
5400	-255.084	-268.758	13.6739	0.1896644	1.26454e-06	1.26454e-06	1.26454e-06	1.26454e-06	1.264543e-06	0.0835195	0.0925211	0.100069	0.110855	0.09622128	0.1230673
5500	-255.906	-269.193	13.2871	0.1879942	1.40119e-06	1.40119e-06	1.40119e-06	1.40119e-06	1.40119e-06	0.0699765	0.0886746	0.106317	0.134725	0.09709592	0.2847304
5600	-267.914	-274.03	6.1153	0.1548814	0.00159986	0.00159986	0.00159986	0.00159986	0.001599859	0.0551529	0.0778385	0.101354	0.143043	0.08882152	0.4142388
5700	-265.027	-273.124	8.09711	0.1114322	0.000242258	0.000242258	0.000242258	0.000242258	0.0002422576	0.0695173	0.089226	0.108031	0.138659	0.09817938	0.3001007
5800	-268.98	-276.048	7.0675	0.0622474	0.000477985	0.000477985	0.000477985	0.000477985	0.000477985	0.00423506	0.0136105	0.0332938	0.106999	0.02128723	1.40367
5900	-261.769	-273.485	11.7156	0.04060686	4.64138e-06	4.64138e-06	4.64138e-06	4.64138e-06	4.641382e-06	0.0214274	0.0427553	0.0725895	0.144842	0.05570988	0.8306045
6000	-257.334	-270.346	13.0121	0.1754021	1.50022e-06	1.50022e-06	1.50022e-06	1.50022e-06	1.50022e-06	0.0748354	0.0987693	0.12217	0.161242	0.1098481	0.3336442
6100	-254.653	-268.069	13.4168	0.2007626	1.35919e-06	1.35919e-06	1.35919e-06	1.35919e-06	1.359188e-06	0.111113	0.119535	0.126418	0.136001	0.1229287	0.0878481
6200	-254.686	-267.954	13.2681	0.2023748	1.82939e-06	1.82939e-06	1.82939e-06	1.82939e-06	1.829386e-06	0.0924942	0.100525	0.107147	0.116451	0.1037834	0.100109
6300	-256.407	-268.975	12.5678	0.2007422	3.30576e-06	3.30576e-06	3.30576e-06	3.30576e-06	3.305759e-06	0.0980384	0.108127	0.116553	0.128546	0.1122608	0.1177603
6400	-261.351	-274.643	13.2919	0.09672651	1.48368e-06	1.48368e-06	1.48368e-06	1.48368e-06	1.483682e-06	0.123383	0.130147	0.135579	0.143011	0.1328349	0.06416454
6500	-257.925	-270.832	12.9066	0.1735992	2.29111e-06	2.29111e-06	2.29111e-06	2.29111e-06	2.291114e-06	0.0566293	0.0738923	0.0906031	0.118223	0.08182221	0.3199216
6600	-255.32	-268.94	13.6197	0.198626	1.06436e-06	1.06436e-06	1.06436e-06	1.06436e-06	1.064363e-06	0.131488	0.13632	0.140142	0.145292	0.1382178	0.04338971
6700	-257.627	-270.563	12.9353	0.1897621	1.66253e-06	1.66253e-06	1.66253e-06	1.66253e-06	1.662528e-06	0.0552447	0.0790585	0.104044	0.148894	0.090695	0.4309392
6800	-264.087	-273.124	9.03645	0.140253	0.000106144	0.000106144	0.000106144	0.000106144	0.0001061437	0.0793033	0.0947464	0.108585	0.12973	0.10143	0.2139255
6900	-268.662	-273.836	5.17491	0.1575403	0.00665273	0.00665273	0.00665273	0.00665273	0.006652734	0.0967888	0.100662	0.103734	0.107885	0.1021863	0.04717346
7000	-263.802	-273.524	9.72232	0.1035818	3.44e-05	3.44e-05	3.44e-05	3.44e-05	3.440003e-05	0.029653	0.0536682	0.0845539	0.153032	0.06736357	0.7132965
7100	-264.908	-274.368	9.45972	0.05636701	2.9824e-05	2.9824e-05	2.9824e-05	2.9824e-05	2.982397e-05	0.0166444	0.0401199	0.078728	0.189767	0.05620105	1.057819
7200	-265.85	-274.047	8.19602	0.07123509	0.000241638	0.000241638	0.000241638	0.000241638	0.0002416378	0.0415773	0.0602752	0.0801157	0.116145	0.06949096	0.4465099
7300	-261.073	-273.119	12.0457	0.0397838	4.76523e-06	4.76523e-06	4.76523e-06	4.76523e-06	4.765232e-06	0.0530055	0.073204	0.09375	0.129475	0.08284247	0.3881829
7400	-253.783	-267.581	13.7978	0.1851584	1.04539e-06	1.04539e-06	1.04539e-06	1.04539e-06	1.045394e-06	0.0928324	0.101668	0.109002	0.119376	0.105271	0.1093076
7500	-258.829	-272.753	13.9241	0.1034439	1.10089e-06	1.10089e-06	1.10089e-06	1.10089e-06	1.100891e-06	0.0988477	0.100915	0.102527	0.104671	0.1017177	0.02488027
7600	-258.597	-271.269	12.6723	0.1926099	2.90623e-06	2.90623e-06	2.90623e-06	2.90623e-06	2.906231e-06	0.0709075	0.0865618	0.100857	0.123124	0.09343663	0.2398469
7700	-258.861	-272.151	13.2897	0.1787652	2.38823e-06	2.38823e-06	2.38823e-06	2.38823e-06	2.388226e-06	0.0817678	0.0846961	0.0870106	0.0901266	0.08584552	0.04230546
7800	-256.341	-269.502	13.1613	0.2010556	2.18094e-06	2.18094e-06	2.18094e-06	2.18094e-06	2.180936e-06	0.077246	0.0867189	0.0947561	0.106376	0.09064844	0.1390829
7900	-264.502	-274.652	10.1499	0.1491312	1.60918e-05	1.60918e-05	1.60918e-05	1.60918e-05	1.60918e-05	0.0257467	0.0534949	0.0936827	0.194648	0.07079227	0.8792489
8000	-258.724	-270.882	12.1578	0.1932372	3.71159e-06	3.71159e-06	3.71159e-06	3.71159e-06	3.711595e-06	0.0904207	0.11125	0.130402	0.160442	0.1204462	0.2492544
8100	-255.174	-268.555	13.3813	0.1879399	1.15502e-06	1.15502e-06	1.15502e-06	1.15502e-06	1.155018e-06	0.077125	0.0977806	0.117278	0.148688	0.1070867	0.285314
8200	-266.351	-273.947	7.5961	0.03042042	0.000367056	0.000367056	0.000367056	0.000367056	0.0003670555	0.0665447	0.0886891	0.110526	0.147306	0.09900716	0.3453896
8300	-256.345	-269.096	12.7515	0.1951873	2.22865e-06	2.22865e-06	2.22865e-06	2.22865e-06	2.228649e-06	0.0969478	0.114067	0.129203	0.152018	0.1213993	0.1955166
8400	-262.315	-273.238	10.9235	0.1150294	1.75822e-05	1.75822e-05	1.75822e-05	1.75822e-05	1.758217e-05	0.0766027	0.0900779	0.101986	0.119927	0.09584726	0.1948309
8500	-256.348	-268.953	12.6052	0.2025346	2.70535e-06	2.70535e-06	2.70535e-06	2.70535e-06	2.70535e-06	0.0829756	0.100753	0.11691	0.141958	0.1085312	0.2333992
8600	-266.907	-273.694	6.78689	0.04728536	0.000800294	0.000800294	0.000800294	0.000800294	0.0008002942	0.0347749	0.0564885	0.0819219	0.133074	0.0680268	0.5833073
8700	-268.469	-274.292	5.82259	0.1883084	0.00169339	0.00169339	0.00169339	0.00169339	0.001693391	0.0289821	0.0528559	0.0837628	0.152762	0.06653841	0.7224768
8800	-271.882	-274.19	2.30743	0.1678452	0.0908654	0.0908654	0.0908654	0.0908654	0.09086536	0.109679	0.118409	0.125565	0.135558	0.121934	0.09207746
