/ufrc/burleigh/nhans/GitHubNH/revBB
c31a-s19.ufhpc
Fri May 31 16:01:22 EDT 2019

RevBayes version (1.0.11)
Build from development (0ef095) on Tue May 28 09:41:26 EDT 2019

Visit the website www.RevBayes.com for more information about RevBayes.

RevBayes is free software released under the GPL license, version 3. Type 'license()' for details.

To quit RevBayes type 'quit()' or 'q()'.


> source("0_scripts/mcmc_BDS_updated.Rev")
   Processing file "0_scripts/mcmc_BDS_updated.Rev"
   Successfully read one character matrix from file '2_seqdata_simseqbd/seq_sim_1.nex'
   Attempting to read the contents of file "simbdstree1.nex"
   Successfully read file

   Running MCMC simulation
   This simulation runs 2 independent replicates.
   The simulator uses 106 different moves in a random move schedule with 318.5 moves per iteration

Iter        |      Posterior   |     Likelihood   |          Prior   |     event_rate   |   speciation..   |    elapsed   |        ETA   |
4400        |       -14855.6   |       -14996.2   |        140.647   |      0.1445575   |      0.1941766   |   00:09:35   |   00:33:58   |
4500        |       -14847.3   |       -14975.7   |        128.414   |     0.02992462   |      0.1961634   |   00:09:48   |   00:33:45   |
4600        |       -14837.9   |       -14969.6   |        131.674   |       0.138142   |      0.2187659   |   00:10:00   |   00:33:28   |
4700        |       -14844.7   |       -14983.3   |        138.597   |     0.09836171   |      0.2042762   |   00:10:13   |   00:33:15   |
4800        |       -14838.7   |       -14981.6   |        142.911   |      0.1395094   |     0.05186402   |   00:10:26   |   00:33:02   |
4900        |       -14834.4   |       -14976.8   |        142.448   |     0.09453619   |      0.1180535   |   00:10:40   |   00:32:52   |
5000        |         -14838   |       -14975.2   |         137.17   |      0.1355316   |      0.1896117   |   00:10:53   |   00:32:39   |
5100        |         -14831   |       -14960.9   |        129.855   |     0.03793071   |       0.256137   |   00:11:06   |   00:32:25   |
5200        |       -14838.3   |         -14984   |        145.715   |      0.1642912   |      0.1078658   |   00:11:28   |   00:32:38   |
5300        |       -14838.1   |       -14981.6   |        143.577   |     0.08296334   |      0.1410631   |   00:11:41   |   00:32:24   |
5400        |       -14819.7   |       -14968.9   |        149.234   |      0.1734544   |       0.191992   |   00:11:55   |   00:32:13   |
5500        |       -14825.8   |       -14972.9   |        147.115   |       0.148609   |      0.2713543   |   00:12:09   |   00:32:01   |
5600        |       -14822.2   |       -14982.5   |        160.231   |     0.08707693   |      0.2211675   |   00:12:22   |   00:31:47   |
5700        |       -14834.6   |       -14978.1   |         143.49   |      0.0627052   |     0.06083155   |   00:12:35   |   00:31:34   |
5800        |       -14842.7   |       -14981.5   |        138.834   |     0.08528885   |     0.03201923   |   00:12:47   |   00:31:17   |
5900        |       -14827.8   |       -14985.6   |        157.819   |     0.04446697   |    0.006515677   |   00:12:59   |   00:31:01   |


Iter        |      Posterior   |     Likelihood   |          Prior   |     event_rate   |   speciation..   |    elapsed   |        ETA   |
------------------------------------------------------------------------------------------------------------------------------------------
6000        |       -14818.2   |       -14978.2   |        160.071   |     0.03895346   |     0.02553213   |   00:13:10   |   00:30:43   |
6100        |         -14817   |       -14973.6   |        156.599   |      0.1045421   |      0.1972073   |   00:13:23   |   00:30:29   |
6200        |       -14800.6   |       -14982.9   |         182.27   |     0.04940765   |      0.1076446   |   00:13:44   |   00:30:34   |
6300        |       -14822.8   |       -14989.8   |        166.995   |     0.07416052   |      0.0207085   |   00:13:56   |   00:30:17   |
6400        |       -14817.4   |       -14990.2   |        172.808   |     0.08003667   |     0.04349339   |   00:14:08   |   00:30:02   |
6500        |       -14815.3   |       -14985.3   |        170.007   |     0.04414358   |      0.1725269   |   00:14:20   |   00:29:46   |
6600        |       -14810.2   |       -14989.4   |        179.195   |     0.08937543   |     0.05907382   |   00:14:32   |   00:29:30   |
6700        |       -14810.5   |       -14982.2   |        171.727   |     0.07243941   |      0.1315116   |   00:14:44   |   00:29:14   |
6800        |       -14826.1   |       -14985.9   |        159.805   |      0.1187014   |      0.1259665   |   00:14:56   |   00:28:59   |
6900        |       -14826.6   |       -14986.3   |        159.665   |     0.06958619   |    0.009444382   |   00:15:08   |   00:28:43   |
7000        |       -14823.7   |       -14979.8   |        156.073   |     0.02822218   |     0.03685341   |   00:15:20   |   00:28:28   |
7100        |       -14818.2   |       -14977.9   |        159.707   |      0.1243481   |     0.07892712   |   00:15:32   |   00:28:13   |
7200        |       -14821.6   |       -14985.6   |        164.085   |      0.1724935   |       0.214905   |   00:15:44   |   00:27:58   |
7300        |       -14805.5   |       -14970.8   |          165.3   |       0.102834   |      0.1634402   |   00:15:58   |   00:27:46   |
7400        |       -14823.1   |       -14977.5   |        154.429   |      0.1497814   |      0.3017578   |   00:16:11   |   00:27:33   |
7500        |       -14800.9   |       -14975.8   |        174.908   |    0.003802731   |      0.1337263   |   00:16:24   |   00:27:20   |
7600        |       -14816.9   |       -14975.4   |         158.49   |      0.1136464   |      0.1943827   |   00:16:37   |   00:27:06   |
7700        |       -14824.2   |       -14989.4   |        165.168   |     0.00952219   |       0.111101   |   00:16:49   |   00:26:51   |
7800        |       -14804.4   |         -14965   |        160.597   |      0.1637409   |      0.1626189   |   00:17:00   |   00:26:35   |
7900        |         -14803   |         -14983   |        180.081   |      0.0510287   |     0.07525114   |   00:17:12   |   00:26:20   |


Iter        |      Posterior   |     Likelihood   |          Prior   |     event_rate   |   speciation..   |    elapsed   |        ETA   |
------------------------------------------------------------------------------------------------------------------------------------------
8000        |       -14786.3   |       -14970.6   |        184.262   |      0.1115446   |     0.08046874   |   00:17:23   |   00:26:04   |
8100        |       -14789.1   |       -14986.6   |        197.495   |     0.05773846   |     0.03985393   |   00:17:35   |   00:25:49   |
8200        |         -14799   |       -14978.6   |        179.551   |      0.1698447   |     0.03717824   |   00:17:46   |   00:25:34   |
8300        |       -14787.1   |       -14975.4   |        188.306   |     0.07037006   |     0.03067098   |   00:17:58   |   00:25:19   |
8400        |       -14791.2   |       -14975.2   |        183.976   |       0.179081   |     0.07125875   |   00:18:09   |   00:25:03   |
8500        |       -14789.8   |       -14968.9   |        179.094   |     0.04798658   |     0.06752271   |   00:18:21   |   00:24:49   |
8600        |       -14798.7   |       -14987.6   |        188.932   |      0.1475926   |     0.08522524   |   00:18:33   |   00:24:35   |
8700        |       -14784.6   |       -14979.5   |        194.879   |     0.02670685   |      0.1097784   |   00:18:44   |   00:24:19   |
8800        |       -14789.9   |       -14984.9   |        195.036   |     0.03854058   |     0.03545466   |   00:18:56   |   00:24:05   |
8900        |       -14781.1   |       -14986.3   |        205.245   |     0.01984465   |     0.08552045   |   00:19:08   |   00:23:51   |
9000        |       -14785.5   |       -14976.1   |        190.609   |      0.1734071   |      0.1196637   |   00:19:20   |   00:23:37   |
9100        |       -14796.5   |       -14979.8   |        183.329   |     0.04262606   |     0.05965302   |   00:19:32   |   00:23:23   |
9200        |       -14780.3   |       -14977.5   |         197.25   |      0.0497284   |      0.1090975   |   00:19:43   |   00:23:08   |
9300        |       -14771.7   |       -14973.5   |        201.824   |     0.02657077   |     0.05078138   |   00:19:54   |   00:22:53   |
9400        |       -14768.7   |       -14983.4   |        214.716   |      0.1915804   |      0.1053299   |   00:20:06   |   00:22:39   |
9500        |       -14749.7   |       -14974.5   |        224.793   |      0.2015236   |      0.1402782   |   00:20:17   |   00:22:25   |
9600        |         -14766   |       -14992.3   |        226.349   |      0.2018602   |      0.1244243   |   00:20:27   |   00:22:09   |
9700        |       -14743.4   |       -14965.3   |        221.876   |      0.1982875   |      0.1244088   |   00:20:38   |   00:21:54   |
9800        |       -14759.4   |       -14982.2   |        222.783   |      0.1898127   |      0.1229548   |   00:20:49   |   00:21:39   |
9900        |       -14739.6   |       -14968.3   |        228.691   |      0.1972093   |      0.0936094   |   00:21:00   |   00:21:25   |


Iter        |      Posterior   |     Likelihood   |          Prior   |     event_rate   |   speciation..   |    elapsed   |        ETA   |
------------------------------------------------------------------------------------------------------------------------------------------
10000       |         -14749   |       -14981.3   |        232.298   |      0.1554595   |      0.1137038   |   00:21:11   |   00:21:11   |
10100       |       -14748.8   |       -14967.5   |         218.69   |      0.1617061   |      0.1106619   |   00:21:23   |   00:20:57   |
10200       |       -14752.9   |       -14980.2   |        227.325   |       0.197011   |       0.129809   |   00:21:34   |   00:20:43   |
10300       |         -14747   |       -14980.4   |        233.337   |      0.1662227   |      0.1107949   |   00:21:46   |   00:20:29   |
10400       |       -14763.1   |       -14991.1   |         227.96   |      0.2014132   |      0.1203911   |   00:21:56   |   00:20:14   |
10500       |       -14752.3   |       -14981.2   |        228.932   |      0.1810663   |      0.1102266   |   00:22:07   |   00:20:00   |
10600       |       -14749.9   |       -14972.3   |        222.359   |      0.1165315   |     0.05296317   |   00:23:30   |   00:20:50   |
10700       |       -14750.1   |         -14971   |        220.974   |     0.07001994   |     0.07566761   |   00:23:41   |   00:20:35   |
10800       |       -14767.9   |       -14989.2   |        221.342   |      0.0636788   |     0.08844103   |   00:23:53   |   00:20:20   |
10900       |         -14750   |       -14979.8   |        229.742   |      0.1982922   |      0.1131105   |   00:24:05   |   00:20:06   |
11000       |       -14755.3   |       -14982.7   |        227.401   |      0.1940644   |      0.1191962   |   00:24:16   |   00:19:51   |
11100       |       -14747.4   |       -14983.8   |        236.412   |      0.1918389   |     0.09146694   |   00:24:28   |   00:19:37   |
11200       |       -14757.8   |       -14983.3   |        225.542   |      0.1833938   |     0.09580812   |   00:24:42   |   00:19:24   |
11300       |       -14749.1   |       -14985.2   |        236.108   |      0.2029142   |      0.1136187   |   00:24:53   |   00:19:09   |
11400       |       -14744.1   |       -14973.1   |         229.03   |      0.1879592   |      0.1294214   |   00:25:04   |   00:18:54   |
11500       |       -14735.2   |       -14973.7   |        238.469   |      0.1406202   |      0.1094365   |   00:25:16   |   00:18:40   |
11600       |       -14749.1   |       -14975.1   |        225.925   |     0.08978192   |     0.08613494   |   00:25:27   |   00:18:25   |
11700       |       -14758.7   |       -14971.2   |        212.544   |    0.001953275   |      0.1013102   |   00:25:39   |   00:18:11   |
11800       |       -14767.6   |       -14980.8   |        213.176   |    0.007186407   |     0.02580164   |   00:25:51   |   00:17:57   |
11900       |       -14754.6   |       -14972.4   |        217.774   |      0.1472546   |     0.08532646   |   00:26:03   |   00:17:43   |


Iter        |      Posterior   |     Likelihood   |          Prior   |     event_rate   |   speciation..   |    elapsed   |        ETA   |
------------------------------------------------------------------------------------------------------------------------------------------
12000       |       -14743.9   |       -14971.7   |         227.73   |     0.04129712   |     0.09618636   |   00:26:14   |   00:17:29   |
