/ufrc/burleigh/nhans/GitHubNH/revBB
c25a-s1.ufhpc
Fri May 31 15:49:23 EDT 2019

RevBayes version (1.0.11)
Build from development (0ef095) on Tue May 28 09:41:26 EDT 2019

Visit the website www.RevBayes.com for more information about RevBayes.

RevBayes is free software released under the GPL license, version 3. Type 'license()' for details.

To quit RevBayes type 'quit()' or 'q()'.


> source("0_scripts/bd-tree-analysis.Rev")
   Processing file "0_scripts/bd-tree-analysis.Rev"
   Attempting to read the contents of file "simbdstree1.nex"
   Successfully read file

   Running MCMC simulation
   This simulation runs 2 independent replicates.
   The simulator uses 4 different moves in a random move schedule with 8 moves per iteration

Iter        |      Posterior   |     Likelihood   |          Prior   |     event_rate   |   extinction..   |   speciation..   |    elapsed   |        ETA   |
-------------------------------------------------------------------------------------------------------------------------------------------------------------

Iter        |      Posterior   |     Likelihood   |          Prior   |     event_rate   |   extinction..   |   speciation..   |    elapsed   |        ETA   |
-------------------------------------------------------------------------------------------------------------------------------------------------------------
350         |       -262.327   |       -273.346   |        11.0185   |     0.08308006   |   1.602544e-05   |      0.1121184   |   00:00:15   |   00:14:02   |
360         |       -262.909   |        -273.81   |         10.901   |      0.1500309   |   1.808879e-05   |      0.1266612   |   00:00:15   |   00:13:38   |
370         |       -260.975   |       -272.709   |        11.7343   |      0.1689803   |   1.045832e-05   |     0.09854351   |   00:00:15   |   00:13:15   |
380         |        -257.78   |       -270.222   |        12.4424   |      0.2005435   |   3.585831e-06   |      0.1407972   |   00:00:16   |   00:13:46   |
390         |       -255.537   |       -268.709   |        13.1713   |      0.2017426   |   1.776163e-06   |      0.1297879   |   00:00:16   |   00:13:24   |


Iter        |      Posterior   |     Likelihood   |          Prior   |     event_rate   |   extinction..   |   speciation..   |    elapsed   |        ETA   |
-------------------------------------------------------------------------------------------------------------------------------------------------------------
400         |       -254.867   |        -268.19   |         13.323   |      0.1987724   |   1.253722e-06   |      0.1135961   |   00:00:17   |   00:13:53   |
400         |       -254.867   |        -268.19   |         13.323   |      0.1987724   |   1.253722e-06   |      0.1135961   |   00:00:17   |   00:13:53   |
410         |       -259.348   |       -272.037   |        12.6884   |      0.1967695   |   1.846315e-06   |      0.1015587   |   00:00:17   |   00:13:32   |
420         |       -255.564   |       -269.188   |        13.6241   |      0.1646788   |   1.016008e-06   |      0.0882504   |   00:00:17   |   00:13:12   |
430         |       -260.313   |       -272.783   |        12.4694   |      0.2011358   |   3.427807e-06   |     0.07196085   |   00:00:18   |   00:13:39   |
440         |       -256.548   |       -269.503   |        12.9553   |      0.2011358   |   2.458575e-06   |     0.09774338   |   00:00:18   |   00:13:20   |
450         |       -257.396   |       -270.532   |        13.1359   |      0.1618633   |   1.432106e-06   |      0.1034745   |   00:00:19   |   00:13:45   |
460         |       -259.914   |       -272.067   |        12.1525   |      0.1644713   |    4.36609e-06   |      0.1173429   |   00:00:19   |   00:13:27   |
470         |       -256.144   |        -269.23   |        13.0858   |      0.1817618   |   1.583516e-06   |      0.0901098   |   00:00:19   |   00:13:09   |
480         |       -256.442   |        -269.14   |        12.6983   |       0.196168   |   2.419104e-06   |      0.1057483   |   00:00:20   |   00:13:33   |
490         |       -257.103   |       -270.701   |        13.5977   |      0.2037536   |   1.091511e-06   |     0.08074042   |   00:00:20   |   00:13:16   |
500         |       -256.157   |       -268.897   |        12.7399   |      0.2023133   |   3.247291e-06   |      0.1105169   |   00:00:20   |   00:13:00   |
500         |       -256.157   |       -268.897   |        12.7399   |      0.2023133   |   3.247291e-06   |      0.1105169   |   00:00:21   |   00:13:39   |
510         |       -254.625   |       -268.093   |        13.4685   |      0.1960626   |   1.490937e-06   |      0.1107426   |   00:00:21   |   00:13:22   |
520         |       -254.416   |       -267.891   |        13.4749   |      0.1991798   |   1.195363e-06   |      0.1009435   |   00:00:21   |   00:13:06   |
530         |       -255.687   |        -269.13   |        13.4424   |      0.2038099   |   1.442478e-06   |     0.08565878   |   00:00:22   |   00:13:28   |
540         |       -255.751   |        -268.48   |        12.7288   |      0.1977861   |   2.458666e-06   |      0.1101015   |   00:00:22   |   00:13:12   |
550         |       -259.025   |       -271.946   |        12.9211   |      0.1929883   |   2.582718e-06   |      0.0710565   |   00:00:22   |   00:12:58   |
