/ufrc/burleigh/nhans/GitHubNH/revBB
c32b-s5.ufhpc
Fri May 31 02:40:07 EDT 2019

RevBayes version (1.0.11)
Build from development (0ef095) on Tue May 28 09:41:26 EDT 2019

Visit the website www.RevBayes.com for more information about RevBayes.

RevBayes is free software released under the GPL license, version 3. Type 'license()' for details.

To quit RevBayes type 'quit()' or 'q()'.


> source("0_scripts/mcmc_BDS_updated.Rev")
   Processing file "0_scripts/mcmc_BDS_updated.Rev"
   Successfully read one character matrix from file '2_seqdata_simseqbd/seq_sim_1.nex'
   Attempting to read the contents of file "simbdshifttree.nex"
   Successfully read file
0.0317682,0.0717547,0.133963,0.302582
0.0490217,0.0490217,0.0490217,0.0490217
0.1427252

   Running MCMC simulation
   This simulation runs 2 independent replicates.
   The simulator uses 106 different moves in a random move schedule with 318.5 moves per iteration

Iter        |      Posterior   |     Likelihood   |          Prior   |     event_rate   |   speciation..   |    elapsed   |        ETA   |
440         |       -14866.9   |       -14989.8   |        122.901   |     0.08586716   |      0.5173966   |   00:01:40   |   01:14:05   |
450         |       -14867.7   |       -14980.6   |        112.883   |    0.003387597   |      0.4893783   |   00:01:42   |   01:13:51   |
460         |       -14856.1   |       -14978.7   |        122.623   |   0.0004204582   |       0.346423   |   00:01:45   |   01:14:20   |
470         |         -14848   |       -14983.9   |         135.92   |    0.002290643   |      0.4523702   |   00:01:47   |   01:14:06   |
480         |       -14846.9   |       -14973.4   |        126.477   |      0.0738896   |      0.4523784   |   00:01:49   |   01:13:52   |
490         |       -14861.6   |         -14977   |        115.415   |      0.1309828   |      0.5135155   |   00:01:51   |   01:13:39   |
500         |       -14861.7   |       -14973.6   |         111.85   |     0.03993004   |      0.2647805   |   00:01:53   |   01:13:27   |
510         |       -14853.7   |       -14973.9   |        120.189   |     0.01406193   |        0.45801   |   00:01:55   |   01:13:14   |
520         |       -14860.3   |       -14974.3   |        114.064   |      0.1757542   |      0.4980948   |   00:01:57   |   01:13:03   |
530         |       -14858.9   |       -14982.9   |         124.01   |      0.0218728   |      0.4573002   |   00:01:59   |   01:12:51   |
540         |       -14855.4   |       -14983.7   |        128.218   |      0.2015439   |      0.3459503   |   00:02:02   |   01:13:16   |
550         |       -14853.6   |       -14988.2   |        134.613   |      0.1468349   |      0.3197365   |   00:02:04   |   01:13:05   |
560         |       -14842.7   |       -14981.4   |        138.697   |      0.2020355   |      0.3969346   |   00:02:06   |   01:12:54   |
570         |       -14851.8   |       -14975.5   |        123.632   |     0.04186378   |       0.392166   |   00:02:08   |   01:12:43   |
580         |       -14845.4   |       -14974.9   |        129.513   |     0.04202611   |      0.4044296   |   00:02:10   |   01:12:32   |
