/ufrc/burleigh/nhans/GitHubNH/revBB
c31b-s1.ufhpc
Fri May 31 14:43:21 EDT 2019

RevBayes version (1.0.11)
Build from development (0ef095) on Tue May 28 09:41:26 EDT 2019

Visit the website www.RevBayes.com for more information about RevBayes.

RevBayes is free software released under the GPL license, version 3. Type 'license()' for details.

To quit RevBayes type 'quit()' or 'q()'.


> source("0_scripts/bd-tree-analysis.Rev")
   Processing file "0_scripts/bd-tree-analysis.Rev"
   Attempting to read the contents of file "simbdstree1.nex"
   Successfully read file

   Running MCMC simulation
   This simulation runs 2 independent replicates.
   The simulator uses 4 different moves in a random move schedule with 8 moves per iteration

Iter        |      Posterior   |     Likelihood   |          Prior   |     event_rate   |   extinction..   |   speciation..   |    elapsed   |        ETA   |
-------------------------------------------------------------------------------------------------------------------------------------------------------------

Iter        |      Posterior   |     Likelihood   |          Prior   |     event_rate   |   extinction..   |   speciation..   |    elapsed   |        ETA   |
-------------------------------------------------------------------------------------------------------------------------------------------------------------
350         |        -260.22   |       -273.168   |        12.9474   |      0.1164868   |   2.067248e-06   |       0.122243   |   00:00:14   |   00:13:05   |
360         |       -258.625   |        -272.06   |        13.4344   |      0.1660069   |    1.98243e-06   |     0.08699211   |   00:00:14   |   00:12:43   |
370         |       -256.282   |       -269.263   |        12.9806   |      0.1923627   |   2.362918e-06   |      0.1173571   |   00:00:14   |   00:12:22   |
380         |       -253.301   |       -267.088   |        13.7869   |       0.199628   |   1.093463e-06   |      0.1023641   |   00:00:15   |   00:12:54   |
390         |       -255.529   |        -268.58   |        13.0514   |      0.2035411   |   2.009417e-06   |      0.1096808   |   00:00:15   |   00:12:34   |


Iter        |      Posterior   |     Likelihood   |          Prior   |     event_rate   |   extinction..   |   speciation..   |    elapsed   |        ETA   |
-------------------------------------------------------------------------------------------------------------------------------------------------------------
400         |       -255.798   |       -269.091   |        13.2929   |      0.1815554   |   1.233872e-06   |      0.1100162   |   00:00:15   |   00:12:15   |
400         |       -255.798   |       -269.091   |        13.2929   |      0.1815554   |   1.233872e-06   |      0.1100162   |   00:00:16   |   00:13:04   |
410         |       -257.558   |        -270.52   |        12.9623   |      0.1867239   |   2.037301e-06   |      0.1405764   |   00:00:16   |   00:12:44   |
420         |        -257.31   |        -270.67   |        13.3608   |      0.1530562   |   1.282618e-06   |      0.1219365   |   00:00:16   |   00:12:25   |
430         |       -255.699   |       -269.084   |        13.3847   |      0.1727664   |   1.562102e-06   |     0.09717596   |   00:00:17   |   00:12:53   |
440         |       -254.914   |       -268.415   |        13.5015   |      0.1806748   |   1.186473e-06   |      0.1144996   |   00:00:17   |   00:12:35   |
450         |       -260.006   |       -272.131   |        12.1243   |      0.1923316   |   3.487639e-06   |      0.1406781   |   00:00:17   |   00:12:18   |
460         |        -256.18   |       -269.495   |         13.315   |      0.1802305   |   1.367524e-06   |      0.1295953   |   00:00:18   |   00:12:44   |
470         |       -255.089   |       -268.489   |        13.3995   |      0.1914358   |   1.412437e-06   |      0.1233858   |   00:00:18   |   00:12:27   |
480         |       -256.818   |       -270.535   |        13.7174   |      0.1418779   |   1.103738e-06   |      0.1119203   |   00:00:18   |   00:12:12   |
490         |       -256.059   |       -268.987   |        12.9276   |      0.1922418   |   2.252558e-06   |      0.1262596   |   00:00:19   |   00:12:36   |
500         |       -255.379   |       -269.232   |        13.8532   |      0.1910698   |   1.298377e-06   |     0.08435828   |   00:00:19   |   00:12:21   |
500         |       -255.379   |       -269.232   |        13.8532   |      0.1910698   |   1.298377e-06   |     0.08435828   |   00:00:19   |   00:12:21   |
510         |       -256.583   |       -269.656   |        13.0731   |      0.1803588   |   1.505611e-06   |      0.1119904   |   00:00:20   |   00:12:44   |
520         |       -257.074   |       -270.035   |        12.9614   |      0.1803588   |   1.573473e-06   |      0.1135725   |   00:00:20   |   00:12:29   |
530         |       -255.718   |       -269.326   |        13.6078   |      0.1723078   |   1.194814e-06   |      0.1234037   |   00:00:20   |   00:12:14   |
540         |       -260.473   |       -274.017   |        13.5443   |     0.08953072   |   1.256526e-06   |      0.1296237   |   00:00:21   |   00:12:36   |
550         |       -259.041   |       -271.719   |        12.6784   |      0.2026252   |   2.095077e-06   |       0.153858   |   00:00:21   |   00:12:22   |
560         |       -256.561   |       -269.624   |        13.0627   |      0.1850214   |   1.865801e-06   |     0.08284657   |   00:00:22   |   00:12:43   |
570         |       -260.726   |       -273.236   |        12.5102   |      0.1996435   |    1.58246e-06   |      0.1032275   |   00:00:22   |   00:12:29   |
580         |       -256.164   |       -269.629   |        13.4658   |      0.1888788   |   1.087128e-06   |      0.1392322   |   00:00:22   |   00:12:16   |
590         |       -256.932   |       -270.264   |        13.3315   |      0.1780821   |   1.327745e-06   |      0.1461987   |   00:00:23   |   00:12:36   |


Iter        |      Posterior   |     Likelihood   |          Prior   |     event_rate   |   extinction..   |   speciation..   |    elapsed   |        ETA   |
-------------------------------------------------------------------------------------------------------------------------------------------------------------
600         |       -255.984   |       -269.425   |        13.4407   |      0.1774466   |   1.378147e-06   |      0.1263616   |   00:00:23   |   00:12:23   |
600         |       -255.984   |       -269.425   |        13.4407   |      0.1774466   |   1.378147e-06   |      0.1263616   |   00:00:23   |   00:12:23   |
610         |       -259.138   |       -272.566   |        13.4279   |     0.08722857   |   1.953621e-06   |     0.09746739   |   00:00:23   |   00:12:11   |
620         |       -259.874   |       -272.912   |        13.0379   |     0.08421719   |   3.131541e-06   |      0.0901955   |   00:00:24   |   00:12:30   |
630         |       -257.246   |       -270.249   |        13.0031   |      0.1879093   |   1.973265e-06   |      0.1395263   |   00:00:24   |   00:12:17   |
640         |       -257.128   |       -270.494   |        13.3655   |      0.1725684   |   1.542555e-06   |      0.1273188   |   00:00:24   |   00:12:06   |
650         |       -254.961   |       -268.557   |        13.5962   |      0.1918352   |   1.034867e-06   |      0.1339131   |   00:00:25   |   00:12:24   |
660         |       -258.155   |        -271.24   |        13.0856   |      0.1748802   |   1.606321e-06   |      0.1197959   |   00:00:25   |   00:12:12   |
670         |       -255.042   |       -268.742   |        13.7002   |      0.1978188   |   1.017893e-06   |      0.1364231   |   00:00:25   |   00:12:01   |
680         |       -254.688   |       -268.619   |        13.9313   |      0.1978188   |   1.094184e-06   |     0.09993151   |   00:00:26   |   00:12:18   |
690         |       -260.651   |       -274.925   |        14.2733   |      0.1884261   |   1.093766e-06   |     0.06377272   |   00:00:26   |   00:12:07   |
700         |       -258.506   |       -271.641   |        13.1348   |      0.1983783   |   2.583161e-06   |     0.07556649   |   00:00:26   |   00:11:56   |
700         |       -258.506   |       -271.641   |        13.1348   |      0.1983783   |   2.583161e-06   |     0.07556649   |   00:00:26   |   00:11:56   |
710         |       -257.898   |        -270.55   |        12.6518   |      0.1637078   |   3.223238e-06   |      0.1055494   |   00:00:27   |   00:12:13   |
720         |       -256.083   |       -269.161   |        13.0775   |      0.1964724   |   1.742066e-06   |       0.135195   |   00:00:27   |   00:12:03   |
730         |       -258.963   |       -272.798   |        13.8352   |      0.1844494   |   1.407008e-06   |     0.06537176   |   00:00:27   |   00:11:52   |
740         |       -254.718   |       -268.321   |        13.6028   |      0.1917405   |   1.336889e-06   |     0.09270979   |   00:00:28   |   00:12:08   |
750         |       -257.023   |       -269.658   |         12.635   |      0.1895235   |   2.364283e-06   |      0.1123518   |   00:00:28   |   00:11:58   |
760         |       -259.874   |       -272.878   |        13.0041   |      0.1708893   |   2.128852e-06   |     0.09304782   |   00:00:29   |   00:12:14   |
770         |       -255.656   |       -268.819   |        13.1629   |      0.1945948   |   1.843491e-06   |      0.1140474   |   00:00:29   |   00:12:04   |
780         |       -253.407   |       -267.069   |        13.6612   |      0.2038466   |   1.011262e-06   |      0.1060258   |   00:00:29   |   00:11:54   |
790         |       -255.061   |       -268.864   |        13.8027   |      0.1774258   |   1.075747e-06   |      0.1058948   |   00:00:30   |   00:12:09   |


Iter        |      Posterior   |     Likelihood   |          Prior   |     event_rate   |   extinction..   |   speciation..   |    elapsed   |        ETA   |
-------------------------------------------------------------------------------------------------------------------------------------------------------------
800         |       -256.886   |       -269.411   |        12.5257   |      0.1979148   |   2.940622e-06   |     0.09973244   |   00:00:30   |   00:12:00   |
800         |       -256.886   |       -269.411   |        12.5257   |      0.1979148   |   2.940622e-06   |     0.09973244   |   00:00:30   |   00:12:00   |
810         |       -258.795   |        -272.29   |        13.4944   |      0.1844992   |   1.041254e-06   |     0.07807051   |   00:00:30   |   00:11:50   |
820         |       -254.891   |       -268.858   |        13.9669   |      0.1988326   |   1.098255e-06   |     0.08707303   |   00:00:31   |   00:12:05   |
830         |       -255.881   |       -269.403   |        13.5221   |       0.193075   |   1.211616e-06   |      0.1129027   |   00:00:31   |   00:11:55   |
840         |       -255.158   |       -268.485   |        13.3274   |       0.191964   |   1.324213e-06   |      0.1028291   |   00:00:31   |   00:11:47   |
850         |        -255.58   |       -269.356   |        13.7762   |      0.1914187   |   1.366898e-06   |     0.08647514   |   00:00:32   |   00:12:00   |
860         |        -256.26   |        -269.16   |        12.8996   |      0.1913664   |   2.450295e-06   |       0.119415   |   00:00:32   |   00:11:52   |
870         |        -255.83   |       -269.758   |         13.928   |      0.1913664   |   1.273259e-06   |     0.08247733   |   00:00:32   |   00:11:43   |
880         |        -259.09   |       -271.229   |        12.1396   |      0.1720575   |   4.082421e-06   |      0.1105094   |   00:00:33   |   00:11:57   |
890         |       -254.623   |        -268.55   |        13.9261   |       0.194491   |   1.185531e-06   |     0.08865124   |   00:00:33   |   00:11:48   |
900         |       -254.846   |       -268.624   |        13.7777   |      0.1993839   |   1.350073e-06   |     0.08981668   |   00:00:33   |   00:11:40   |
900         |       -254.846   |       -268.624   |        13.7777   |      0.1993839   |   1.350073e-06   |     0.08981668   |   00:00:33   |   00:11:40   |
910         |       -254.186   |       -267.808   |        13.6217   |      0.2011569   |   1.201038e-06   |      0.1219002   |   00:00:34   |   00:11:53   |
920         |       -255.791   |       -269.254   |        13.4627   |      0.1837081   |   1.415176e-06   |       0.123155   |   00:00:34   |   00:11:45   |
930         |       -256.002   |        -269.82   |        13.8188   |      0.1610727   |   1.003014e-06   |      0.1223708   |   00:00:34   |   00:11:37   |
940         |       -260.529   |       -273.137   |        12.6075   |      0.1097133   |   4.874941e-06   |     0.08862433   |   00:00:35   |   00:11:49   |
950         |       -261.201   |       -273.339   |        12.1385   |      0.1429211   |   5.059175e-06   |      0.1344958   |   00:00:35   |   00:11:41   |
960         |       -256.736   |       -270.055   |        13.3186   |      0.1663843   |   1.571576e-06   |      0.1217653   |   00:00:35   |   00:11:34   |
970         |       -259.364   |       -272.101   |        12.7368   |      0.1768046   |   3.215608e-06   |     0.09491417   |   00:00:36   |   00:11:46   |
980         |       -254.233   |       -267.708   |        13.4752   |      0.2016044   |   1.222241e-06   |      0.1052433   |   00:00:36   |   00:11:38   |
990         |       -257.051   |        -270.32   |         13.269   |       0.170801   |   1.570049e-06   |      0.1311793   |   00:00:36   |   00:11:31   |


Iter        |      Posterior   |     Likelihood   |          Prior   |     event_rate   |   extinction..   |   speciation..   |    elapsed   |        ETA   |
-------------------------------------------------------------------------------------------------------------------------------------------------------------
1000        |       -256.441   |       -270.245   |        13.8045   |      0.1785967   |   1.338735e-06   |     0.08415129   |   00:00:37   |   00:11:43   |
1000        |       -256.441   |       -270.245   |        13.8045   |      0.1785967   |   1.338735e-06   |     0.08415129   |   00:00:37   |   00:11:43   |
1010        |        -258.85   |       -271.754   |        12.9034   |       0.165758   |   2.668013e-06   |      0.1161091   |   00:00:37   |   00:11:35   |
1020        |       -259.784   |       -271.559   |        11.7747   |      0.1786211   |   8.215981e-06   |     0.09799668   |   00:00:37   |   00:11:28   |
1030        |       -259.712   |       -272.648   |        12.9359   |      0.1190917   |   2.176208e-06   |      0.1094257   |   00:00:38   |   00:11:39   |
1040        |       -260.903   |       -274.696   |         13.793   |     0.07367071   |   1.298164e-06   |     0.07720183   |   00:00:38   |   00:11:32   |
1050        |       -261.807   |       -273.762   |        11.9555   |     0.09926943   |   4.773332e-06   |     0.08655967   |   00:00:38   |   00:11:25   |
1060        |       -260.092   |       -273.371   |        13.2792   |      0.1150521   |   1.024581e-06   |     0.06187756   |   00:00:39   |   00:11:36   |
1070        |       -255.139   |       -268.751   |        13.6113   |      0.1761533   |   1.011604e-06   |     0.08507969   |   00:00:39   |   00:11:29   |
1080        |       -260.791   |       -272.394   |        11.6034   |      0.2024546   |   9.637642e-06   |      0.0983359   |   00:00:39   |   00:11:23   |
1090        |       -257.693   |       -270.462   |        12.7688   |      0.2012965   |   3.280288e-06   |      0.1093985   |   00:00:40   |   00:11:33   |
1100        |       -257.816   |       -270.916   |        13.0997   |      0.1602396   |   1.881325e-06   |      0.1286448   |   00:00:40   |   00:11:27   |
1100        |       -257.816   |       -270.916   |        13.0997   |      0.1602396   |   1.881325e-06   |      0.1286448   |   00:00:40   |   00:11:27   |
1110        |       -254.328   |       -267.984   |        13.6556   |      0.1953145   |   1.141224e-06   |      0.1229274   |   00:00:41   |   00:11:37   |
1120        |        -260.04   |       -273.143   |        13.1029   |      0.1062736   |   1.838579e-06   |      0.1049929   |   00:00:41   |   00:11:31   |
1130        |       -256.606   |       -270.031   |        13.4247   |      0.1684254   |   1.283863e-06   |     0.08734378   |   00:00:41   |   00:11:24   |
1140        |        -256.04   |       -269.167   |         13.127   |      0.1866149   |   1.506391e-06   |      0.1123473   |   00:00:42   |   00:11:34   |
1150        |       -256.068   |       -269.524   |        13.4564   |      0.2031699   |   1.461629e-06   |     0.08296545   |   00:00:42   |   00:11:28   |
1160        |       -261.469   |       -273.501   |        12.0319   |      0.1497909   |   6.976175e-06   |     0.09530549   |   00:00:42   |   00:11:22   |
1170        |       -260.204   |       -272.308   |        12.1041   |      0.1784661   |   3.741588e-06   |      0.1376116   |   00:00:43   |   00:11:32   |
1180        |       -264.524   |       -276.391   |        11.8676   |      0.1103161   |   2.962888e-06   |      0.1201107   |   00:00:43   |   00:11:25   |
