Iteration	Posterior	Likelihood	Prior	diversification	extinction_rate	speciation_rate	turnover
0	-67894.9	-67637.9	-256.997	0.1264711	0.007258404	0.1337295	0.05427674
10	-50991.1	-50765.9	-225.208	0.2446183	0.01185372	0.256472	0.04621838
20	-37331.8	-37149.2	-182.561	0.4278449	0.02092703	0.4487719	0.04663176
30	-30107.2	-29958.9	-148.347	1.237932	0.03237661	1.270309	0.0254872
40	-26419.1	-26286.1	-133.032	2.010353	0.03999688	2.05035	0.01950734
50	-22991.9	-22866.7	-125.169	1.822699	0.05863017	1.881329	0.03116423
60	-20714.7	-20599.6	-115.084	3.009335	0.02156225	3.030897	0.00711415
70	-19661.1	-19551.3	-109.85	3.064765	0.03121709	3.095982	0.0100831
80	-18863.2	-18755.4	-107.802	3.317309	0.03703445	3.354343	0.01104074
90	-18807.1	-18700.1	-106.954	3.080742	0.02551769	3.106259	0.008214925
100	-18661	-18555.4	-105.604	3.666872	0.06006725	3.726939	0.01611705
110	-17860.5	-17758.8	-101.733	3.282349	0.0516076	3.333956	0.01547939
120	-17804.8	-17702.6	-102.154	2.89725	0.08209592	2.979346	0.02755501
130	-17744.8	-17644	-100.859	3.751082	0.07743107	3.828513	0.02022484
140	-17751.7	-17648.6	-103.072	4.856413	0.05297392	4.909387	0.01079033
150	-17739.8	-17638.6	-101.171	3.398505	0.1009799	3.499484	0.02885564
160	-17740.4	-17638.3	-102.061	3.601974	0.163802	3.765776	0.04349755
170	-17741.6	-17639.7	-101.958	3.460005	0.1757992	3.635804	0.04835221
180	-17748.1	-17646.8	-101.307	3.201148	0.0996494	3.300797	0.03018949
190	-17746	-17644.7	-101.361	2.985643	0.0601515	3.045794	0.01974904
200	-17745.6	-17644.1	-101.43	2.933809	0.05422233	2.988031	0.01814651
210	-17750.5	-17649.8	-100.676	3.28533	0.04913552	3.334466	0.01473565
220	-17754.6	-17651.4	-103.249	4.407215	0.150933	4.558149	0.03311279
230	-17751.3	-17650.9	-100.371	3.377984	0.01821454	3.396198	0.005363213
240	-17746.3	-17639.7	-106.575	2.203477	0.3104116	2.513889	0.1234787
250	-17745.8	-17645.2	-100.548	3.977874	0.02575329	4.003627	0.006432489
260	-17751.4	-17651.5	-99.9083	3.461054	0.004921266	3.465975	0.001419879
270	-17740.8	-17640.9	-99.961	3.449959	0.008016991	3.457976	0.002318406
280	-17750.5	-17650.3	-100.254	3.333597	0.02912493	3.362721	0.008661119
290	-17740	-17638.9	-101.168	3.005175	0.04729597	3.052471	0.01549432
300	-17745.3	-17644.6	-100.737	4.379824	0.009312552	4.389136	0.002121728
310	-17746.6	-17643.9	-102.693	4.151383	0.1718685	4.323251	0.03975446
320	-17748	-17645.8	-102.217	3.050178	0.186276	3.236454	0.05755557
330	-17748.9	-17647.3	-101.566	4.242089	0.08385513	4.325944	0.01938424
340	-17748.5	-17648.4	-100.095	3.448582	0.01856952	3.467151	0.005355845
350	-17751.4	-17650.6	-100.806	3.760271	0.06502487	3.825296	0.01699865
360	-17751	-17649.4	-101.585	3.219192	0.1239581	3.34315	0.03707823
370	-17744	-17643.5	-100.455	3.584827	0.04915039	3.633978	0.01352523
380	-17747.8	-17646.1	-101.712	4.383387	0.0653427	4.448729	0.01468795
390	-17748.4	-17647.9	-100.524	3.833311	0.04076911	3.87408	0.01052356
400	-17748.8	-17647.3	-101.492	2.937334	0.06099138	2.998325	0.02034182
410	-17741.3	-17637.5	-103.823	2.724352	0.2398288	2.964181	0.08090898
