Iteration	Replicate_ID	Posterior	Likelihood	Prior	diversification	extinction_rate	speciation_rate	turnover
0	0	-63734.5	-63484.8	-249.643	0.09453178	0.1069878	0.2015196	0.5309053
1	1	-66525.5	-66284.6	-240.837	0.1666915	0.1070253	0.2737168	0.3910073
2	0	-47394.7	-47166.3	-228.378	0.06169044	0.2246036	0.286294	0.7845207
3	1	-50860	-50642.9	-217.003	0.3238809	0.05873391	0.3826148	0.1535066
4	0	-38860.5	-38665.1	-195.464	0.1192475	0.3991692	0.5184166	0.7699776
5	1	-37172.7	-36988.7	-184.041	0.5209466	0.05834378	0.5792904	0.1007159
6	0	-30426.1	-30257.5	-168.597	0.1856556	0.8140852	0.9997407	0.8142963
7	1	-28936.6	-28778.7	-157.937	0.5813431	0.1251014	0.7064445	0.177086
8	0	-24572.3	-24434.2	-138.148	1.236158	0.7538844	1.990042	0.3788284
9	1	-22725.4	-22584	-141.433	1.136095	0.1779205	1.314016	0.1354021
10	0	-20591.5	-20476.1	-115.475	2.85593	0.2745502	3.13048	0.08770226
11	1	-19047.5	-18934.9	-112.648	3.040645	0.2016519	3.242297	0.06219414
12	0	-18237.6	-18129.4	-108.176	2.463745	0.2144287	2.678174	0.08006525
13	1	-18129.1	-18020.2	-108.896	2.610201	0.2823132	2.892515	0.09760131
14	0	-17487.9	-17384.3	-103.619	3.156939	0.1336071	3.290546	0.04060333
15	1	-17579.6	-17477	-102.597	3.364532	0.0763537	3.440886	0.02219013
16	0	-17452.8	-17348.9	-103.885	4.233789	0.09143758	4.325227	0.02114053
17	1	-17566.7	-17462.7	-104.02	3.448508	0.215253	3.663761	0.05875191
18	0	-17411.1	-17308.1	-102.98	2.947845	0.1158194	3.063664	0.0378042
19	1	-17564.7	-17458.6	-106.078	2.799638	0.3686849	3.168323	0.1163659
20	0	-17394.4	-17291.1	-103.251	3.036454	0.182806	3.21926	0.0567851
21	1	-17564.9	-17459.8	-105.107	4.192226	0.2043415	4.396568	0.0464775
22	0	-17394.5	-17292.9	-101.678	3.914464	0.04196807	3.956432	0.01060755
23	1	-17558.6	-17456	-102.561	2.960783	0.07226093	3.033044	0.02382456
24	0	-17396.3	-17294.4	-101.929	3.516918	0.08746002	3.604378	0.02426494
25	1	-17276.9	-17174.8	-102.156	4.875887	0.06924763	4.945135	0.01400318
26	0	-17395.9	-17294.3	-101.595	3.527344	0.06129119	3.588635	0.01707925
27	1	-17169.2	-17070.5	-98.7173	3.697801	0.01385896	3.71166	0.003733898
28	0	-17182	-17081.8	-100.201	3.784571	0.04551042	3.830082	0.01188236
29	1	-17159.2	-17060.6	-98.6011	4.034889	0.002874622	4.037763	0.0007119342
30	0	-17164.9	-17064.8	-100.03	3.674066	0.05504768	3.729114	0.0147616
31	1	-17161.4	-17063	-98.4094	3.677321	0.002734655	3.680055	0.0007431016
32	0	-17165.8	-17065.7	-100.069	3.48006	0.06393403	3.543994	0.01804011
33	1	-17161.2	-17062.3	-98.888	3.250889	0.004418226	3.255307	0.001357238
34	0	-17158.8	-17058.5	-100.264	4.143859	0.05542741	4.199286	0.01319925
35	1	-17159.7	-17061	-98.7318	4.216462	0.007524766	4.223987	0.001781437
36	0	-17160.5	-17060.6	-99.8622	3.65483	0.05595307	3.710783	0.0150785
37	1	-17151.8	-17053.1	-98.722	3.811214	0.03659152	3.847806	0.009509711
38	0	-17162.3	-17061	-101.28	2.792393	0.06017932	2.852572	0.02109651
39	1	-17161.8	-17062.5	-99.3079	3.894539	0.07671475	3.971254	0.01931751
40	0	-17158.7	-17057.8	-100.907	3.987145	0.1379526	4.125098	0.03344225
