Iteration	Replicate_ID	Posterior	Likelihood	Prior	diversification	extinction_rate	speciation_rate	turnover
0	0	-68801.3	-68526.5	-274.878	-0.06290684	0.06306182	0.0001549819	406.898
1	1	-64047.7	-63822.5	-225.225	0.2547543	0.02851245	0.2832667	0.1006558
2	0	-56183.5	-55930.1	-253.495	-0.09874027	0.09883892	9.865142e-05	1001.901
3	1	-46160.4	-45958.3	-202.133	0.4458285	0.0210219	0.4668504	0.0450292
4	0	-46694.6	-46466.6	-228.01	-0.3694627	0.3696289	0.0001661719	2224.377
5	1	-34662	-34499.9	-162.042	0.9831881	0.0207796	1.003968	0.02069748
6	0	-35081.2	-34890.1	-191.048	-0.5520515	0.5524791	0.0004275624	1292.16
7	1	-28124.9	-27990.3	-134.663	1.691823	0.006096815	1.69792	0.003590756
8	0	-29144.8	-28998.8	-146.044	-1.037861	1.039457	0.001595746	651.3924
9	1	-24588.1	-24459.6	-128.466	1.783807	0.002185569	1.785993	0.001223728
10	0	-22240.4	-22119.1	-121.35	-2.192805	2.194612	0.001806511	1214.835
11	1	-21858.2	-21741.8	-116.386	1.884449	0.004107942	1.888557	0.002175175
12	0	-19460.7	-19352.9	-107.812	-2.8392	2.843538	0.004338791	655.3757
13	1	-20085.3	-19975.1	-110.184	2.579622	0.001386394	2.581008	0.0005371522
14	0	-18893.9	-18788.5	-105.38	-3.195391	3.202379	0.006988398	458.2422
15	1	-19219.1	-19111.2	-107.901	3.266627	0.002120781	3.268747	0.0006488054
16	0	-18736.9	-18632.2	-104.66	-3.505006	3.516541	0.01153586	304.8357
17	1	-19095.7	-18988.9	-106.8	3.16549	0.004939266	3.170429	0.001557917
18	0	-18359	-18256.4	-102.556	-3.574317	3.592621	0.01830313	196.2845
19	1	-18753	-18647.2	-105.815	3.723095	0.00272641	3.725821	0.0007317608
20	0	-18325.7	-18223.2	-102.466	-3.256179	3.285933	0.02975324	110.4395
21	1	-18735.4	-18629.7	-105.701	3.886395	0.005006443	3.891401	0.00128654
22	0	-18058.5	-17957.6	-100.99	-3.601086	3.621379	0.02029292	178.4553
23	1	-18194.3	-18092.7	-101.608	3.522132	0.005182167	3.527314	0.001469154
24	0	-18038.4	-17937.3	-101.038	-3.235613	3.247338	0.01172508	276.9565
25	1	-18196.8	-18094.2	-102.526	2.842297	0.0010271	2.843324	0.0003612323
26	0	-18044.8	-17941.4	-103.417	-2.533621	2.557839	0.02421855	105.6149
27	1	-18197.9	-18093.7	-104.16	4.827156	0.0007302568	4.827886	0.0001512581
28	0	-18029.5	-17926.7	-102.772	-3.627659	3.785082	0.1574237	24.04392
