Iteration	Posterior	Likelihood	Prior	diversification	extinction_rate	speciation_rate	turnover
0	-67165.3	-66916.1	-249.142	-0.07876618	0.1423407	0.0635745	2.238959
10	-51116.4	-50901.1	-215.25	-0.06327692	0.4711183	0.4078414	1.155151
20	-39968.9	-39783.7	-185.158	0.2208095	0.3766075	0.597417	0.630393
30	-33520.6	-33359.5	-161.152	0.7413944	0.2687315	1.010126	0.2660376
40	-27219.1	-27085.6	-133.52	1.460897	0.1313363	1.592233	0.08248557
50	-22242	-22118.1	-123.914	1.628986	0.3484896	1.977476	0.1762295
60	-20121.3	-20003.8	-117.438	1.976087	0.2043749	2.180462	0.09373011
70	-19093.4	-18979.7	-113.697	2.534947	0.2395438	2.774491	0.08633793
80	-18530.4	-18419	-111.35	3.029091	0.3137571	3.342848	0.09385923
90	-18359.8	-18248.6	-111.218	2.18314	0.2732536	2.456393	0.1112418
100	-18340.5	-18228.2	-112.318	1.874077	0.1287481	2.002825	0.06428324
110	-18328.4	-18220.2	-108.206	3.535799	0.1075778	3.643376	0.02952695
120	-18314.7	-18207.7	-106.957	3.218824	0.07154455	3.290369	0.02174363
130	-18317.8	-18209.7	-108.073	3.71474	0.1283251	3.843065	0.03339135
140	-18307.5	-18200.5	-106.974	2.809139	0.0908898	2.900029	0.03134099
150	-18305.1	-18197.9	-107.143	3.567737	0.07083287	3.638569	0.01946723
160	-18302	-18193.1	-108.92	4.439806	0.02603105	4.465837	0.005828929
170	-18302.4	-18196	-106.394	2.994391	0.03759164	3.031983	0.01239837
180	-18303.7	-18196.9	-106.882	3.664301	0.03281263	3.697114	0.0088752
190	-18216.8	-18113.5	-103.295	3.029999	0.01439949	3.044398	0.004729833
200	-17925.3	-17824.3	-100.993	3.887984	0.02418288	3.912167	0.006181454
210	-17800.6	-17693.9	-106.668	2.116631	0.1351286	2.251759	0.06001025
220	-17670.3	-17568.9	-101.438	4.230592	0.0788298	4.309422	0.01829243
230	-17580.5	-17480.3	-100.289	4.683187	0.06006311	4.74325	0.01266286
240	-17578	-17479	-99.0264	4.000894	0.06046884	4.061363	0.0148888
250	-17568	-17466	-102.046	4.521419	0.2325669	4.753986	0.04892041
260	-17562.5	-17462.7	-99.8315	3.43411	0.1542526	3.588363	0.04298691
270	-17560	-17459.6	-100.433	2.837307	0.05405821	2.891365	0.01869643
280	-17569.6	-17466.6	-102.931	2.879725	0.3288861	3.208611	0.1025011
290	-17559.3	-17459.8	-99.5371	4.180031	0.03953712	4.219568	0.009369946
300	-17554.4	-17455.3	-99.1438	3.695035	0.03413588	3.729171	0.009153744
310	-17551.4	-17452	-99.4542	3.798929	0.06465058	3.86358	0.01673334
320	-17554.2	-17455.2	-98.9564	3.944157	0.03109607	3.975253	0.007822411
330	-17559.1	-17458.2	-100.958	3.236209	0.2113268	3.447536	0.06129793
340	-17558.2	-17458	-100.188	3.645195	0.1670654	3.81226	0.04382319
350	-17565.2	-17465.3	-99.946	4.514771	0.05526947	4.570041	0.01209387
360	-17563.8	-17464.3	-99.4847	4.132015	0.07554145	4.207556	0.01795376
370	-17555	-17455.8	-99.1682	3.317686	0.03762956	3.355316	0.01121491
380	-17562	-17461.6	-100.419	4.169526	0.1238441	4.29337	0.02884543
390	-17559.8	-17459.1	-100.768	4.223784	0.1323393	4.356123	0.03038006
400	-17557.8	-17458.5	-99.2856	3.802019	0.05782773	3.859847	0.01498187
410	-17557.3	-17458.2	-99.0239	3.388493	0.0220874	3.41058	0.006476143
420	-17548.4	-17449.2	-99.1819	4.41863	0.01241962	4.43105	0.002802861
430	-17552.1	-17453.6	-98.4979	3.716929	0.02328848	3.740217	0.006226505
440	-17553.1	-17452.8	-100.253	2.96631	0.08043643	3.046746	0.02640077
450	-17557.1	-17458.4	-98.7265	3.939833	0.02291176	3.962745	0.005781791
460	-17549.5	-17450.8	-98.7639	3.73282	0.0314599	3.76428	0.008357482
470	-17553	-17454.1	-98.9461	3.510555	0.04629428	3.556849	0.01301553
480	-17551.5	-17452.5	-98.9859	3.31805	0.03820976	3.35626	0.01138463
490	-17548.5	-17448.5	-100.009	3.645987	0.1506339	3.796621	0.03967577
500	-17553.8	-17454.2	-99.6467	4.001288	0.08519255	4.08648	0.02084742
510	-17551.6	-17451.9	-99.7083	4.575407	0.02325947	4.598666	0.005057872
520	-17550.6	-17451.2	-99.3892	3.362401	0.05954053	3.421942	0.01739963
530	-17551.9	-17452.9	-99.0047	3.350562	0.03223584	3.382797	0.009529344
540	-17554.1	-17455.5	-98.5722	3.93046	0.01923215	3.949692	0.004869279
550	-17560	-17459.5	-100.52	4.439041	0.1120649	4.551106	0.02462366
560	-17552.5	-17451.6	-100.867	3.085446	0.173274	3.25872	0.05317242
570	-17560.4	-17460.7	-99.6784	3.041277	0.02278095	3.064058	0.007434896
580	-17554.7	-17455.2	-99.4723	3.04856	0.01526254	3.063823	0.004981535
590	-17554.3	-17455.2	-99.0969	4.194514	0.04613677	4.240651	0.01087964
600	-17558.8	-17459.4	-99.3959	4.390481	0.03785507	4.428337	0.008548371
610	-17554.2	-17455.8	-98.4426	3.426695	0.002595508	3.42929	0.0007568645
620	-17551	-17452.4	-98.6506	3.677199	0.04405825	3.721257	0.01183961
630	-17558.1	-17458.3	-99.878	3.384777	0.1519653	3.536742	0.04296759
640	-17549.2	-17449.9	-99.3026	4.496619	0.02408361	4.520702	0.005327404
650	-17549.3	-17450.5	-98.7596	4.482381	0.003413065	4.485794	0.0007608607
660	-17546.8	-17447.7	-99.0985	4.004364	0.06796584	4.07233	0.01668967
670	-17547	-17448	-98.9854	4.47648	0.007544745	4.484025	0.001682583
680	-17558.5	-17456.2	-102.214	4.488453	0.2291208	4.717574	0.04856751
690	-17551.9	-17452.9	-98.9232	3.365376	0.02125947	3.386636	0.00627746
700	-17561.2	-17455.6	-105.519	2.366751	0.4401457	2.806896	0.1568087
710	-17550.4	-17451.8	-98.5948	3.946876	0.01494734	3.961823	0.003772844
720	-17554.5	-17451	-103.553	4.773372	0.2490246	5.022396	0.04958282
730	-17550.5	-17451	-99.4796	3.492057	0.08709709	3.579154	0.02433454
740	-17562.3	-17461	-101.263	2.695924	0.07501173	2.770935	0.02707091
750	-17553.4	-17454.4	-98.9993	3.586665	0.04318845	3.629854	0.01189812
760	-17560	-17459.3	-100.641	4.751821	0.06241047	4.814231	0.01296375
770	-17563.3	-17458.3	-104.951	2.731292	0.4960675	3.227359	0.1537069
780	-17553.8	-17453	-100.839	4.197875	0.1634806	4.361356	0.03748389
790	-17554.9	-17455.4	-99.5182	3.050817	0.01610233	3.066919	0.005250329
