Iteration	Replicate_ID	Posterior	Likelihood	Prior	diversification	extinction_rate	speciation_rate	turnover
0	0	-64751.8	-64531.4	-220.364	0.2812774	0.08933438	0.3706118	0.2410457
1	1	-64635.6	-64402.3	-233.327	0.1433609	0.07672703	0.2200879	0.3486199
2	0	-46427.1	-46244.3	-182.857	0.7721452	0.1009349	0.8730801	0.1156079
3	1	-47495.7	-47291.6	-204.157	0.3694368	0.05689537	0.4263322	0.1334531
4	0	-34789.2	-34632.8	-156.406	1.340433	0.1302232	1.470656	0.08854767
5	1	-35072.3	-34904.1	-168.253	0.7146034	0.07147556	0.786079	0.09092668
6	0	-27502.5	-27368.6	-133.855	2.106843	0.1325048	2.239348	0.05917115
7	1	-28539.5	-28390.6	-148.929	1.652513	0.1751455	1.827658	0.09583053
8	0	-23397.3	-23274.2	-123.127	2.419935	0.1266246	2.546559	0.04972381
9	1	-24678.8	-24546.3	-132.433	1.635978	0.2066511	1.842629	0.1121501
10	0	-21124.3	-21006.1	-118.21	2.617313	0.08850584	2.705819	0.03270945
11	1	-21236.3	-21118.4	-117.936	2.728424	0.1913493	2.919773	0.06553569
12	0	-19080.6	-18972.2	-108.441	3.115129	0.01309376	3.128223	0.004185687
13	1	-19279.2	-19162.8	-116.411	3.58523	0.3087122	3.893942	0.07928013
14	0	-18004.9	-17898.9	-105.911	4.069598	0.0219513	4.091549	0.005365033
15	1	-18357.2	-18248.1	-109.129	3.118847	0.1040651	3.222912	0.03228916
16	0	-17371.9	-17268.8	-103.061	4.136813	0.03737284	4.174186	0.008953323
17	1	-18153.6	-18046.1	-107.494	3.095003	0.01693206	3.111935	0.005441007
18	0	-17350.6	-17248.6	-102.027	3.61451	0.03065026	3.645161	0.008408481
19	1	-18083.5	-17975.6	-107.892	2.666801	0.04313386	2.709935	0.01591694
20	0	-17342.4	-17239.7	-102.709	3.000603	0.06287655	3.06348	0.02052455
21	1	-17863.7	-17757.3	-106.445	3.220986	0.0221876	3.243174	0.006841324
