Iteration	Replicate_ID	Posterior	Likelihood	Prior	diversification	extinction_rate	speciation_rate	turnover
0	0	-67749.4	-67491.9	-257.481	0.07705594	0.04866626	0.1257222	0.3870936
1	1	-68629.5	-68355	-274.526	-0.000384328	0.01541264	0.01502831	1.025574
2	0	-52576.2	-52329.9	-246.296	0.09924122	0.09017926	0.1894205	0.4760798
3	1	-59107.2	-58850	-257.193	-0.09011363	0.1230272	0.03291352	3.737891
4	0	-40639	-40427.4	-211.581	-0.1573242	0.4329713	0.2756471	1.570745
5	1	-46933.3	-46708	-225.314	-0.1475798	0.2653242	0.1177444	2.253391
6	0	-34749	-34573.5	-175.567	-0.5830091	0.6748409	0.09183185	7.348659
7	1	-35584.2	-35394.5	-189.676	-0.2869956	0.495675	0.2086794	2.375294
8	0	-25566.9	-25430.3	-136.512	-1.65756	1.758171	0.1006104	17.47504
9	1	-27735	-27576.1	-158.902	-0.8377469	0.9888383	0.1510914	6.544637
10	0	-21974.5	-21852.6	-121.913	-2.562498	2.616643	0.05414481	48.32676
11	1	-22813.1	-22679.4	-133.735	-2.180731	2.511375	0.3306435	7.595415
12	0	-19596.2	-19482.5	-113.69	-3.045067	3.139778	0.09471099	33.15115
13	1	-19516.6	-19394.8	-121.78	-1.91331	2.043105	0.1297951	15.741
14	0	-18221.4	-18111.9	-109.47	-3.688755	3.747168	0.05841291	64.14966
15	1	-18082	-17972.9	-109.141	-2.650037	2.795742	0.145705	19.18768
16	0	-17961.6	-17853.7	-107.9	-2.587694	2.69374	0.1060463	25.40156
17	1	-17646.1	-17541.2	-104.859	-2.814122	2.888214	0.07409138	38.98178
18	0	-17716.5	-17608.6	-107.829	-2.979356	3.265194	0.2858373	11.42326
19	1	-17604.3	-17500.2	-104.12	-3.24642	3.331668	0.08524786	39.08213
20	0	-17207.3	-17104.6	-102.676	-3.224304	3.34019	0.115886	28.82306
21	1	-17361.5	-17256	-105.556	-4.578127	4.676821	0.09869427	47.38695
22	0	-17204.1	-17101.9	-102.224	-3.841528	3.926773	0.0852452	46.06445
23	1	-17266.4	-17160.4	-105.961	-2.452348	2.703322	0.2509747	10.77129
24	0	-17184	-17082.4	-101.634	-3.792497	3.854784	0.06228672	61.88774
25	1	-17240.3	-17132.7	-107.614	-2.903999	3.464824	0.560825	6.178084
26	0	-17182	-17080.7	-101.273	-3.659672	3.701447	0.04177444	88.60554
27	1	-17235.8	-17133.3	-102.475	-3.457338	3.606795	0.1494566	24.13272
28	0	-17183.2	-17082.2	-100.918	-3.64296	3.680873	0.03791297	97.08741
29	1	-17232.3	-17129.9	-102.411	-3.108295	3.221254	0.1129593	28.51694
30	0	-17183	-17081.6	-101.431	-4.257753	4.289533	0.03178053	134.9736
31	1	-17237.4	-17131.4	-105.938	-2.276956	2.462392	0.1854362	13.27892
32	0	-17182.2	-17079.6	-102.625	-4.566208	4.620969	0.05476176	84.38314
33	1	-17231.8	-17125.8	-106.058	-4.098632	4.457833	0.3592011	12.41041
34	0	-17181.9	-17079.8	-102.062	-4.190781	4.278219	0.08743845	48.92835
35	1	-17235.9	-17131.9	-103.997	-3.7672	4.003609	0.2364087	16.93512
36	0	-17179.7	-17078.5	-101.194	-3.441401	3.516202	0.07480015	47.00795
37	1	-17075.4	-16974.8	-100.56	-3.350849	3.41221	0.0613604	55.60932
38	0	-17184	-17081.1	-102.925	-4.181622	4.34181	0.1601881	27.10445
39	1	-17074.3	-16974.2	-100.124	-3.946666	3.978929	0.03226346	123.3262
40	0	-17177.4	-17076.1	-101.338	-3.958379	4.025896	0.06751693	59.62794
41	1	-17067.1	-16965.6	-101.451	-2.835136	2.875747	0.04061089	70.81221
42	0	-17180.6	-17074.8	-105.799	-3.349636	3.811233	0.4615965	8.256633
43	1	-17074.9	-16974.3	-100.629	-3.019111	3.037286	0.01817553	167.1086
44	0	-17171.8	-17070.4	-101.468	-3.009898	3.068282	0.05838368	52.55376
45	1	-17064.4	-16964.3	-100.068	-3.19415	3.197701	0.003551391	900.4081
46	0	-17010.3	-16910	-100.303	-3.848878	3.908154	0.05927577	65.93173
47	1	-17071.3	-16971.1	-100.207	-3.145829	3.150928	0.005099608	617.8766
48	0	-17017.2	-16916.9	-100.273	-3.782701	3.838351	0.05564973	68.97341
49	1	-17075.4	-16974.2	-101.227	-4.427199	4.479825	0.0526261	85.12553
50	0	-17011.5	-16909.4	-102.125	-3.221304	3.440015	0.2187107	15.72861
51	1	-17072.7	-16972.2	-100.465	-3.774944	3.840764	0.06582018	58.35238
52	0	-17016.9	-16915	-101.877	-3.494741	3.69266	0.1979191	18.65742
53	1	-17074.1	-16972.5	-101.549	-2.975172	3.081872	0.1067005	28.8834
54	0	-17010.5	-16910.7	-99.7304	-3.878899	3.902118	0.02321881	168.0584
55	1	-17072.1	-16971.5	-100.584	-4.270902	4.305062	0.03415997	126.0265
56	0	-17008.9	-16909.1	-99.8062	-4.253983	4.268422	0.01443934	295.6106
57	1	-17073.1	-16973	-100.062	-3.562895	3.606381	0.04348569	82.93258
58	0	-17007.6	-16908.2	-99.3636	-3.948162	3.958016	0.009854007	401.6656
59	1	-17080.6	-16980.5	-100.062	-3.813116	3.876419	0.06330275	61.23618
60	0	-17014.6	-16915.2	-99.3668	-3.648255	3.65398	0.005725554	638.188
