Iteration	Posterior	Likelihood	Prior	diversification	extinction_rate	speciation_rate	turnover
0	-69096.2	-68811.8	-284.323	-0.0004288954	0.002836751	0.002407856	1.178123
10	-60630.9	-60348.1	-282.81	-0.004099883	0.006311494	0.002211611	2.853799
20	-52076	-51797.9	-278.13	-0.01650203	0.01822284	0.00172081	10.58969
30	-44034.3	-43778.2	-256.115	-0.08556807	0.08644994	0.0008818635	98.03097
40	-34609.5	-34399.9	-209.531	-0.4560769	0.4576494	0.001572488	291.0353
50	-28390.2	-28224.2	-166.014	-1.070758	1.078913	0.008154631	132.3068
60	-23261.7	-23119.8	-141.961	-1.48572	1.519438	0.03371849	45.06247
70	-20221.2	-20098.2	-123.017	-1.673765	1.875687	0.2019221	9.289163
80	-18634.5	-18518.1	-116.41	-2.742234	3.086406	0.3441726	8.967611
90	-17981.6	-17874.1	-107.578	-2.799621	2.928735	0.1291136	22.6834
100	-17793.8	-17689	-104.809	-3.47756	3.558718	0.08115869	43.84889
110	-17749	-17645.1	-103.901	-3.091129	3.149566	0.05843709	53.8967
120	-17525	-17421.5	-103.492	-3.327894	3.374758	0.04686441	72.01111
130	-17482.7	-17378.8	-103.93	-3.248608	3.354813	0.1062052	31.58803
140	-17450.1	-17346.2	-103.887	-4.283629	4.307323	0.02369358	181.7928
150	-17444.2	-17341.4	-102.724	-3.085206	3.099383	0.01417691	218.6219
160	-17435.5	-17333.5	-101.97	-3.545349	3.55291	0.007561258	469.8835
170	-17435.4	-17333.2	-102.154	-3.601993	3.608349	0.006356628	567.6514
180	-17431.3	-17329.1	-102.134	-3.205899	3.214349	0.008449764	380.4069
190	-17428	-17325.9	-102.092	-3.330277	3.353541	0.02326371	144.1533
200	-17434.5	-17331.5	-103.031	-4.262157	4.28642	0.0242629	176.6656
210	-17436	-17333.4	-102.585	-3.414144	3.487827	0.07368263	47.33581
220	-17432.5	-17330.4	-102.103	-3.460981	3.492114	0.03113349	112.1659
230	-17121.5	-17019.9	-101.588	-3.168852	3.298776	0.1299239	25.39006
