Iteration	Replicate_ID	Posterior	Likelihood	Prior	diversification	extinction_rate	speciation_rate	turnover
0	0	-68757.5	-68484.5	-273.001	-0.04974221	0.052379	0.002636791	19.86468
1	1	-68668	-68398.3	-269.67	0.04204795	0.04221144	0.08425939	0.5009701
2	0	-56180.3	-55915.9	-264.455	-0.06915373	0.07158679	0.002433055	29.42259
3	1	-56312.6	-56060	-252.634	-0.1353422	0.1980611	0.06271889	3.157918
4	0	-42205.9	-41989.9	-215.981	-0.2758301	0.2799076	0.004077507	68.64676
5	1	-45926.6	-45704.1	-222.441	0.06250541	0.3179682	0.3804736	0.8357168
6	0	-33824.3	-33636.9	-187.343	-0.5710092	0.5745228	0.003513609	163.5136
7	1	-35242.2	-35051.3	-190.857	0.2654816	0.2979203	0.563402	0.5287882
8	0	-27242.1	-27102.7	-139.387	-1.662494	1.666436	0.003942522	422.6828
9	1	-27468.5	-27306.3	-162.127	0.4346306	0.4571609	0.8917914	0.5126321
10	0	-22246.7	-22121	-125.631	-1.98795	1.999434	0.01148439	174.1002
11	1	-23140.8	-23005.8	-134.979	1.543934	0.2984762	1.84241	0.1620031
12	0	-19917.4	-19801.7	-115.712	-2.383847	2.395096	0.01124846	212.9265
13	1	-20372.8	-20247.2	-125.632	2.203389	0.1374732	2.340862	0.05872758
14	0	-18893.7	-18780.5	-113.223	-2.692662	2.703482	0.01082024	249.8542
15	1	-19905.1	-19788.6	-116.464	2.049054	0.1315592	2.180613	0.06033132
16	0	-18603.5	-18488.3	-115.213	-1.901426	1.916179	0.01475281	129.8856
17	1	-18719.3	-18613.9	-105.407	2.792697	0.08177519	2.874472	0.02844877
18	0	-18340.2	-18230.8	-109.375	-2.482533	2.518413	0.03587967	70.19052
19	1	-17869.3	-17765.8	-103.487	3.492451	0.139442	3.631893	0.03839376
20	0	-17979.4	-17876.6	-102.837	-3.150813	3.191764	0.04095093	77.94118
21	1	-17857.4	-17754.5	-102.855	2.97238	0.06809042	3.040471	0.0223947
22	0	-17933.2	-17829.9	-103.347	-2.944435	3.03307	0.08863495	34.21979
23	1	-17710.4	-17607.2	-103.107	2.862289	0.1305286	2.992817	0.04361396
24	0	-17913.7	-17810.5	-103.174	-2.916278	3.000084	0.08380578	35.79806
25	1	-17701.8	-17600.3	-101.497	3.741011	0.04888344	3.789894	0.01289836
26	0	-17669.6	-17568.2	-101.436	-3.389947	3.469824	0.07987694	43.43961
27	1	-17598.4	-17496.9	-101.568	4.200755	0.06461352	4.265369	0.0151484
28	0	-17660	-17557.7	-102.242	-4.408121	4.458546	0.05042546	88.41854
29	1	-17600.8	-17499.3	-101.425	4.490021	0.03050347	4.520524	0.006747773
30	0	-17652.4	-17550	-102.374	-2.748712	2.797347	0.0486346	57.51763
31	1	-17589.8	-17487.8	-102.004	4.79582	0.02156964	4.81739	0.004477454
32	0	-17137.5	-17038.4	-99.128	-3.833065	3.851492	0.0184277	209.0056
33	1	-17584.9	-17483.4	-101.436	2.767002	0.01990939	2.786911	0.007143892
34	0	-17124.5	-17025.2	-99.2491	-3.399304	3.445079	0.04577474	75.26157
35	1	-17248.3	-17148.6	-99.756	4.037418	0.05392326	4.091341	0.01317985
36	0	-17040.1	-16939	-101.104	-4.704794	4.825087	0.1202929	40.11115
37	1	-17251.3	-17151.2	-100.073	4.225588	0.05325826	4.278846	0.01244687
38	0	-17040.8	-16940.4	-100.437	-3.760896	3.966916	0.2060191	19.25508
39	1	-17115.1	-17013.6	-101.469	5.053036	0.06374549	5.116782	0.01245812
40	0	-17044.1	-16943.9	-100.291	-3.272863	3.453307	0.180444	19.13783
41	1	-17106.5	-17006.6	-99.8871	3.485311	0.1321512	3.617462	0.03653147
42	0	-17046.2	-16945.1	-101.027	-3.933161	4.184546	0.2513847	16.64598
43	1	-17108.7	-17010	-98.6408	3.674026	0.01780716	3.691833	0.004823393
44	0	-17043.5	-16941.5	-101.978	-3.464781	3.798579	0.3337982	11.37987
45	1	-17099.4	-16999.1	-100.301	2.947904	0.0701347	3.018039	0.0232385
46	0	-17040.3	-16941.4	-98.9447	-4.29264	4.352787	0.06014729	72.3688
47	1	-17107.7	-17007.1	-100.592	3.057288	0.1395802	3.196868	0.04366154
48	0	-17041.3	-16941.6	-99.7811	-2.851931	2.87593	0.02399945	119.8332
49	1	-17108.2	-17006.3	-101.905	3.618203	0.3097509	3.927954	0.07885807
50	0	-17051.7	-16951.5	-100.247	-4.089394	4.26726	0.1778658	23.99146
51	1	-17109.8	-17007.9	-101.902	2.640896	0.1355732	2.776469	0.04882935
52	0	-17061.1	-16961.7	-99.4693	-3.053485	3.088247	0.03476146	88.84109
53	1	-17097.7	-16997.9	-99.8463	3.42083	0.1135331	3.534363	0.03212266
54	0	-17046.8	-16948.3	-98.5643	-3.798342	3.83072	0.03237801	118.3124
55	1	-17107.6	-17007.9	-99.672	4.249006	0.06876024	4.317766	0.01592496
56	0	-17053.5	-16954.4	-99.0859	-3.45621	3.523946	0.0677351	52.0254
57	1	-17112.3	-17013.3	-99.0179	3.464204	0.03440632	3.49861	0.009834283
58	0	-17041.3	-16943.1	-98.2708	-3.719374	3.738204	0.01883028	198.5209
59	1	-17108.5	-17008.8	-99.7337	4.320715	0.05165878	4.372374	0.01181481
60	0	-17041.2	-16942.9	-98.2755	-3.888996	3.908941	0.01994532	195.9829
61	1	-17109.5	-17009.6	-99.9216	2.94524	0.008368407	2.953608	0.002833283
62	0	-17033.5	-16934.9	-98.5708	-3.518849	3.550253	0.03140411	113.0506
63	1	-17108	-17008.8	-99.1232	4.213793	0.01534109	4.229134	0.003627477
64	0	-17051.1	-16952.1	-99.0309	-4.522292	4.529472	0.007180739	630.7808
65	1	-17111	-17010.7	-100.346	3.086559	0.08798462	3.174544	0.02771567
66	0	-17043.5	-16945.2	-98.3183	-3.693389	3.703617	0.0102276	362.1198
67	1	-17112.2	-17010.9	-101.342	2.768541	0.102545	2.871086	0.03571644
68	0	-17040.7	-16941.1	-99.6184	-4.080481	4.171334	0.09085275	45.91313
69	1	-17108.9	-17006.8	-102.14	3.768061	0.3058732	4.073934	0.07508054
70	0	-17036.3	-16937.2	-99.0684	-3.459989	3.520206	0.06021702	58.45865
71	1	-17108	-17008.3	-99.6664	3.193441	0.05955059	3.252991	0.01830641
72	0	-17037.5	-16938.9	-98.5958	-4.21702	4.225898	0.008877308	476.0337
73	1	-17109.8	-17010.6	-99.2803	3.234575	0.02462406	3.259199	0.00755525
74	0	-17040.2	-16941.5	-98.6643	-3.605433	3.639465	0.0340319	106.9428
75	1	-17106.1	-17003.6	-102.471	2.418202	0.007497043	2.425699	0.003090674
76	0	-17046.8	-16947.8	-98.9199	-3.889651	3.950617	0.06096572	64.80063
77	1	-17105.6	-17007.4	-98.1806	3.722491	0.0035396	3.72603	0.0009499656
78	0	-17051.3	-16952.4	-98.9473	-3.833051	3.889549	0.05649876	68.8431
79	1	-17100.1	-17001	-99.1592	3.070838	0.0001072741	3.070945	3.493194e-05
80	0	-17044.4	-16943.9	-100.519	-4.428087	4.554476	0.1263893	36.03531
81	1	-17100.3	-17002	-98.3125	3.739337	4.660893e-05	3.739384	1.246433e-05
82	0	-17043.4	-16944.7	-98.7383	-4.051912	4.088426	0.03651391	111.969
83	1	-17105.6	-17007.3	-98.3053	3.613856	0.004106326	3.617963	0.001134983
84	0	-17047.4	-16945.7	-101.746	-3.99444	4.272033	0.2775938	15.38951
85	1	-17120.3	-17019.5	-100.797	4.911276	0.05614316	4.967419	0.01130228
86	0	-17046.8	-16946.5	-100.33	-2.9929	3.087258	0.09435771	32.71866
87	1	-17104.7	-17005.8	-98.882	4.077816	0.06413808	4.141954	0.01548498
88	0	-17042.4	-16941.1	-101.289	-2.563502	2.566204	0.002701151	950.0407
89	1	-17110.5	-17009.1	-101.388	2.884596	0.2054881	3.090084	0.06649919
90	0	-17031.1	-16932.4	-98.7054	-4.231793	4.237759	0.0059667	710.235
91	1	-17097.2	-16996.9	-100.26	4.520401	0.09542371	4.615824	0.02067317
