Iteration	Posterior	Likelihood	Prior	diversification	extinction_rate	speciation_rate	turnover
0	-66438	-66174.8	-263.117	0.0009558483	0.09783711	0.09879296	0.9903247
10	-51999.1	-51772.2	-226.892	-0.1520475	0.275232	0.1231845	2.234308
20	-40207.5	-40017	-190.501	-0.4946889	0.5962213	0.1015323	5.872231
30	-32022.9	-31869.8	-153.086	-1.28903	1.351174	0.06214416	21.74258
40	-25620.3	-25493.6	-126.687	-2.320007	2.40668	0.08667266	27.76746
50	-21607.2	-21489.4	-117.808	-2.499435	2.574118	0.07468332	34.46711
60	-19142.6	-19032.2	-110.35	-3.052093	3.207945	0.1558523	20.58324
70	-18826.1	-18718.1	-108.087	-3.47655	3.535406	0.05885578	60.06897
80	-18611.2	-18503.8	-107.351	-3.716517	3.821453	0.1049357	36.41709
90	-18562	-18452.3	-109.699	-2.072278	2.196483	0.1242047	17.68438
100	-17723.3	-17620.4	-102.914	-3.154959	3.340739	0.1857801	17.98222
110	-17722.6	-17619.7	-102.924	-3.262735	3.46301	0.2002758	17.29121
120	-17701.3	-17599.1	-102.229	-3.07541	3.213021	0.1376109	23.34859
130	-17702.7	-17601.7	-100.988	-3.799955	3.872604	0.07264878	53.30583
140	-17698.2	-17596.4	-101.797	-3.1931	3.340183	0.1470832	22.70948
150	-17696.8	-17594.9	-101.845	-4.485043	4.559584	0.07454063	61.16911
160	-17695.3	-17594.8	-100.42	-3.944036	3.97139	0.02735431	145.1834
170	-17695.7	-17595.4	-100.301	-4.121825	4.14766	0.02583505	160.5439
180	-17693.6	-17592.4	-101.23	-4.364873	4.418979	0.05410573	81.67303
190	-17694.5	-17594.3	-100.27	-3.355915	3.388369	0.03245408	104.405
200	-17694	-17593.7	-100.346	-3.392324	3.440098	0.04777405	72.00768
210	-17698.4	-17596.1	-102.306	-4.18882	4.339847	0.1510275	28.73549
220	-17699.7	-17598.4	-101.338	-2.956905	3.017941	0.06103578	49.44543
230	-17694.1	-17592	-102.122	-4.525347	4.604271	0.07892458	58.33761
