Iteration	Posterior	Likelihood	Prior	diversification	extinction_rate	speciation_rate	turnover
0	-67802	-67538.7	-263.371	0.0110034	0.06168345	0.07268686	0.8486191
10	-54688.1	-54446.2	-241.898	0.07736567	0.09824308	0.1756088	0.559443
20	-43388.7	-43181.2	-207.501	0.1641112	0.2861793	0.4502906	0.6355437
30	-33837.1	-33664.2	-172.962	0.4216428	0.3642201	0.785863	0.4634652
40	-26784.9	-26635.2	-149.627	0.7223404	0.428301	1.150641	0.372228
50	-21755.1	-21633.8	-121.373	2.704275	0.2429719	2.947247	0.08244028
60	-19791.2	-19677.7	-113.481	2.617236	0.1041	2.721336	0.03825329
70	-19599	-19489.6	-109.389	2.931053	0.101441	3.032494	0.03345136
80	-19124.7	-19015.7	-109.048	3.087385	0.1533393	3.240724	0.04731638
90	-19000.6	-18890.9	-109.776	3.421169	0.2174203	3.638589	0.05975401
100	-18665.9	-18558.1	-107.778	2.38996	0.3006933	2.690653	0.1117548
110	-18595.9	-18490.7	-105.194	2.799261	0.1813162	2.980577	0.06083259
120	-18590.1	-18485	-105.039	2.918491	0.1928122	3.111303	0.06197153
130	-18585.5	-18481.8	-103.743	3.33978	0.1089676	3.448748	0.03159628
140	-18372	-18269.7	-102.326	3.580638	0.08887472	3.669512	0.02421976
150	-18251.4	-18149	-102.395	3.062348	0.1113311	3.173679	0.03507952
160	-18243.3	-18141.3	-102.059	4.192665	0.08976995	4.282435	0.02096236
170	-18241.5	-18140.6	-100.975	3.735184	0.05207462	3.787258	0.01374995
180	-18242.6	-18141	-101.547	4.323888	0.03754291	4.361431	0.008607935
190	-18240.3	-18139.4	-100.889	3.466806	0.05978812	3.526594	0.0169535
200	-18228.5	-18127.8	-100.647	3.294721	0.01865861	3.31338	0.005631293
210	-18229.1	-18127.8	-101.252	3.202994	0.07391773	3.276912	0.02255713
220	-18234.8	-18132.3	-102.434	4.12217	0.1532114	4.275381	0.03583572
230	-18246.6	-18146	-100.596	3.497207	0.06842946	3.565636	0.01919137
240	-18208.4	-18107.6	-100.814	3.064092	0.03300946	3.097101	0.01065818
250	-18201.9	-18099.1	-102.848	4.504057	0.1151936	4.61925	0.02493774
260	-18208.7	-18104.7	-104.014	3.104373	0.3166813	3.421054	0.09256835
270	-18205	-18103.2	-101.809	3.90956	0.1076609	4.017221	0.02679985
280	-18203.6	-18101.9	-101.631	3.597429	0.1122891	3.709718	0.0302689
290	-18206.2	-18103.9	-102.338	2.836195	0.07664011	2.912835	0.02631118
300	-18199.3	-18096.7	-102.593	4.615685	0.04012088	4.655806	0.008617385
310	-18214.1	-18111.2	-102.854	4.442201	0.1033406	4.545542	0.02273449
320	-18203.3	-18103	-100.239	3.483383	0.01042523	3.493809	0.002983915
330	-18205.2	-18103.9	-101.286	2.965501	0.03962084	3.005122	0.01318444
340	-18204.3	-18102.3	-102.017	4.285188	0.08304283	4.368231	0.01901063
350	-18203.3	-18102.2	-101.051	3.220367	0.0501955	3.270563	0.01534766
360	-18127	-18026.9	-100.151	3.493841	0.02705324	3.520895	0.007683628
370	-18127.9	-18027.1	-100.709	3.805432	0.05208783	3.85752	0.01350293
380	-18126.2	-18025.3	-100.819	4.114183	0.04137482	4.155558	0.009956501
390	-18127.6	-18026.8	-100.764	2.987455	0.006615905	2.994071	0.002209669
400	-18120.2	-18017.3	-102.822	2.540421	0.02894888	2.56937	0.01126692
410	-18127.6	-18027.2	-100.376	3.834388	0.02539867	3.859787	0.00658033
420	-18009	-17908.1	-100.949	3.447513	0.1254889	3.573002	0.03512142
430	-18011.1	-17910.6	-100.453	3.91204	0.06313298	3.975173	0.01588182
440	-18024.5	-17922.2	-102.36	3.384044	0.2473789	3.631423	0.06812175
450	-18019.6	-17917.5	-102.117	2.713605	0.09000032	2.803605	0.03210164
460	-18007.2	-17907.5	-99.7189	3.921187	0.02712148	3.948308	0.006869139
470	-18013.5	-17913.4	-100.083	3.56433	0.08703514	3.651365	0.02383633
480	-18004.1	-17904.6	-99.4515	3.669241	0.04048362	3.709724	0.01091284
490	-18011.5	-17912.2	-99.304	3.952783	0.009607952	3.962391	0.002424786
500	-18017.3	-17916.8	-100.536	3.897143	0.1065187	4.003661	0.02660532
510	-18015.4	-17916.1	-99.2928	4.229842	0.01340173	4.243243	0.003158369
520	-18007.2	-17906.2	-100.946	3.58605	0.1698286	3.755878	0.04521675
530	-18012	-17908.8	-103.146	3.646588	0.3570338	4.003622	0.0891777
540	-18009.8	-17910.4	-99.3366	3.798706	0.04750226	3.846208	0.01235041
550	-18017	-17917.4	-99.5303	3.269758	0.03691058	3.306669	0.01116247
560	-18020.8	-17921.3	-99.5194	3.862232	0.07449149	3.936723	0.01892221
570	-18009.1	-17909.2	-99.988	4.551998	0.01860226	4.5706	0.004069983
580	-18007.2	-17907.7	-99.4741	4.250576	0.01894323	4.269519	0.004436855
590	-18014	-17914.1	-99.9188	3.145261	0.04298757	3.188248	0.01348313
600	-18007.8	-17908.7	-99.1102	3.76726	0.02189509	3.789155	0.005778356
610	-18009.1	-17908.5	-100.624	3.756817	0.1454337	3.902251	0.03726917
620	-18010.4	-17908.7	-101.683	2.734669	0.1005961	2.835265	0.03548031
630	-18015.3	-17912.9	-102.446	2.495538	0.03941263	2.534951	0.01554769
640	-18015.4	-17915.6	-99.8639	3.099246	0.006572802	3.105818	0.002116286
650	-18007.5	-17905.2	-102.24	4.576564	0.1317867	4.70835	0.02799
660	-18013.1	-17909.5	-103.586	2.60832	0.2645144	2.872835	0.09207434
670	-18010.6	-17911.5	-99.1194	3.633429	0.02412663	3.657556	0.006596381
