Iteration	Replicate_ID	Posterior	Likelihood	Prior	diversification	extinction_rate	speciation_rate	turnover
0	0	-69031.3	-68755.6	-275.721	0.06674672	0.0414778	0.1082245	0.3832569
1	1	-68528.2	-68234.8	-293.396	-0.01890839	0.03980311	0.02089472	1.904937
2	0	-57143.5	-56887	-256.545	0.04264357	0.09258687	0.1352304	0.68466
3	1	-60529.8	-60252	-277.797	-0.05481416	0.06142454	0.006610379	9.292136
4	0	-43884.9	-43670.3	-214.642	-0.09427311	0.2987208	0.2044477	1.461111
5	1	-49581.8	-49325.4	-256.4	-0.07292529	0.08615302	0.01322772	6.513065
6	0	-36735.5	-36550.4	-185.165	-0.3306497	0.6711131	0.3404634	1.971175
7	1	-40000.7	-39788.7	-211.988	-0.2489863	0.2692222	0.02023588	13.3042
8	0	-28975.8	-28816.3	-159.537	-0.9357213	1.06699	0.1312692	8.128262
9	1	-31608	-31455.2	-152.81	-0.9698542	0.9943421	0.02448791	40.60543
10	0	-24374.7	-24234.8	-139.879	-1.023279	1.146364	0.1230849	9.313604
11	1	-25289.4	-25164	-125.45	-1.965037	2.04076	0.07572288	26.95038
12	0	-20255.8	-20142.4	-113.43	-3.529186	3.595839	0.06665271	53.94888
13	1	-22128	-22010.8	-117.257	-2.837803	2.887993	0.05019	57.5412
14	0	-18986.6	-18879.5	-107.148	-3.22052	3.279112	0.05859234	55.96486
15	1	-20282.9	-20170.5	-112.477	-2.397256	2.420775	0.02351905	102.9283
16	0	-18711.1	-18605.1	-106.057	-3.86542	3.905799	0.04037927	96.72784
17	1	-19175.3	-19067.7	-107.558	-3.282306	3.300651	0.01834531	179.918
18	0	-17994.5	-17893.5	-100.973	-3.148514	3.172637	0.02412231	131.5229
19	1	-18752.7	-18647.8	-104.904	-4.101918	4.166653	0.06473553	64.36424
20	0	-17973.3	-17872.7	-100.657	-3.967679	4.001528	0.03384895	118.2172
21	1	-18657.2	-18551.2	-105.953	-4.798939	4.867054	0.06811502	71.45347
22	0	-17944	-17843.4	-100.62	-4.030624	4.089373	0.0587494	69.60706
23	1	-18637.1	-18533.9	-103.257	-3.62264	3.760373	0.1377329	27.30192
24	0	-17948.6	-17846.7	-101.866	-3.907243	4.082082	0.1748394	23.3476
25	1	-18629.7	-18526	-103.674	-4.164623	4.274033	0.1094103	39.06425
26	0	-17954.3	-17848.6	-105.753	-2.824613	3.341339	0.5167267	6.466357
27	1	-18636.6	-18533.7	-102.867	-3.461608	3.573365	0.1117563	31.97461
28	0	-17948.7	-17843.4	-105.296	-4.081448	4.517381	0.4359332	10.36255
29	1	-18628.6	-18525.8	-102.817	-3.445222	3.557104	0.1118826	31.79318
30	0	-17946.7	-17844	-102.704	-3.527998	3.814439	0.2864414	13.31665
31	1	-18632.2	-18528.7	-103.505	-4.307978	4.393304	0.08532579	51.48858
32	0	-17948.2	-17844.7	-103.577	-2.664909	2.931408	0.2664991	10.99969
33	1	-18628.4	-18523.3	-105.052	-3.876159	4.128409	0.2522505	16.36631
34	0	-17948.7	-17846.9	-101.766	-3.749149	3.959658	0.2105086	18.80996
35	1	-18629.5	-18524.8	-104.703	-3.502672	3.768074	0.2654025	14.19758
36	0	-17944.7	-17843.7	-101.015	-3.642937	3.803794	0.1608567	23.6471
37	1	-18616.6	-18514	-102.533	-3.192979	3.276622	0.08364257	39.17409
