Iteration	Posterior	Likelihood	Prior	diversification	extinction_rate	speciation_rate	turnover
0	-69195.4	-68923.1	-272.286	0.02071064	0.02563962	0.04635025	0.553171
10	-58818.7	-58564.9	-253.743	0.138457	0.02695348	0.1654105	0.1629491
20	-46066.6	-45845.8	-220.833	0.3216708	0.007843507	0.3295143	0.02380324
30	-36150.7	-35970	-180.709	0.5262282	0.0147416	0.5409698	0.02725031
40	-26622.8	-26482.4	-140.341	1.342413	0.01854687	1.36096	0.01362778
50	-22352.4	-22226.6	-125.735	2.141919	0.02078564	2.162705	0.009610947
60	-19034.4	-18916.2	-118.202	2.903381	0.01227474	2.915656	0.00420994
70	-17758.5	-17651	-107.496	2.840654	0.01506153	2.855716	0.005274168
80	-17303.8	-17199.1	-104.671	3.431784	0.01249285	3.444277	0.003627134
90	-16672.8	-16572.4	-100.393	3.295916	0.01371835	3.309634	0.004144975
100	-16655.4	-16554.8	-100.625	3.239878	0.03618342	3.276061	0.01104479
110	-16631.9	-16531.2	-100.717	3.472133	0.08630375	3.558437	0.02425328
120	-16630	-16528.6	-101.378	4.216571	0.08671252	4.303284	0.02015031
130	-16637.7	-16537	-100.699	4.06334	0.08879469	4.152135	0.02138531
140	-16624.9	-16524.7	-100.197	3.531125	0.06912979	3.600254	0.01920136
150	-16625.9	-16526	-99.9327	3.237736	0.01719875	3.254935	0.0052839
160	-16625.6	-16526.2	-99.3372	3.753972	0.01446256	3.768435	0.003837815
170	-16615	-16514.4	-100.579	2.85607	0.00856065	2.864631	0.002988396
180	-16619.5	-16520.2	-99.2962	3.324456	0.01045688	3.334913	0.003135578
190	-16620.2	-16520.6	-99.6304	4.091486	0.02705834	4.118544	0.006569879
200	-16608	-16508.2	-99.7483	3.692638	0.05892166	3.751559	0.01570591
210	-16610.5	-16509.7	-100.85	4.442229	0.04521014	4.487439	0.01007482
220	-16620.6	-16519.3	-101.357	3.023474	0.1228016	3.146276	0.03903078
230	-16617.1	-16516.9	-100.214	3.565253	0.06991547	3.635168	0.01923308
240	-16618	-16517.6	-100.4	4.490287	0.02133722	4.511624	0.004729388
250	-16613.6	-16513.9	-99.7014	3.737414	0.05356229	3.790976	0.01412889
260	-16617.2	-16517.7	-99.4442	3.569487	0.03354864	3.603035	0.009311217
270	-16612.5	-16511.7	-100.82	3.923333	0.1167152	4.040048	0.02888955
