Iteration	Posterior	Likelihood	Prior	diversification	extinction_rate	speciation_rate	turnover
0	-63120.1	-62904.4	-215.688	-0.2973462	0.3664362	0.06908994	5.303756
10	-44124.2	-43935.8	-188.404	-0.3657281	0.4382784	0.07255029	6.041029
20	-33876.8	-33715.5	-161.325	-1.037939	1.113668	0.07572806	14.70614
30	-27338.1	-27194.7	-143.315	-1.268681	1.335724	0.0670433	19.92331
40	-23245.6	-23110	-135.539	-1.481132	1.522864	0.04173174	36.49174
50	-20596.1	-20470.2	-125.887	-2.043004	2.088376	0.04537206	46.0278
60	-19432	-19320.5	-111.433	-2.746459	2.834002	0.08754293	32.37271
70	-18707	-18597.8	-109.181	-2.763809	2.828292	0.06448354	43.86069
80	-17937.2	-17833.8	-103.479	-3.086497	3.177088	0.09059092	35.07071
90	-17625.5	-17521.4	-104.126	-4.545607	4.608573	0.06296597	73.19148
100	-17371.1	-17269.1	-102.014	-2.79465	2.827893	0.03324307	85.06713
110	-17324.5	-17222.9	-101.648	-2.900007	2.956681	0.05667417	52.16983
120	-17236.8	-17136.6	-100.112	-3.520686	3.536778	0.01609127	219.7948
130	-17219.9	-17119.4	-100.505	-4.262918	4.270925	0.00800715	533.389
140	-17209.2	-17109.3	-99.8743	-3.42535	3.434025	0.00867497	395.8544
150	-17209.7	-17110.3	-99.4595	-3.804744	3.809827	0.005083362	749.47
160	-17204.7	-17102.8	-101.944	-4.967113	4.976224	0.009110219	546.2244
170	-17203	-17103.4	-99.605	-4.063162	4.07017	0.007008158	580.776
180	-17196.2	-17095.4	-100.798	-2.850279	2.853627	0.003348664	852.169
190	-17202.1	-17102.2	-99.8384	-3.27145	3.274393	0.002943055	1112.583
200	-17137.2	-17037.6	-99.6286	-3.983838	3.985309	0.001470815	2709.592
210	-17140	-17040.3	-99.6892	-3.93467	3.938536	0.003866233	1018.701
220	-17136	-17035.6	-100.363	-4.209682	4.238944	0.02926282	144.8577
230	-17139.3	-17039.1	-100.124	-3.205035	3.215292	0.01025729	313.4642
240	-17133.2	-17032.1	-101.041	-4.611874	4.635311	0.02343725	197.7754
250	-17130.4	-17028.1	-102.299	-3.901229	4.132343	0.2311145	17.88007
260	-17136.3	-17034.9	-101.394	-2.915011	3.029571	0.1145598	26.44532
270	-17150.4	-17050.1	-100.303	-3.413818	3.504039	0.09022168	38.83811
280	-17140.1	-17038.7	-101.449	-4.282127	4.39394	0.111813	39.29721
290	-17129.7	-17030.6	-99.1438	-3.520089	3.542319	0.02223063	159.3441
300	-17135.9	-17037	-98.9862	-3.968494	3.98921	0.02071642	192.5627
310	-17131.5	-17031.5	-99.9911	-4.578452	4.608751	0.03029857	152.1112
320	-17140.7	-17039.9	-100.827	-4.477771	4.580477	0.1027067	44.59764
330	-17136.2	-17036.1	-100.078	-2.933053	2.945796	0.01274316	231.1668
340	-17131.8	-17032.3	-99.5193	-4.147832	4.180048	0.03221524	129.7537
350	-17128.4	-17029.1	-99.3321	-4.077067	4.10762	0.03055335	134.4409
360	-17124.2	-17024.1	-100.068	-4.304394	4.354165	0.04977087	87.4842
370	-17128.3	-17028.7	-99.6627	-3.628152	3.693101	0.06494925	56.86134
380	-17134.3	-17031.5	-102.753	-3.484743	3.796638	0.3118943	12.17284
390	-17127.8	-17027	-100.721	-3.481075	3.610828	0.1297524	27.82859
400	-17126	-17026.8	-99.256	-3.72228	3.745961	0.02368097	158.1845
410	-17139.8	-17036.7	-103.155	-2.556462	2.725374	0.1689124	16.13483
420	-17136.7	-17035.9	-100.758	-3.536141	3.682286	0.1461442	25.19625
430	-17132.4	-17033.3	-99.1441	-3.730497	3.747189	0.01669196	224.4906
440	-17126.3	-17026	-100.246	-3.027253	3.067328	0.04007554	76.53868
450	-17127.4	-17022.8	-104.601	-5.267973	5.430952	0.1629791	33.32301
460	-17131	-17029.1	-101.963	-2.801672	2.950989	0.1493178	19.76315
470	-17129.6	-17029.4	-100.167	-3.572949	3.671562	0.09861278	37.23211
480	-17138.4	-17038.2	-100.146	-4.295486	4.339265	0.04377892	99.11769
490	-17133	-17027.9	-105.079	-4.140403	4.571134	0.4307315	10.61249
500	-17127.2	-17028	-99.1731	-3.596623	3.625697	0.02907349	124.708
510	-17136.3	-17034.6	-101.703	-3.328694	3.577361	0.2486674	14.38613
520	-17131.9	-17031.9	-99.9815	-4.348659	4.410879	0.06222052	70.89107
