Iteration	Posterior	Likelihood	Prior	diversification	extinction_rate	speciation_rate	turnover
0	-66507.2	-66244.9	-262.236	-0.03985474	0.07254412	0.03268938	2.219195
10	-53182.4	-52954.4	-227.975	-0.1256262	0.1661765	0.04055029	4.098036
20	-41062.9	-40871.2	-191.669	-0.4495109	0.5095517	0.06004081	8.486757
30	-30129.3	-29976	-153.251	-1.282215	1.412788	0.1305728	10.81993
40	-27167.6	-27022.7	-144.908	-1.353175	1.590896	0.2377209	6.692282
50	-24156.5	-24021.7	-134.861	-1.103281	1.486685	0.3834042	3.877592
60	-21467.8	-21350.6	-117.142	-2.494964	2.59134	0.09637542	26.88798
70	-19324.1	-19213.4	-110.688	-2.783754	2.867472	0.08371793	34.25158
80	-18099.2	-17996	-103.233	-3.321613	3.412909	0.09129604	37.38288
90	-17926	-17823.2	-102.75	-4.043648	4.115799	0.07215125	57.04404
100	-17891.6	-17789.4	-102.151	-4.197989	4.244626	0.04663694	91.01424
110	-17875.7	-17774.8	-100.913	-3.557552	3.58212	0.02456801	145.8042
120	-17875.5	-17771.3	-104.271	-2.342184	2.359648	0.01746403	135.1147
130	-17848.5	-17746.7	-101.838	-4.339086	4.38453	0.04544433	96.48134
140	-17842.4	-17741.9	-100.53	-3.77932	3.814413	0.0350927	108.6953
150	-17839.5	-17738.9	-100.614	-3.37459	3.419268	0.04467857	76.53038
160	-17850	-17747.6	-102.393	-2.78969	2.877519	0.08782978	32.76246
170	-17838.5	-17735.6	-102.993	-3.312946	3.549521	0.2365747	15.00381
180	-17841.1	-17735.2	-105.889	-3.154584	3.636042	0.4814584	7.552142
190	-17844.1	-17741.6	-102.414	-3.296648	3.468601	0.1719531	20.17178
200	-17853.9	-17749.2	-104.699	-4.760442	4.926765	0.1663225	29.62176
210	-17739.5	-17635.5	-103.931	-2.99665	3.381224	0.3845734	8.792142
220	-17731.1	-17627.3	-103.861	-2.851499	3.210505	0.3590059	8.942762
230	-17725.3	-17624.2	-101.129	-3.232859	3.394176	0.1613173	21.04037
240	-17720.8	-17619.9	-100.923	-4.548329	4.610567	0.06223735	74.08038
250	-17718.8	-17618.8	-99.9607	-3.863611	3.925977	0.06236628	62.95031
260	-17722.1	-17621.6	-100.478	-3.830912	3.925257	0.09434479	41.60544
270	-17720.1	-17619.7	-100.439	-3.15343	3.234487	0.08105681	39.90394
280	-17716	-17615.4	-100.6	-4.374239	4.442444	0.06820502	65.13368
290	-17721.7	-17621.5	-100.168	-3.892463	3.988424	0.09596105	41.56295
300	-17727.7	-17626.9	-100.745	-4.516169	4.562134	0.04596475	99.25288
310	-17722.3	-17622.6	-99.7022	-3.83707	3.894139	0.05706964	68.23486
320	-17715.1	-17615.3	-99.8683	-4.24949	4.299958	0.05046837	85.20104
330	-17719.9	-17618.5	-101.399	-4.859778	4.885555	0.02577678	189.5332
340	-17720.5	-17621.4	-99.1066	-3.755415	3.76816	0.0127443	295.6741
350	-17713.2	-17613.5	-99.6577	-3.795457	3.847726	0.05226956	73.61314
360	-17723.7	-17623.9	-99.7192	-3.845652	3.899665	0.05401286	72.19882
370	-17716.6	-17617	-99.5278	-3.351685	3.392843	0.04115744	82.43571
380	-17715.7	-17614.9	-100.77	-4.646874	4.676864	0.02999047	155.945
390	-17712.7	-17613.2	-99.5133	-3.698692	3.75296	0.05426829	69.15567
400	-17718.4	-17619.5	-98.959	-3.933255	3.944944	0.01168934	337.4824
410	-17719.8	-17619.6	-100.183	-3.398982	3.509211	0.1102293	31.83556
420	-17714.4	-17613.6	-100.898	-4.536397	4.607666	0.07126902	64.65173
430	-17722.1	-17619.6	-102.43	-2.481877	2.500194	0.018317	136.4959
440	-17725.5	-17622.5	-102.949	-3.223364	3.537405	0.3140409	11.26415
450	-17723.2	-17623.3	-99.8999	-4.339089	4.347454	0.008364641	519.7418
460	-17725.5	-17623.8	-101.71	-3.736322	3.970202	0.2338801	16.97538
470	-17713.7	-17614.3	-99.408	-3.638906	3.695762	0.05685608	65.00205
480	-17706.6	-17607	-99.5716	-3.258285	3.301803	0.04351753	75.87294
490	-17718.2	-17617.7	-100.412	-3.044199	3.131625	0.08742552	35.82049
500	-17717.6	-17615.6	-101.972	-2.744623	2.882977	0.1383541	20.83766
510	-17719.4	-17620.1	-99.3217	-3.619785	3.660657	0.04087144	89.56516
520	-17716	-17615.8	-100.202	-3.570624	3.665118	0.09449455	38.78655
530	-17716	-17616.4	-99.5393	-3.597927	3.653773	0.05584559	65.42635
540	-17712.2	-17612.9	-99.3282	-3.639437	3.668838	0.02940088	124.7867
550	-17712.4	-17610.2	-102.169	-4.056695	4.295752	0.239057	17.96957
560	-17714.8	-17615.1	-99.6343	-3.326225	3.382912	0.05668682	59.67722
570	-17710.8	-17610.6	-100.217	-4.657375	4.671385	0.01401064	333.417
580	-17715.1	-17615.2	-99.8923	-3.726328	3.818943	0.09261516	41.23453
590	-17717.6	-17617.8	-99.8028	-3.933477	3.988619	0.05514174	72.33394
600	-17720	-17619.9	-100.15	-4.48761	4.491134	0.003523166	1274.744
610	-17716.7	-17614.5	-102.126	-3.929961	4.169671	0.23971	17.39465
620	-17716.5	-17616.8	-99.7428	-4.366797	4.370792	0.003994973	1094.073
630	-17715.8	-17614.8	-100.999	-3.351546	3.513702	0.1621555	21.66871
640	-17715.7	-17615.7	-99.9319	-4.406389	4.44029	0.03390098	130.9782
650	-17716.1	-17615.4	-100.759	-3.181374	3.313446	0.132072	25.08818
660	-17726.6	-17627.2	-99.3764	-3.554265	3.60531	0.05104486	70.63022
670	-17727	-17623.8	-103.141	-4.779706	4.955986	0.1762798	28.11431
680	-17707.6	-17605.5	-102.097	-3.661671	3.924564	0.2628926	14.92839
690	-17717	-17616.5	-100.543	-2.87754	2.911582	0.03404287	85.52695
700	-17718.4	-17618.3	-100.072	-4.085986	4.16796	0.0819742	50.84478
710	-17715.9	-17616.4	-99.4956	-3.636899	3.683165	0.04626598	79.6085
720	-17715.4	-17614.7	-100.64	-3.783202	3.920554	0.1373523	28.54379
730	-17713.2	-17612.4	-100.808	-3.298049	3.435591	0.1375422	24.97845
740	-17718.1	-17617.5	-100.578	-3.149407	3.254308	0.1049014	31.02254
750	-17722	-17622.6	-99.4134	-3.323371	3.359985	0.03661446	91.76663
760	-17706.5	-17607.5	-98.9824	-3.963512	3.973943	0.01043091	380.9775
770	-17713.8	-17613.3	-100.482	-4.113218	4.223471	0.1102532	38.30703
780	-17717.1	-17616.4	-100.722	-4.679452	4.720253	0.04080113	115.6893
790	-17723.7	-17616.8	-106.914	-2.008304	2.230795	0.2224908	10.02646
800	-17726	-17625.7	-100.338	-4.177172	4.274474	0.09730118	43.93034
810	-17713.5	-17611.6	-101.845	-3.178666	3.425855	0.2471896	13.85922
820	-17713	-17612.1	-100.957	-4.14469	4.293223	0.1485336	28.90406
830	-17708.6	-17608.4	-100.291	-4.693651	4.701422	0.007771686	604.9424
840	-17711.5	-17610.6	-100.936	-3.525627	3.708671	0.1830444	20.26105
850	-17712.9	-17608.5	-104.447	-2.371326	2.617004	0.2456778	10.65218
860	-17708.8	-17609.2	-99.5629	-3.382784	3.428421	0.04563718	75.12343
870	-17716.6	-17616	-100.672	-4.138064	4.246731	0.1086676	39.08001
880	-17707.1	-17608.1	-98.9423	-3.522514	3.535386	0.01287175	274.6623
890	-17716.9	-17612	-104.867	-2.211948	2.348109	0.1361608	17.24511
900	-17705.6	-17606.6	-99.053	-3.552903	3.570634	0.01773129	201.3747
910	-17718.5	-17618.8	-99.6883	-3.88673	3.932219	0.04548964	86.44209
920	-17721.1	-17621.2	-99.8851	-4.157542	4.201165	0.04362313	96.30591
930	-17717.2	-17617.7	-99.5275	-3.361111	3.401649	0.04053811	83.91236
940	-17712.7	-17611.7	-100.999	-3.24412	3.388749	0.1446289	23.43066
950	-17711.9	-17612.9	-99.0605	-4.078352	4.080664	0.002312033	1764.968
960	-17718.2	-17617.5	-100.693	-2.798419	2.803949	0.005530074	507.0364
970	-17711.4	-17611.6	-99.7512	-3.764116	3.83922	0.07510374	51.11889
980	-17713	-17613.9	-99.082	-3.500597	3.519624	0.01902676	184.9828
990	-17717.4	-17617.2	-100.229	-3.482007	3.602635	0.1206276	29.86576
1000	-17708.6	-17606.9	-101.696	-2.699529	2.78804	0.08851122	31.49928
1010	-17714.3	-17615.1	-99.2228	-3.880965	3.903343	0.02237794	174.4282
1020	-17723	-17621.2	-101.814	-3.798633	4.040109	0.2414757	16.73091
1030	-17714.8	-17614.3	-100.521	-4.436767	4.50504	0.06827354	65.98516
1040	-17714.2	-17614.6	-99.5887	-4.241645	4.287852	0.04620685	92.79688
1050	-17714.9	-17615.7	-99.2135	-3.595176	3.654389	0.05921275	61.71625
1060	-17714.5	-17613.9	-100.634	-4.301809	4.422671	0.1208628	36.59249
1070	-17718	-17618.5	-99.5255	-4.175193	4.229936	0.05474316	77.26875
1080	-17717	-17616.5	-100.533	-3.518358	3.679431	0.161073	22.84325
1090	-17714.3	-17612.2	-102.129	-3.140607	3.420982	0.2803755	12.20143
1100	-17704.4	-17605.2	-99.1332	-3.418365	3.465642	0.0472762	73.30625
1110	-17710.4	-17610.5	-99.9223	-3.144629	3.217837	0.07320842	43.95447
1120	-17710.6	-17610.7	-99.8874	-4.579809	4.602566	0.02275683	202.2499
1130	-17728.2	-17627.2	-100.932	-3.461712	3.688695	0.2269829	16.25098
1140	-17716.4	-17616.4	-99.963	-4.14915	4.255081	0.1059311	40.16837
1150	-17720.6	-17622.1	-98.534	-3.592031	3.602971	0.01093938	329.358
1160	-17723.9	-17624.2	-99.7319	-4.794058	4.795062	0.001004487	4773.645
1170	-17713.9	-17613.3	-100.602	-4.857362	4.891886	0.03452387	141.6958
1180	-17717	-17617.1	-99.9024	-3.771089	3.889476	0.1183867	32.854
1190	-17711.3	-17609.5	-101.715	-3.001416	3.230865	0.2294491	14.08097
1200	-17714.2	-17614.8	-99.475	-4.551109	4.556864	0.00575512	791.793
1210	-17711.9	-17612.3	-99.5848	-3.349895	3.424131	0.07423648	46.12464
1220	-17718.9	-17618.7	-100.153	-4.357306	4.458428	0.1011222	44.0895
1230	-17718.2	-17618.4	-99.828	-4.14337	4.241071	0.09770078	43.40877
1240	-17711.7	-17612.4	-99.3443	-3.110796	3.141612	0.03081642	101.9461
1250	-17710	-17610.8	-99.2247	-4.410547	4.426938	0.01639031	270.0948
1260	-17711.9	-17612.8	-99.0966	-3.539642	3.611799	0.07215707	50.05468
1270	-17721.9	-17620.8	-101.08	-3.074394	3.275065	0.2006713	16.32054
1280	-17710.8	-17610.6	-100.212	-4.511598	4.569547	0.05794905	78.85456
1290	-17714	-17614.5	-99.484	-3.404745	3.492002	0.08725741	40.01955
1300	-17716.7	-17615.7	-100.998	-3.893182	4.084673	0.191491	21.33088
1310	-17706.2	-17607.4	-98.8104	-3.761482	3.779621	0.01813876	208.3726
1320	-17709.6	-17607.7	-101.834	-2.717739	2.852847	0.1351078	21.11534
1330	-17714.1	-17612.7	-101.336	-3.28149	3.493494	0.212004	16.47843
1340	-17716.1	-17615.8	-100.297	-4.480077	4.555122	0.07504497	60.69856
1350	-17713.9	-17614.3	-99.56	-3.97549	4.059483	0.08399328	48.33105
1360	-17712.9	-17612.5	-100.363	-3.347365	3.496688	0.149323	23.41693
1370	-17712.7	-17613.4	-99.3499	-4.088769	4.138911	0.05014238	82.54317
1380	-17710.9	-17610.7	-100.165	-2.898241	2.942612	0.04437164	66.31741
1390	-17724.6	-17625.7	-98.9449	-4.005782	4.029334	0.02355196	171.0828
1400	-17713.1	-17610.6	-102.552	-3.939457	4.255705	0.316248	13.45686
1410	-17714.3	-17615.1	-99.1781	-4.368187	4.374365	0.006178651	707.9807
1420	-17712	-17612.5	-99.4824	-4.246896	4.299343	0.05244649	81.9758
1430	-17708.6	-17608.7	-99.9069	-4.126384	4.235528	0.1091443	38.80667
1440	-17711	-17608.7	-102.309	-5.403164	5.455443	0.05227915	104.3522
1450	-17716.2	-17613.1	-103.044	-2.564146	2.787752	0.2236065	12.46722
1460	-17712.6	-17613.5	-99.0782	-3.193997	3.194035	3.863648e-05	82668.89
1470	-17714.5	-17614.6	-99.9695	-3.770953	3.890726	0.119773	32.48418
1480	-17712.9	-17614.2	-98.729	-3.690781	3.710751	0.01996989	185.8173
1490	-17705	-17604.8	-100.273	-3.822395	3.977851	0.1554559	25.58829
1500	-17716.6	-17617.4	-99.2474	-3.522172	3.589147	0.06697514	53.58925
1510	-17709.6	-17607.9	-101.778	-4.163922	4.400309	0.2363879	18.61478
1520	-17712.6	-17612.4	-100.216	-2.986157	3.069677	0.08352014	36.75373
1530	-17720.3	-17619.8	-100.532	-2.901646	2.968397	0.06675099	44.4697
1540	-17723	-17622.8	-100.207	-2.943956	2.996402	0.05244621	57.13286
1550	-17712.8	-17613	-99.82	-4.524205	4.550397	0.02619198	173.7324
1560	-17721	-17621.4	-99.5179	-3.815053	3.894248	0.07919477	49.17304
1570	-17705.5	-17606.5	-99.0272	-4.046864	4.078458	0.03159329	129.0925
1580	-17711.3	-17612.1	-99.131	-3.830691	3.886858	0.05616646	69.20247
1590	-17703.9	-17604.8	-99.1066	-4.217254	4.235713	0.01845923	229.4631
1600	-17717.6	-17618.9	-98.7214	-3.951196	3.970003	0.01880685	211.0934
1610	-17716.9	-17616.1	-100.861	-2.713903	2.742222	0.02831953	96.83147
1620	-17718.6	-17619.9	-98.6914	-3.568939	3.585179	0.01624004	220.7617
1630	-17713.2	-17611.8	-101.44	-5.148342	5.166929	0.01858725	277.9825
1640	-17712.7	-17613.4	-99.322	-3.101946	3.10814	0.00619389	501.8073
