Iteration	Replicate_ID	Posterior	Likelihood	Prior	diversification	extinction_rate	speciation_rate	turnover
0	0	-69318.1	-69040.7	-277.4	-0.04672776	0.05978224	0.01305447	4.579445
1	1	-65670.8	-65398.5	-272.279	-0.0492575	0.1038188	0.05456127	1.902793
2	0	-54830.4	-54572.9	-257.411	-0.1016498	0.1156052	0.0139554	8.28391
3	1	-52210.3	-51958.8	-251.48	-0.06616695	0.1303755	0.06420855	2.030501
4	0	-43730.5	-43504.7	-225.82	-0.2183121	0.2728575	0.05454539	5.002394
5	1	-42076.9	-41858.1	-218.817	-0.155376	0.2838156	0.1284396	2.20972
6	0	-35567.1	-35374.8	-192.312	-0.4351289	0.559307	0.124178	4.504073
7	1	-34211.2	-34034.7	-176.484	-0.1869381	0.723401	0.5364629	1.348464
8	0	-28812.7	-28648	-164.645	-0.8022415	1.169925	0.3676832	3.181882
9	1	-28727.2	-28574.9	-152.226	-0.5763452	1.377004	0.8006583	1.719839
10	0	-24262.1	-24114.8	-147.312	-0.466561	1.188601	0.7220404	1.64617
11	1	-24616.6	-24475	-141.585	-1.103709	1.554206	0.4504967	3.449983
12	0	-21779.6	-21657.3	-122.298	-1.968588	2.310161	0.3415729	6.763304
13	1	-22760.1	-22635.9	-124.262	-2.796647	3.07751	0.2808624	10.95736
14	0	-20737.1	-20616.1	-121.043	-2.556332	2.951543	0.3952117	7.468259
15	1	-20763.1	-20647.5	-115.614	-2.490867	2.639355	0.1484878	17.77489
16	0	-19215.4	-19103	-112.46	-3.098106	3.223944	0.1258381	25.61978
17	1	-19882.9	-19767.1	-115.749	-2.643163	3.078942	0.4357793	7.065371
18	0	-18816.3	-18705.5	-110.814	-2.720106	2.790481	0.07037468	39.65177
19	1	-19276.4	-19163.6	-112.824	-2.636315	3.027977	0.3916623	7.731092
20	0	-18626.4	-18516.4	-110.015	-3.280654	3.312768	0.03211416	103.156
21	1	-19224.9	-19115.4	-109.43	-3.487144	3.583858	0.09671378	37.05633
22	0	-18505.4	-18395.6	-109.738	-3.354156	3.399803	0.04564665	74.48089
23	1	-18778.4	-18672.5	-105.915	-2.724152	2.927156	0.2030041	14.41919
24	0	-18493.8	-18386.5	-107.36	-3.352876	3.36208	0.009203999	365.2847
25	1	-18426.1	-18322.5	-103.593	-3.432012	3.552964	0.1209518	29.37503
26	0	-18495.3	-18388	-107.265	-2.870223	2.877187	0.006964462	413.1241
27	1	-18415.1	-18311.8	-103.311	-2.835061	2.873028	0.0379672	75.67132
28	0	-18307.2	-18200.3	-106.874	-3.022361	3.051153	0.02879242	105.9707
29	1	-18413	-18309.2	-103.799	-4.241682	4.300331	0.05864892	73.32327
30	0	-18305.1	-18196.1	-109.019	-3.843347	3.959286	0.1159387	34.14981
31	1	-18088.2	-17984.5	-103.709	-4.201719	4.259675	0.05795646	73.49785
32	0	-17860.3	-17756.7	-103.524	-2.875108	2.986313	0.1112055	26.854
33	1	-18002.2	-17897.5	-104.779	-2.946023	3.193465	0.2474416	12.90594
34	0	-17847.4	-17745	-102.307	-3.459377	3.529072	0.06969539	50.63566
35	1	-17975.7	-17871.7	-103.98	-3.719682	3.902238	0.1825567	21.37549
36	0	-17848.2	-17743.3	-104.835	-2.469344	2.587244	0.1178997	21.94445
37	1	-17973.6	-17868.4	-105.177	-3.203309	3.524832	0.3215232	10.96292
38	0	-17839.1	-17737.5	-101.652	-3.479008	3.546475	0.06746767	52.56555
39	1	-17969.8	-17867.1	-102.642	-3.35467	3.479755	0.1250847	27.81919
40	0	-17825.8	-17723.9	-101.899	-4.066974	4.107518	0.04054364	101.311
41	1	-17972.3	-17867.7	-104.633	-4.535349	4.660841	0.1254923	37.14047
42	0	-17812.9	-17711.6	-101.286	-3.311885	3.344308	0.03242308	103.1459
43	1	-17516.9	-17415.5	-101.387	-3.712027	3.861265	0.1492379	25.87322
44	0	-17520.9	-17421.1	-99.8808	-3.551794	3.575059	0.02326584	153.6613
45	1	-17460	-17359.7	-100.244	-3.522151	3.617801	0.09564971	37.82344
46	0	-17437.1	-17337	-100.045	-3.131881	3.139359	0.007477899	419.8183
47	1	-17462.4	-17362.7	-99.7019	-3.597898	3.627211	0.02931323	123.7397
48	0	-17430.4	-17330.1	-100.301	-3.260837	3.314216	0.05337857	62.08888
49	1	-17459.5	-17359.8	-99.6788	-3.506553	3.550062	0.04350942	81.59295
50	0	-17437.7	-17336.5	-101.144	-4.629214	4.646043	0.01682872	276.0783
51	1	-17454.1	-17351.8	-102.299	-3.013064	3.193662	0.1805981	17.68381
52	0	-17438.9	-17339.1	-99.728	-3.864644	3.887695	0.02305137	168.6535
53	1	-17451.3	-17351.1	-100.237	-4.152866	4.162389	0.009523164	437.0805
54	0	-17427.7	-17328.2	-99.5487	-3.891405	3.900723	0.009318747	418.5888
55	1	-17446.2	-17346.2	-99.9886	-3.928883	3.958964	0.03008074	131.6113
56	0	-17432.1	-17332.1	-99.9993	-3.311545	3.342121	0.03057666	109.303
57	1	-17455.5	-17352.8	-102.778	-2.964235	3.187161	0.2229255	14.29698
58	0	-17433.2	-17330.7	-102.492	-3.115859	3.346438	0.2305782	14.51325
59	1	-17454.3	-17349.9	-104.333	-4.195939	4.51708	0.321141	14.06572
60	0	-17434.8	-17334.6	-100.246	-3.329257	3.378218	0.04896071	68.99854
61	1	-17450.1	-17348.6	-101.506	-4.608343	4.640421	0.03207754	144.6626
62	0	-17430.3	-17328.8	-101.456	-3.630152	3.783913	0.1537613	24.60901
63	1	-17446.1	-17345.6	-100.416	-3.640982	3.707394	0.06641209	55.82408
64	0	-17429.5	-17329.7	-99.8427	-3.519073	3.553956	0.03488267	101.8831
65	1	-17403.3	-17301.1	-102.176	-4.310583	4.446342	0.1357591	32.75172
66	0	-17432.2	-17329.3	-102.898	-4.976206	5.040141	0.06393485	78.83245
67	1	-17399.5	-17298.8	-100.66	-3.325513	3.427811	0.1022981	33.50805
68	0	-17424.9	-17325.1	-99.7842	-3.564361	3.598043	0.03368222	106.8232
69	1	-17400.1	-17300.1	-99.9897	-3.465188	3.513707	0.04851897	72.41925
70	0	-17428	-17328	-99.9742	-3.774207	3.824076	0.04986922	76.68208
71	1	-17402.6	-17301.5	-101.08	-4.057881	4.171959	0.1140776	36.57123
72	0	-17429.8	-17330.4	-99.4482	-3.561779	3.565753	0.003973475	897.3891
73	1	-17404.2	-17300.6	-103.569	-3.247213	3.627802	0.3805897	9.532056
74	0	-17422.7	-17322.6	-100.112	-3.041129	3.047185	0.006056282	503.1445
75	1	-17398.5	-17298.3	-100.216	-3.958645	4.039915	0.0812696	49.71004
76	0	-17431.3	-17331.3	-99.9881	-4.18503	4.221625	0.03659483	115.3612
77	1	-17393.9	-17291.6	-102.292	-4.271683	4.475155	0.2034722	21.99394
78	0	-17434	-17333	-101.011	-4.551287	4.579113	0.02782651	164.5594
79	1	-17393.3	-17291.6	-101.724	-2.864937	3.010129	0.1451917	20.73211
80	0	-17432	-17330.4	-101.596	-4.843269	4.852134	0.008864361	547.3755
81	1	-17405.3	-17304.7	-100.638	-3.282677	3.424753	0.1420755	24.10516
82	0	-17436.8	-17334.8	-102.043	-3.131605	3.345646	0.2140405	15.6309
83	1	-17392.1	-17293.1	-99.0594	-4.033389	4.039999	0.006609982	611.1966
84	0	-17428.7	-17328.8	-99.9628	-3.485886	3.527498	0.04161123	84.77274
85	1	-17393.2	-17293.9	-99.3395	-3.890768	3.940598	0.04982994	79.08092
86	0	-17426.4	-17326.9	-99.4769	-3.998963	4.006764	0.007800149	513.6778
87	1	-17399.7	-17299.5	-100.274	-3.197985	3.294123	0.09613782	34.26459
88	0	-17430.4	-17328.7	-101.693	-2.872825	2.99701	0.1241857	24.1333
89	1	-17393.3	-17294	-99.3444	-4.243381	4.269727	0.02634533	162.0677
90	0	-17425.9	-17323.4	-102.53	-2.520223	2.53573	0.015507	163.5216
91	1	-17394.7	-17296.1	-98.5557	-3.680395	3.683649	0.003253842	1132.092
92	0	-17428.6	-17329.2	-99.3991	-3.601925	3.60704	0.005114987	705.1906
93	1	-17394.4	-17295.6	-98.7627	-3.683395	3.691747	0.008352361	442.0004
94	0	-17429.5	-17329.5	-100.024	-3.525715	3.582668	0.05695319	62.90549
95	1	-17385.8	-17286.9	-98.8971	-3.359101	3.371789	0.01268785	265.7493
96	0	-17432.4	-17332.4	-100.008	-3.564408	3.616653	0.05224548	69.22423
97	1	-17382.4	-17283.5	-98.8693	-3.73762	3.748092	0.0104719	357.919
98	0	-17433.2	-17333.3	-99.8779	-3.24901	3.266948	0.01793722	182.1323
99	1	-17376.6	-17277.2	-99.3741	-3.257013	3.284348	0.02733571	120.1487
100	0	-17387	-17287.6	-99.4383	-3.716912	3.753492	0.03657971	102.6113
101	1	-17387.7	-17288.2	-99.4763	-3.681571	3.771888	0.09031678	41.76287
102	0	-17388.7	-17288.4	-100.373	-4.29	4.344667	0.05466727	79.47474
103	1	-17374.1	-17273.9	-100.168	-4.504637	4.560216	0.05557909	82.04913
104	0	-17390.1	-17288.3	-101.827	-4.767048	4.844116	0.07706755	62.85545
105	1	-17361.6	-17262.9	-98.702	-3.789388	3.799508	0.01012035	375.4326
106	0	-17389.9	-17289.9	-99.955	-3.207572	3.257798	0.0502265	64.86214
107	1	-17366.6	-17266.5	-100.042	-3.039063	3.085558	0.04649516	66.363
108	0	-17396.3	-17293.4	-102.935	-4.194545	4.44825	0.2537046	17.53318
109	1	-17366.6	-17267.5	-99.1596	-3.81047	3.848408	0.03793816	101.439
110	0	-17389.8	-17289.5	-100.336	-4.305219	4.351263	0.04604417	94.50193
111	1	-17354.4	-17255.7	-98.7131	-4.045893	4.064302	0.0184091	220.7768
112	0	-17390.4	-17290.9	-99.4414	-4.003566	4.006385	0.002818443	1421.489
113	1	-17371.9	-17270.1	-101.832	-2.827172	3.013181	0.186009	16.19912
114	0	-17392.4	-17290.6	-101.834	-4.277653	4.428285	0.1506326	29.39791
115	1	-17352	-17252.4	-99.5564	-4.44518	4.464846	0.01966572	227.037
116	0	-17393.8	-17293.8	-100.01	-3.221807	3.267274	0.04546683	71.86061
117	1	-17359.6	-17260.7	-98.8752	-3.611136	3.635149	0.02401245	151.386
118	0	-17395.2	-17295.5	-99.6949	-4.104559	4.140573	0.03601337	114.9732
119	1	-17355.4	-17255.3	-100.092	-4.558052	4.60427	0.04621805	99.6206
120	0	-17394	-17292.1	-101.902	-4.713863	4.810927	0.09706369	49.56464
121	1	-17349.2	-17250.5	-98.7483	-3.777241	3.816265	0.0390236	97.79375
122	0	-17391	-17290.1	-100.924	-3.239153	3.374605	0.1354529	24.9135
123	1	-17351.4	-17251.3	-100.032	-3.188111	3.288311	0.1002	32.81748
124	0	-17416	-17311.5	-104.491	-5.733929	5.738815	0.004886393	1174.448
125	1	-17358.3	-17256.4	-101.87	-4.722849	4.870574	0.1477249	32.97057
126	0	-17377.9	-17273.6	-104.338	-3.891926	4.319557	0.4276305	10.10114
127	1	-17357.9	-17258.7	-99.249	-3.166498	3.206761	0.04026342	79.64455
128	0	-17361	-17261.1	-99.9033	-4.212981	4.273846	0.06086484	70.21863
129	1	-17360.4	-17256.7	-103.635	-4.276631	4.628606	0.3519751	13.15038
130	0	-17360	-17258.7	-101.382	-3.167094	3.371647	0.2045529	16.48301
131	1	-17359.2	-17258.7	-100.571	-4.714468	4.762241	0.04777303	99.68472
132	0	-17360.4	-17259.4	-100.933	-2.869405	2.955346	0.08594117	34.38801
133	1	-17350.8	-17251	-99.8239	-4.105776	4.208856	0.1030792	40.83128
134	0	-17361.8	-17260.3	-101.482	-2.739502	2.834433	0.09493126	29.85775
135	1	-17347.6	-17248.9	-98.7396	-3.426799	3.454248	0.02744967	125.8394
136	0	-17362.4	-17263.4	-98.9517	-3.956618	3.972723	0.01610496	246.677
137	1	-17354.3	-17255.7	-98.6572	-3.591309	3.625964	0.03465446	104.6319
138	0	-17362.8	-17260.8	-102.002	-4.287127	4.500777	0.2136509	21.06604
139	1	-17357.3	-17257.1	-100.214	-4.388731	4.462271	0.0735408	60.6775
140	0	-17358.6	-17259.6	-98.9236	-3.713447	3.742413	0.02896571	129.2015
141	1	-17355.2	-17255.6	-99.5825	-3.441658	3.533019	0.09136093	38.67101
142	0	-17362	-17262.1	-99.8934	-3.032776	3.057338	0.02456226	124.473
143	1	-17356.4	-17255.8	-100.657	-3.410527	3.58883	0.1783028	20.12773
144	0	-17354.9	-17255.6	-99.3427	-3.273492	3.300001	0.02650879	124.487
145	1	-17359.6	-17259.3	-100.335	-3.811113	3.958391	0.1472778	26.87703
146	0	-17357.6	-17258.3	-99.2247	-4.218	4.226785	0.008785263	481.1222
147	1	-17356.8	-17256	-100.839	-4.794143	4.851459	0.05731583	84.64432
148	0	-17365	-17262.9	-102.118	-2.834175	3.044606	0.2104313	14.46841
149	1	-17362.8	-17263.8	-99.0314	-4.236263	4.266149	0.02988613	142.7468
150	0	-17364.4	-17264.5	-99.8879	-3.361781	3.462509	0.1007272	34.37511
151	1	-17346.5	-17247.8	-98.7027	-3.634531	3.660656	0.02612458	140.1231
152	0	-17364.2	-17264.8	-99.4458	-4.190177	4.24813	0.05795298	73.30305
153	1	-17349.4	-17250.3	-99.1065	-4.316439	4.324585	0.008145617	530.9094
154	0	-17360.7	-17259.4	-101.274	-2.652016	2.678699	0.02668346	100.388
155	1	-17357.2	-17255.3	-101.973	-4.123541	4.384838	0.2612971	16.78105
156	0	-17362.6	-17262.4	-100.215	-4.590037	4.633448	0.04341101	106.7344
157	1	-17356.7	-17256.7	-99.975	-3.970574	4.095682	0.1251075	32.7373
158	0	-17361.7	-17261.9	-99.7309	-4.493438	4.526021	0.03258228	138.9105
159	1	-17351.5	-17253	-98.566	-3.931001	3.944703	0.01370215	287.8893
