Iteration	Replicate_ID	Posterior	Likelihood	Prior	diversification	extinction_rate	speciation_rate	turnover
0	0	-67894.9	-67637.9	-256.997	0.1264711	0.007258404	0.1337295	0.05427674
1	1	-66797.1	-66543.6	-253.501	0.1242761	0.02959452	0.1538706	0.1923338
2	0	-50991.1	-50765.9	-225.208	0.2446183	0.01185372	0.256472	0.04621838
3	1	-53214.9	-52984.1	-230.832	0.2287985	0.01167864	0.2404772	0.04856446
4	0	-37331.8	-37149.2	-182.561	0.4278449	0.02092703	0.4487719	0.04663176
5	1	-41496.4	-41300.6	-195.814	0.397408	0.02864032	0.4260483	0.06722318
6	0	-30107.2	-29958.9	-148.347	1.237932	0.03237661	1.270309	0.0254872
7	1	-31211.1	-31055.7	-155.39	1.123105	0.01162143	1.134726	0.01024162
8	0	-26419.1	-26286.1	-133.032	2.010353	0.03999688	2.05035	0.01950734
9	1	-25496.3	-25353.1	-143.196	1.725502	0.009190341	1.734693	0.005297964
10	0	-22991.9	-22866.7	-125.169	1.822699	0.05863017	1.881329	0.03116423
11	1	-21191.3	-21074.5	-116.743	2.125211	0.0162852	2.141497	0.007604589
12	0	-20714.7	-20599.6	-115.084	3.009335	0.02156225	3.030897	0.00711415
13	1	-19908.7	-19797.3	-111.464	3.1502	0.06742253	3.217622	0.02095415
14	0	-19661.1	-19551.3	-109.85	3.064765	0.03121709	3.095982	0.0100831
15	1	-18815.5	-18707	-108.525	2.539826	0.05910801	2.598934	0.02274317
16	0	-18863.2	-18755.4	-107.802	3.317309	0.03703445	3.354343	0.01104074
17	1	-18617.6	-18509.5	-108.023	2.489199	0.08283001	2.572029	0.03220416
18	0	-18807.1	-18700.1	-106.954	3.080742	0.02551769	3.106259	0.008214925
19	1	-18293.2	-18187.8	-105.381	2.940657	0.1757476	3.116404	0.05639434
20	0	-18661	-18555.4	-105.604	3.666872	0.06006725	3.726939	0.01611705
21	1	-18296.1	-18190.8	-105.3	2.640846	0.1199547	2.7608	0.04344923
22	0	-17860.5	-17758.8	-101.733	3.282349	0.0516076	3.333956	0.01547939
23	1	-18277.4	-18172.8	-104.59	3.695898	0.1443794	3.840278	0.03759609
24	0	-17804.8	-17702.6	-102.154	2.89725	0.08209592	2.979346	0.02755501
25	1	-18244.3	-18140.2	-104.084	3.340587	0.1487004	3.489287	0.04261626
26	0	-17744.8	-17644	-100.859	3.751082	0.07743107	3.828513	0.02022484
27	1	-18234.3	-18130.3	-104.079	3.524569	0.1506774	3.675246	0.04099792
28	0	-17751.7	-17648.6	-103.072	4.856413	0.05297392	4.909387	0.01079033
29	1	-18086.7	-17984.9	-101.755	3.332034	0.0259765	3.35801	0.007735682
30	0	-17739.8	-17638.6	-101.171	3.398505	0.1009799	3.499484	0.02885564
31	1	-18084.1	-17981.2	-102.948	2.823432	0.05597604	2.879408	0.01944012
32	0	-17740.4	-17638.3	-102.061	3.601974	0.163802	3.765776	0.04349755
33	1	-18079	-17976.2	-102.804	3.495009	0.1223457	3.617355	0.03382188
34	0	-17741.6	-17639.7	-101.958	3.460005	0.1757992	3.635804	0.04835221
35	1	-17856.2	-17753.8	-102.334	3.006728	0.1105646	3.117292	0.03546816
36	0	-17748.1	-17646.8	-101.307	3.201148	0.0996494	3.300797	0.03018949
