Iteration	Replicate_ID	Posterior	Likelihood	Prior	diversification	extinction_rate	speciation_rate	turnover
0	0	-66204.1	-65978.7	-225.417	0.2657799	0.0382051	0.303985	0.1256808
1	1	-68508.4	-68215.5	-292.923	-0.02560168	0.04472138	0.0191197	2.339021
2	0	-48596.7	-48403.2	-193.531	0.3699823	0.06461261	0.4345949	0.1486732
3	1	-59973.5	-59690.5	-283.051	0.02117989	0.04747198	0.06865187	0.6914885
4	0	-34527.7	-34373.3	-154.392	1.182403	0.08184909	1.264252	0.06474112
5	1	-49409	-49173.4	-235.657	0.1638892	0.04525553	0.2091447	0.2163838
6	0	-26374.9	-26248.7	-126.237	2.405293	0.05539813	2.460692	0.02251324
7	1	-38906.1	-38713	-193.121	0.374397	0.1329404	0.5073374	0.2620354
8	0	-21783.9	-21666.7	-117.248	2.844592	0.05105287	2.895645	0.01763091
9	1	-31123.6	-30958.6	-165.012	0.8222363	0.2474287	1.069665	0.2313142
10	0	-19053.7	-18941.8	-111.874	2.558845	0.01920512	2.57805	0.007449476
11	1	-24634.1	-24489.4	-144.74	0.8266481	0.6114607	1.438109	0.4251839
12	0	-18355.4	-18246.3	-109.12	3.566022	0.01098091	3.577003	0.003069865
13	1	-21580.6	-21456.7	-123.978	2.339926	0.5677802	2.907706	0.1952674
14	0	-17694.2	-17591.1	-103.034	3.118253	0.003686823	3.12194	0.00118094
15	1	-19983.4	-19862	-121.42	1.680389	0.6158471	2.296236	0.2681985
16	0	-17669.7	-17566.7	-103.018	2.988994	0.005637024	2.994631	0.001882377
17	1	-18511.8	-18402.8	-108.975	3.199129	0.1694373	3.368566	0.05029952
18	0	-17534.3	-17431.6	-102.697	3.062118	0.006219969	3.068338	0.002027146
19	1	-18122.3	-18015.8	-106.55	3.204711	0.1569942	3.361705	0.04670076
20	0	-17351.4	-17249.4	-102.002	3.46658	0.005293734	3.471874	0.001524748
21	1	-17705.6	-17600.3	-105.284	3.273049	0.07966701	3.352716	0.02376193
22	0	-17287.3	-17183.1	-104.166	4.914785	0.001557696	4.916343	0.0003168404
23	1	-17339.6	-17235.1	-104.539	3.429586	0.08925717	3.518844	0.02536549
24	0	-17288.5	-17187.1	-101.38	3.833064	0.002125877	3.83519	0.0005543082
25	1	-17302.3	-17193.7	-108.55	5.011232	0.0849991	5.096231	0.01667882
26	0	-17128.1	-17027.1	-101.011	3.728054	0.0005960797	3.728651	0.0001598647
27	1	-17060.8	-16958	-102.77	3.925403	0.1300534	4.055457	0.03206875
28	0	-17126.8	-17024.9	-101.866	2.908853	0.0008204312	2.909673	0.0002819668
29	1	-17044.8	-16942.7	-102.105	3.789698	0.1159092	3.905607	0.02967763
30	0	-17119.7	-17018.1	-101.588	4.184724	0.001681229	4.186405	0.0004015926
31	1	-17049.3	-16948.2	-101.077	3.717988	0.04366858	3.761657	0.01160887
32	0	-16683.3	-16584.3	-98.9342	3.586961	0.001065997	3.588027	0.0002970985
33	1	-17046.6	-16945.6	-100.959	3.122575	0.02298244	3.145558	0.007306317
34	0	-16694.8	-16595.5	-99.2425	4.131937	0.001311585	4.133249	0.0003173254
35	1	-17055.6	-16953.8	-101.716	2.844039	0.02374103	2.86778	0.00827854
36	0	-16694.3	-16595.1	-99.1785	4.062645	0.002882142	4.065527	0.0007089221
37	1	-17041.4	-16941.1	-100.357	3.695635	0.00637548	3.70201	0.001722167
38	0	-16680.4	-16581.4	-98.9923	3.60819	0.005795631	3.613986	0.001603667
39	1	-17044.7	-16944.5	-100.194	3.60093	0.003691705	3.604622	0.001024159
40	0	-16683.1	-16584	-99.0762	3.942036	0.01682168	3.958858	0.004249124
41	1	-17049.2	-16947.2	-101.984	4.614047	0.01754192	4.631589	0.003787452
42	0	-16681.8	-16581.1	-100.648	3.12478	0.1266644	3.251444	0.03895633
43	1	-17048.4	-16947.7	-100.715	3.869532	0.03900666	3.908539	0.009979857
