Iteration	Replicate_ID	Posterior	Likelihood	Prior	diversification	extinction_rate	speciation_rate	turnover
0	0	-68327.8	-68050.2	-277.574	0.000704398	0.03231444	0.03301884	0.9786668
1	1	-66886.1	-66626.7	-259.385	0.1228777	0.00560367	0.1284814	0.04361464
2	0	-58866.9	-58601.4	-265.531	-0.03861805	0.06884896	0.03023091	2.277436
3	1	-52198.5	-51963.1	-235.345	0.1479361	0.01332127	0.1612574	0.08260874
4	0	-49566.9	-49333.8	-233.068	-0.1605053	0.2074235	0.04691826	4.420955
5	1	-40409.6	-40208.6	-201.024	0.5763361	0.01878172	0.5951178	0.03155966
6	0	-36751.6	-36557.7	-193.936	-0.2854154	0.4131726	0.1277572	3.234045
7	1	-32291.6	-32127.8	-163.797	1.010224	0.05431968	1.064543	0.05102627
8	0	-30537.4	-30375.9	-161.46	-0.8085353	0.9643038	0.1557685	6.19062
9	1	-25266.3	-25134.1	-132.169	1.474349	0.04684062	1.521189	0.03079211
10	0	-25746.3	-25606	-140.28	-1.691249	1.751766	0.06051732	28.94653
11	1	-21482.3	-21360.9	-121.393	2.508552	0.01478466	2.523336	0.005859171
12	0	-21819.2	-21698.8	-120.423	-2.165693	2.226842	0.0611494	36.41642
13	1	-19371.1	-19256.5	-114.657	3.193301	0.0621923	3.255493	0.0191038
14	0	-19153.2	-19040.2	-112.989	-2.424581	2.572065	0.1474843	17.43959
15	1	-18745.4	-18631.2	-114.202	2.055914	0.08106037	2.136975	0.0379323
16	0	-18180.9	-18069.2	-111.751	-4.245714	4.35133	0.105616	41.19953
17	1	-18011.3	-17905.8	-105.482	2.78325	0.06545256	2.848702	0.02297627
18	0	-17865.3	-17757.6	-107.709	-2.729573	2.817291	0.08771833	32.11747
19	1	-17827.9	-17722.6	-105.277	3.979326	0.1158679	4.095194	0.02829363
20	0	-17746	-17633	-112.943	-1.978859	2.477821	0.4989619	4.965953
21	1	-17648.1	-17544	-104.125	3.48154	0.1890897	3.670629	0.05151424
22	0	-17715.2	-17604.9	-110.266	-3.328377	3.723626	0.3952486	9.420973
23	1	-17518.1	-17414.5	-103.668	3.647533	0.2070978	3.854631	0.05372702
24	0	-17112.7	-17008.8	-103.915	-3.485051	3.771366	0.2863151	13.17208
25	1	-17473.3	-17366.7	-106.627	3.751841	0.4202805	4.172122	0.1007354
26	0	-17106.9	-17005.1	-101.835	-3.769911	3.888309	0.1183983	32.84091
27	1	-17423.3	-17316.2	-107.164	3.185542	0.5115913	3.697133	0.1383752
28	0	-17093.7	-16991.5	-102.198	-3.603326	3.774024	0.1706975	22.10943
29	1	-17421.4	-17319	-102.397	3.356712	0.1181397	3.474851	0.0339985
30	0	-17085.6	-16984.3	-101.373	-3.559422	3.68736	0.1279373	28.8216
31	1	-17092.6	-16992.1	-100.507	3.813418	0.07046374	3.883882	0.0181426
32	0	-17085.4	-16983.7	-101.756	-3.400889	3.563364	0.1624749	21.93178
