Iteration	Replicate_ID	Posterior	Likelihood	Prior	diversification	extinction_rate	speciation_rate	turnover
0	0	-68702.6	-68439.3	-263.299	-0.05713068	0.08002097	0.02289029	3.495847
1	1	-69467.9	-69190	-277.851	-0.01741675	0.02041306	0.002996306	6.812742
2	0	-58938.4	-58688.8	-249.612	-0.1213993	0.1355116	0.01411238	9.602325
3	1	-60207.4	-59933.9	-273.582	-0.04905883	0.05439236	0.005333528	10.19819
4	0	-44609.2	-44393.8	-215.441	-0.1967176	0.20599	0.00927245	22.21527
5	1	-50130.6	-49893.1	-237.472	-0.1454942	0.1553782	0.00988393	15.72028
6	0	-32696.6	-32524.6	-172.06	-0.5941297	0.6328173	0.03868759	16.35711
7	1	-37657.2	-37465.9	-191.304	-0.4365801	0.4458547	0.009274602	48.07265
8	0	-27890.3	-27757	-133.282	-1.487054	1.52139	0.03433624	44.30859
9	1	-31268.8	-31109.7	-159.154	-1.085938	1.091741	0.005802743	188.1423
10	0	-22688.1	-22565.2	-122.859	-2.293379	2.425859	0.1324804	18.31108
11	1	-25249.4	-25105.5	-143.897	-1.406997	1.411616	0.004619056	305.6071
12	0	-20073.4	-19960.4	-113.013	-2.641868	2.737349	0.0954809	28.66908
13	1	-21579	-21454.7	-124.342	-1.892547	1.899046	0.006499158	292.1989
14	0	-18895.6	-18788.9	-106.759	-2.967915	3.089632	0.1217179	25.38354
15	1	-20142.3	-20028.1	-114.279	-1.960667	1.968584	0.007916897	248.656
16	0	-18131.1	-18025.9	-105.146	-3.912654	4.010149	0.09749444	41.13208
17	1	-19309	-19201.4	-107.552	-3.507313	3.518797	0.01148373	306.4159
18	0	-18013	-17909.6	-103.372	-3.61624	3.694245	0.0780049	47.35914
19	1	-19139.2	-19031.6	-107.585	-2.575711	2.67076	0.09504838	28.09895
20	0	-17980.4	-17877	-103.406	-3.531803	3.647771	0.1159679	31.455
21	1	-19083.6	-18977.1	-106.462	-3.027102	3.138707	0.1116055	28.12322
22	0	-17972.7	-17868.3	-104.376	-4.297323	4.403241	0.1059181	41.57214
23	1	-19070.5	-18964.9	-105.598	-3.444234	3.519746	0.07551195	46.61177
24	0	-17973.5	-17870.7	-102.793	-3.797698	3.859313	0.061615	62.63593
25	1	-19065.6	-18958.2	-107.443	-2.621645	2.817946	0.1963015	14.35519
26	0	-17962.3	-17859.1	-103.189	-3.915928	4.000672	0.08474314	47.20938
