Iteration	Posterior	Likelihood	Prior	diversification	extinction_rate	speciation_rate	turnover
0	-67900.4	-67627.7	-272.664	-0.02165058	0.05366955	0.03201897	1.67618
10	-55383.4	-55127.2	-256.154	-0.01607594	0.06317878	0.04710283	1.341295
20	-41941.5	-41718.7	-222.768	-0.1807728	0.2167156	0.03594277	6.029463
30	-32363.9	-32185.9	-178.074	-0.6043386	0.7264522	0.1221135	5.948989
40	-25089.2	-24956.6	-132.59	-1.578052	1.746573	0.1685209	10.36413
50	-21382.1	-21261.7	-120.422	-2.782383	2.952298	0.1699154	17.37511
60	-19137.6	-19023.6	-113.991	-2.442232	2.717332	0.2751007	9.87759
70	-18432.4	-18321.6	-110.762	-2.953707	3.088429	0.1347217	22.9245
80	-18230.1	-18121.1	-109.022	-2.974607	3.042062	0.06745546	45.09734
90	-18176.7	-18070	-106.662	-3.050642	3.104532	0.05389045	57.60821
100	-18168.3	-18062	-106.271	-3.330344	3.349695	0.0193515	173.0975
110	-18060.2	-17954.2	-106.002	-3.597407	3.628934	0.03152766	115.1032
120	-17529.3	-17425.8	-103.523	-2.588802	2.626598	0.03779611	69.49388
130	-17469.2	-17366.7	-102.479	-2.945576	3.026576	0.08100015	37.36507
140	-17407.6	-17306	-101.572	-3.949339	4.029655	0.08031645	50.17223
150	-17411.1	-17310	-101.075	-3.042094	3.066285	0.02419108	126.7527
160	-17401.8	-17300.2	-101.609	-4.23195	4.266443	0.03449279	123.6909
170	-17414	-17312.3	-101.643	-2.916168	2.935985	0.01981649	148.1586
180	-17399.9	-17298.6	-101.321	-3.014978	3.032285	0.01730661	175.2096
190	-17403.8	-17302.5	-101.282	-4.224755	4.254132	0.02937668	144.8132
200	-17400.8	-17297	-103.766	-4.702552	4.824879	0.1223269	39.44249
210	-17397.3	-17294.2	-103.072	-2.570661	2.608132	0.03747055	69.60485
220	-17400	-17298.5	-101.469	-3.483311	3.584614	0.1013031	35.38506
230	-17405.6	-17303.4	-102.236	-4.279422	4.35718	0.07775709	56.03578
240	-17394.7	-17293.7	-100.964	-3.888037	3.934743	0.04670547	84.24587
250	-17398.7	-17297	-101.715	-3.814154	3.90585	0.09169587	42.5957
260	-17399	-17296.2	-102.78	-3.46982	3.689895	0.2200743	16.76659
270	-17389.2	-17288.5	-100.783	-4.028886	4.070332	0.04144578	98.20858
280	-17392.9	-17292.6	-100.335	-3.804231	3.82842	0.0241894	158.2685
290	-17396.5	-17296.3	-100.13	-3.73294	3.754744	0.02180495	172.1969
300	-17394.4	-17294	-100.475	-3.623332	3.657205	0.03387361	107.9662
310	-17394.9	-17291	-103.975	-4.404165	4.61852	0.2143542	21.54621
320	-17390.4	-17288.8	-101.612	-3.349247	3.492943	0.1436963	24.30781
330	-17394.3	-17288.9	-105.397	-3.060276	3.521285	0.4610087	7.638218
340	-17389.4	-17288.4	-101.066	-3.983277	4.045562	0.06228569	64.95172
350	-17389.9	-17289.4	-100.505	-3.584715	3.638863	0.05414845	67.20161
360	-17387.4	-17287.2	-100.188	-3.530462	3.541554	0.0110922	319.2834
370	-17391.4	-17290.1	-101.271	-2.899051	2.904068	0.005016914	578.8554
