Iteration	Posterior	Likelihood	Prior	diversification	extinction_rate	speciation_rate	turnover
0	-66386.9	-66109.1	-277.839	0.03753371	0.08622565	0.1237594	0.6967202
10	-53491.4	-53242.4	-248.978	0.09183097	0.06402652	0.1558575	0.4108017
20	-40664.2	-40438.7	-225.549	0.1923448	0.03285672	0.2252016	0.1458992
30	-32041.7	-31869.3	-172.417	0.7387317	0.04975309	0.7884848	0.06309961
40	-24551.1	-24418.1	-132.958	1.464516	0.1196225	1.584138	0.07551267
50	-20897.6	-20777.9	-119.745	1.948773	0.02639577	1.975168	0.01336381
60	-18636	-18525.4	-110.607	2.859831	0.03389818	2.893729	0.01171436
70	-17723.1	-17614.2	-108.883	2.701159	0.08794712	2.789106	0.03153237
80	-17310.4	-17201.9	-108.505	2.468729	0.05830115	2.527031	0.02307101
90	-16823.1	-16718.7	-104.355	4.126328	0.07820316	4.204531	0.01859973
100	-16758.7	-16655.9	-102.778	3.431786	0.08642661	3.518212	0.02456549
110	-16639.9	-16538.4	-101.431	3.801605	0.05649559	3.858101	0.01464337
120	-16627.6	-16525	-102.526	3.535155	0.186869	3.722024	0.05020628
130	-16617.1	-16514.5	-102.641	2.839927	0.1409124	2.980839	0.04727271
140	-16604.7	-16503.6	-101.054	3.813375	0.08333988	3.896715	0.02138721
150	-16594.4	-16493.5	-100.89	3.927364	0.06692131	3.994286	0.01675426
160	-16555.6	-16453.8	-101.815	2.839557	0.09259023	2.932148	0.03157762
170	-16544.7	-16443.6	-101.074	4.254722	0.08323261	4.337954	0.01918706
180	-16270.2	-16172.4	-97.7475	3.942818	0.05613412	3.998952	0.01403721
190	-16256.3	-16157.6	-98.6717	4.609395	0.05012921	4.659525	0.01075844
200	-16250.1	-16152.7	-97.3882	3.928969	0.04002573	3.968995	0.0100846
210	-16256.9	-16157.5	-99.3733	4.033557	0.1752371	4.208794	0.04163595
220	-16249.7	-16149.5	-100.209	3.554162	0.2713531	3.825515	0.07093243
230	-16263.1	-16163.4	-99.7261	5.066011	0.06891351	5.134925	0.01342055
240	-16250.4	-16152.1	-98.2577	3.212567	0.0741424	3.28671	0.02255824
250	-16245.4	-16147.3	-98.1412	3.04593	0.03233138	3.078262	0.01050313
260	-16250.5	-16153.1	-97.3677	3.621164	0.05750347	3.678667	0.0156316
270	-16252.4	-16152.4	-99.9442	4.734918	0.1647367	4.899655	0.0336221
280	-16253.2	-16156.1	-97.1267	3.93526	0.0373114	3.972571	0.009392255
290	-16253.3	-16155.6	-97.623	3.29148	0.03877927	3.33026	0.01164452
300	-16240.7	-16143.1	-97.6604	4.620432	0.03459638	4.655029	0.007432045
310	-16241.4	-16142.3	-99.0696	2.795818	0.02729855	2.823116	0.009669649
320	-16243.5	-16145.7	-97.7779	3.269549	0.06010908	3.329659	0.01805263
330	-16240.2	-16142.7	-97.5149	4.176941	0.06240089	4.239342	0.01471947
340	-16245	-16144.1	-100.903	3.777103	0.3678225	4.144926	0.08874043
350	-16249.9	-16149	-100.923	2.886288	0.2785948	3.164883	0.08802689
360	-16260.9	-16161.6	-99.2958	4.238688	0.1832492	4.421937	0.04144093
370	-16249.2	-16151.2	-97.9582	4.113193	0.07837936	4.191573	0.01869927
380	-16244	-16146.7	-97.2394	3.892971	0.03821047	3.931182	0.009719844
390	-16249	-16150.7	-98.2873	4.805856	0.03918803	4.845044	0.008088272
400	-16243.4	-16145.3	-98.1546	3.485035	0.1155045	3.60054	0.03207977
410	-16246.9	-16148	-98.877	4.280023	0.1792753	4.459298	0.04020258
420	-16242.9	-16142.5	-100.364	3.086387	0.2798187	3.366206	0.08312584
430	-16243	-16146.1	-96.9208	4.043871	0.02871539	4.072586	0.007050899
440	-16248	-16148.3	-99.7084	3.938161	0.2631102	4.201272	0.06262632
450	-16250.5	-16153.7	-96.8216	3.464655	0.01170951	3.476365	0.00336832
460	-16252.5	-16155.3	-97.162	3.432295	0.02573162	3.458027	0.007441128
470	-16242.3	-16145.6	-96.7512	4.202784	0.0144375	4.217222	0.003423462
480	-16248.2	-16147.6	-100.631	4.471997	0.2739698	4.745967	0.05772686
490	-16240.2	-16142.4	-97.811	4.087497	0.1042848	4.191782	0.02487841
500	-16243.5	-16146.4	-97.1462	3.319032	0.007195559	3.326228	0.002163279
510	-16245.5	-16148.7	-96.8484	3.443645	0.004649977	3.448295	0.001348486
520	-16243.6	-16146.3	-97.3275	3.961469	0.07729216	4.038761	0.01913759
