Iteration	Posterior	Likelihood	Prior	diversification	extinction_rate	speciation_rate	turnover
0	-68701.2	-68427.1	-274.031	-0.008548157	0.08884197	0.08029381	1.106461
10	-54841	-54597.8	-243.204	-0.1240793	0.2200397	0.09596043	2.293025
20	-43770.2	-43558.7	-211.497	-0.2233337	0.2964694	0.07313564	4.053692
30	-34154.5	-33976.5	-177.946	-0.4260554	0.726601	0.3005456	2.417607
40	-26585.9	-26441.1	-144.765	-1.368967	1.881383	0.5124154	3.671597
50	-22213.1	-22079.3	-133.751	-1.938302	2.181021	0.242719	8.985788
60	-18931.8	-18805	-126.76	-1.939407	2.53384	0.5944327	4.262619
70	-18036.9	-17913.6	-123.26	-3.044747	3.187427	0.1426794	22.33978
80	-17440.5	-17334.3	-106.268	-2.920911	3.005467	0.0845553	35.54439
90	-16974.5	-16870.5	-104.015	-3.003589	3.050381	0.04679174	65.19058
100	-16957.5	-16853.3	-104.203	-2.777156	2.803338	0.02618203	107.0711
110	-16378.6	-16275	-103.611	-5.474472	5.48972	0.01524797	360.0296
120	-16330.7	-16231	-99.6725	-3.09295	3.100431	0.007480518	414.4674
130	-16315.4	-16216.2	-99.1994	-3.251813	3.259313	0.007499372	434.6114
140	-16307.9	-16209.4	-98.5255	-3.723757	3.728284	0.004527037	823.5593
150	-16306.6	-16207.9	-98.637	-3.704624	3.716207	0.01158324	320.8262
160	-16302.3	-16203.4	-98.8844	-4.339372	4.344857	0.005485161	792.1112
170	-16297.1	-16197.1	-99.9889	-4.865816	4.869461	0.003645537	1335.732
180	-16296.3	-16197.7	-98.6228	-3.418315	3.426332	0.008017088	427.3786
190	-16296.9	-16198.4	-98.4661	-4.136424	4.145115	0.008691087	476.9387
200	-16256.9	-16158	-98.8834	-4.56628	4.586049	0.0197688	231.9841
210	-16263.3	-16165	-98.332	-4.198795	4.220052	0.02125658	198.5292
220	-16259.4	-16161.4	-98.0005	-3.82562	3.845437	0.01981662	194.0511
230	-16273.8	-16174.4	-99.3463	-3.508306	3.645288	0.1369816	26.61151
240	-16261.3	-16161.2	-100.136	-2.960902	3.091883	0.1309813	23.60553
250	-16271.1	-16172.1	-99.0099	-3.65259	3.773513	0.1209232	31.20587
260	-16267.4	-16168.7	-98.7351	-3.611376	3.700972	0.08959543	41.3076
270	-16262.8	-16163.3	-99.5795	-3.195397	3.338088	0.1426919	23.39368
280	-16257.8	-16159.7	-98.0748	-4.161768	4.190053	0.02828482	148.1379
290	-16259.8	-16160.4	-99.3931	-4.731542	4.78131	0.04976792	96.07214
300	-16272.6	-16170.5	-102.159	-3.209434	3.587209	0.3777757	9.495607
