Iteration	Posterior	Likelihood	Prior	diversification	extinction_rate	speciation_rate	turnover
0	-68629.5	-68355	-274.526	-0.000384328	0.01541264	0.01502831	1.025574
10	-59107.2	-58850	-257.193	-0.09011363	0.1230272	0.03291352	3.737891
20	-46933.3	-46708	-225.314	-0.1475798	0.2653242	0.1177444	2.253391
30	-35584.2	-35394.5	-189.676	-0.2869956	0.495675	0.2086794	2.375294
40	-27735	-27576.1	-158.902	-0.8377469	0.9888383	0.1510914	6.544637
50	-22813.1	-22679.4	-133.735	-2.180731	2.511375	0.3306435	7.595415
60	-19516.6	-19394.8	-121.78	-1.91331	2.043105	0.1297951	15.741
70	-18082	-17972.9	-109.141	-2.650037	2.795742	0.145705	19.18768
80	-17646.1	-17541.2	-104.859	-2.814122	2.888214	0.07409138	38.98178
90	-17604.3	-17500.2	-104.12	-3.24642	3.331668	0.08524786	39.08213
100	-17361.5	-17256	-105.556	-4.578127	4.676821	0.09869427	47.38695
110	-17266.4	-17160.4	-105.961	-2.452348	2.703322	0.2509747	10.77129
120	-17240.3	-17132.7	-107.614	-2.903999	3.464824	0.560825	6.178084
130	-17235.8	-17133.3	-102.475	-3.457338	3.606795	0.1494566	24.13272
140	-17232.3	-17129.9	-102.411	-3.108295	3.221254	0.1129593	28.51694
150	-17237.4	-17131.4	-105.938	-2.276956	2.462392	0.1854362	13.27892
160	-17231.8	-17125.8	-106.058	-4.098632	4.457833	0.3592011	12.41041
170	-17235.9	-17131.9	-103.997	-3.7672	4.003609	0.2364087	16.93512
180	-17075.4	-16974.8	-100.56	-3.350849	3.41221	0.0613604	55.60932
190	-17074.3	-16974.2	-100.124	-3.946666	3.978929	0.03226346	123.3262
200	-17067.1	-16965.6	-101.451	-2.835136	2.875747	0.04061089	70.81221
210	-17074.9	-16974.3	-100.629	-3.019111	3.037286	0.01817553	167.1086
220	-17064.4	-16964.3	-100.068	-3.19415	3.197701	0.003551391	900.4081
230	-17071.3	-16971.1	-100.207	-3.145829	3.150928	0.005099608	617.8766
240	-17075.4	-16974.2	-101.227	-4.427199	4.479825	0.0526261	85.12553
250	-17072.7	-16972.2	-100.465	-3.774944	3.840764	0.06582018	58.35238
260	-17074.1	-16972.5	-101.549	-2.975172	3.081872	0.1067005	28.8834
270	-17072.1	-16971.5	-100.584	-4.270902	4.305062	0.03415997	126.0265
280	-17073.1	-16973	-100.062	-3.562895	3.606381	0.04348569	82.93258
290	-17080.6	-16980.5	-100.062	-3.813116	3.876419	0.06330275	61.23618
300	-17079.5	-16979.8	-99.6944	-3.660121	3.70221	0.0420888	87.96188
310	-17074.3	-16973.3	-101.021	-2.904453	2.966384	0.06193094	47.89825
320	-17078.4	-16976.6	-101.741	-3.153845	3.337467	0.183622	18.17574
330	-17037.9	-16935.1	-102.762	-3.038154	3.304725	0.2665716	12.39714
340	-17038.6	-16937.9	-100.684	-3.856442	3.942195	0.08575274	45.97165
350	-17041.6	-16941	-100.545	-3.870173	3.928893	0.05872032	66.90859
360	-17045.8	-16943.4	-102.453	-4.347285	4.487763	0.1404782	31.94632
370	-17042.3	-16940	-102.283	-2.691039	2.787402	0.09636268	28.92616
380	-17045.6	-16945.5	-100.115	-4.093412	4.112966	0.01955444	210.3341
390	-17033.1	-16933	-100.046	-3.234689	3.250313	0.01562434	208.0288
400	-17033.6	-16933	-100.571	-3.17046	3.227792	0.05733163	56.30037
410	-17030.9	-16930.4	-100.461	-3.388748	3.465794	0.0770451	44.98396
420	-17039.2	-16932.1	-107.078	-3.000365	3.656701	0.6563355	5.57139
430	-17022.2	-16921.6	-100.564	-3.168594	3.232709	0.06411457	50.42081
440	-16935.3	-16835.8	-99.4443	-3.281276	3.29268	0.01140364	288.7394
450	-16944.7	-16845.5	-99.2056	-3.794577	3.802436	0.00785923	483.8179
460	-16939.2	-16838.9	-100.369	-4.694121	4.695177	0.001055776	4447.134
470	-16937.9	-16838.9	-99.0186	-3.690209	3.690579	0.0003694776	9988.639
480	-16936.7	-16837.4	-99.2663	-3.321289	3.321801	0.0005116239	6492.662
490	-16942.3	-16841.5	-100.795	-4.526718	4.575438	0.04871936	93.91416
500	-16861.7	-16761.9	-99.8892	-4.230193	4.296485	0.06629216	64.81136
510	-16861	-16761.5	-99.5303	-3.441927	3.51485	0.07292251	48.19979
520	-16862.4	-16763	-99.4041	-3.67762	3.748352	0.07073197	52.99375
530	-16870.1	-16767.2	-102.926	-4.004772	4.330262	0.3254904	13.30381
540	-16865.9	-16765	-100.911	-3.671097	3.868238	0.197141	19.62169
550	-16863.7	-16763.3	-100.476	-2.813869	2.827605	0.01373587	205.8555
560	-16863.9	-16763.1	-100.794	-4.654923	4.711566	0.05664375	83.17893
570	-16863.2	-16763.4	-99.768	-3.702818	3.776105	0.07328725	51.52472
580	-16861.4	-16761.8	-99.5224	-3.867069	3.924286	0.05721702	68.58598
590	-16860.2	-16760.7	-99.5153	-4.256731	4.289954	0.03322244	129.1282
600	-16862.9	-16762.9	-99.9473	-4.416703	4.475651	0.05894742	75.92615
610	-16866.5	-16767.4	-99.0437	-3.422208	3.461283	0.03907466	88.58125
620	-16861	-16761.4	-99.547	-3.774357	3.851067	0.07670974	50.2031
630	-16857.2	-16757.2	-99.9827	-3.27604	3.396548	0.1205081	28.18523
640	-16865.4	-16764.1	-101.25	-3.103425	3.324344	0.220919	15.0478
650	-16855.4	-16756	-99.4158	-4.505829	4.520983	0.01515389	298.3381
660	-16859.3	-16760.1	-99.1947	-4.216873	4.275598	0.05872478	72.80739
670	-16865.5	-16766.5	-98.9215	-3.657877	3.714709	0.0568314	65.36366
680	-16870	-16768.7	-101.342	-4.743383	4.853596	0.1102133	44.03822
690	-16861.2	-16762.1	-99.1348	-3.727003	3.772232	0.04522881	83.40331
700	-16861.6	-16761.6	-99.9991	-4.617262	4.63425	0.01698847	272.788
710	-16851.6	-16752.2	-99.3654	-4.217202	4.238962	0.02175977	194.8072
720	-16857.3	-16757.2	-100.081	-2.968558	3.003282	0.03472404	86.49001
730	-16854.9	-16754.9	-99.9396	-3.029769	3.092425	0.06265539	49.35609
740	-16871.4	-16770.9	-100.479	-3.456866	3.635138	0.1782723	20.39093
750	-16877.2	-16778.5	-98.7372	-3.683901	3.713679	0.02977889	124.7085
760	-16858.3	-16758.5	-99.8306	-4.189537	4.276882	0.08734484	48.96548
770	-16863.6	-16764.2	-99.4221	-3.435322	3.514762	0.0794403	44.24407
780	-16856.4	-16756.1	-100.286	-2.825354	2.833633	0.008278782	342.2765
790	-16870.4	-16771.5	-98.8296	-3.716211	3.732168	0.01595662	233.8947
800	-16863.4	-16764.4	-99.0342	-3.578538	3.619948	0.04141003	87.41718
810	-16865.7	-16765.8	-99.9181	-3.770003	3.884292	0.1142892	33.98651
820	-16873.4	-16774.2	-99.1501	-3.981103	4.03332	0.05221715	77.24129
830	-16865	-16766.3	-98.7648	-3.521211	3.536031	0.01482007	238.5974
840	-16876	-16775.8	-100.297	-4.335282	4.429841	0.09455817	46.84778
850	-16862.4	-16762	-100.325	-3.378858	3.532602	0.1537436	22.97722
860	-16865.9	-16766.7	-99.2142	-3.458096	3.542176	0.08408011	42.12858
870	-16856.1	-16756.5	-99.6665	-2.949394	2.971603	0.02220877	133.8031
880	-16864.4	-16765.4	-98.9837	-3.307314	3.336319	0.02900544	115.0239
890	-16861.4	-16762.8	-98.6426	-4.197438	4.198195	0.0007573365	5543.368
900	-16865.9	-16765.9	-99.9703	-4.128297	4.220341	0.0920436	45.85153
910	-16867.4	-16767.4	-100.074	-4.691824	4.712695	0.02087013	225.8105
920	-16871.6	-16771.5	-100.178	-3.065581	3.155265	0.0896843	35.18191
930	-16866.1	-16767.2	-98.8965	-3.961787	3.974813	0.01302587	305.1476
