Iteration	Posterior	Likelihood	Prior	diversification	extinction_rate	speciation_rate	turnover
0	-67832.2	-67557.3	-274.897	-0.0198688	0.03225933	0.01239052	2.603548
10	-56328	-56061.6	-266.342	-0.03456839	0.04986565	0.01529727	3.259775
20	-44157.4	-43913.6	-243.815	-0.03872083	0.08730246	0.04858163	1.797026
30	-31334.1	-31150	-184.054	-0.5910983	0.62767	0.03657168	17.16273
40	-25883.9	-25747.9	-135.966	-1.561371	1.623437	0.06206636	26.15648
50	-21734	-21612.5	-121.411	-2.327556	2.365493	0.03793727	62.35274
60	-19531.8	-19417.9	-113.836	-2.83982	2.895081	0.05526099	52.38922
70	-18743.9	-18632.8	-111.099	-3.261849	3.284939	0.02309045	142.264
80	-17636.5	-17534.3	-102.213	-4.045984	4.062459	0.01647498	246.5836
90	-17548.2	-17447	-101.207	-3.905184	3.912657	0.007473053	523.5687
100	-17541.3	-17439	-102.256	-4.555595	4.566188	0.0105925	431.0772
110	-17542.2	-17441.1	-101.01	-4.307375	4.315821	0.008446444	510.9631
120	-17516.8	-17416.2	-100.69	-4.170289	4.175211	0.004922078	848.2619
130	-17521.8	-17421	-100.793	-3.109503	3.115951	0.006447955	483.2464
140	-17521.9	-17421.1	-100.81	-4.172903	4.180277	0.007374646	566.8445
150	-17524.7	-17424.3	-100.376	-3.294559	3.298683	0.004123814	799.9106
160	-17408.3	-17308.3	-99.9341	-3.397937	3.409651	0.01171383	291.079
170	-17402.5	-17302.4	-100.013	-3.458153	3.464047	0.005893107	587.8133
180	-17409.9	-17309.7	-100.198	-3.326447	3.337633	0.01118625	298.3692
190	-17234.2	-17134.4	-99.7986	-3.93363	3.935964	0.002333401	1686.792
200	-17229.4	-17129.3	-100.108	-4.175332	4.181018	0.005686525	735.2501
210	-17235.1	-17135.3	-99.8219	-3.704675	3.707587	0.00291197	1273.223
220	-17232.8	-17132.2	-100.665	-4.100333	4.143502	0.04316849	95.98439
230	-17229.2	-17128.5	-100.697	-3.416035	3.50753	0.09149488	38.3358
240	-17234.1	-17132.4	-101.689	-2.703101	2.728155	0.0250533	108.894
250	-17236.9	-17136.2	-100.785	-4.37938	4.388312	0.008931789	491.3139
260	-17229.5	-17129.5	-100.079	-3.313496	3.356173	0.04267751	78.64033
270	-17228.4	-17126.5	-101.916	-4.359765	4.479294	0.1195287	37.47465
280	-17226.5	-17124.9	-101.637	-3.295641	3.474857	0.1792163	19.38918
290	-17227.9	-17125.2	-102.712	-4.85366	4.930115	0.07645469	64.48414
300	-17229.7	-17128.9	-100.742	-3.767537	3.868073	0.1005356	38.47465
310	-17235.9	-17132.5	-103.389	-3.392381	3.726816	0.334435	11.14362
320	-17224.9	-17124.8	-100.165	-3.850025	3.91201	0.06198515	63.11205
330	-17221.4	-17121.8	-99.6353	-3.382385	3.41457	0.032185	106.092
340	-17228.5	-17127	-101.508	-3.071014	3.226125	0.1551108	20.79883
350	-17222.3	-17122.3	-100.016	-3.61529	3.67019	0.05489945	66.85294
360	-17230.7	-17130.8	-99.839	-3.60449	3.64013	0.03564065	102.1342
370	-17212.5	-17112.4	-100.059	-3.291419	3.33879	0.04737126	70.48136
380	-17213.5	-17108.9	-104.601	-3.079957	3.507556	0.4275992	8.202906
390	-17205.9	-17102	-103.915	-2.568833	2.804682	0.2358495	11.89183
400	-17194.1	-17093.7	-100.322	-3.611374	3.69827	0.08689652	42.55947
410	-17020.3	-16919.7	-100.534	-3.936248	4.091637	0.1553894	26.3315
420	-17028.3	-16927.5	-100.772	-4.820913	4.865171	0.04425772	109.9282
430	-17025.2	-16925.4	-99.7462	-3.763958	3.87517	0.1112119	34.84491
440	-17026.9	-16926.8	-100.102	-3.425237	3.551737	0.1264994	28.0771
450	-17025.2	-16924.2	-100.995	-3.44812	3.653661	0.2055412	17.77581
460	-17017.6	-16918.8	-98.8063	-3.546724	3.572895	0.0261711	136.5206
470	-17020.5	-16921.7	-98.7696	-3.607804	3.632948	0.02514403	144.4855
480	-17018.6	-16918.8	-99.8461	-3.201437	3.297753	0.09631505	34.23922
490	-17017	-16917.6	-99.388	-4.327779	4.379207	0.05142716	85.15357
500	-17015.4	-16915.5	-99.9133	-4.233488	4.330443	0.09695567	44.66416
510	-17018.9	-16917.3	-101.553	-2.830543	3.026903	0.1963607	15.41502
520	-17023.7	-16925	-98.7174	-4.27862	4.297125	0.01850466	232.2185
530	-17014.4	-16914.7	-99.6757	-4.041011	4.160921	0.11991	34.70037
540	-17014.2	-16914.8	-99.445	-3.990848	4.10669	0.1158416	35.45091
550	-17021.8	-16923.2	-98.5606	-3.681291	3.724625	0.043334	85.95157
560	-17023.1	-16924.2	-98.8809	-3.334403	3.375887	0.04148395	81.37814
570	-17017.3	-16916.5	-100.83	-2.760789	2.859587	0.09879826	28.9437
580	-17017	-16918.6	-98.3704	-3.856496	3.885183	0.02868735	135.4319
