Iteration	Posterior	Likelihood	Prior	diversification	extinction_rate	speciation_rate	turnover
0	-69239.9	-68963.5	-276.476	0.04258481	0.03485317	0.07743798	0.4500785
10	-56902.4	-56652.9	-249.466	0.1279535	0.02156746	0.149521	0.1442437
20	-42374.2	-42157.4	-216.784	0.2295451	0.05181526	0.2813603	0.1841598
30	-32292.1	-32107.8	-184.256	-0.3246186	0.7947617	0.470143	1.690468
40	-28074.3	-27918	-156.314	-0.63289	1.169747	0.5368575	2.178879
50	-23741.2	-23602.6	-138.615	-1.203812	1.592525	0.3887128	4.096919
60	-21267.6	-21143.5	-124.139	-2.253941	2.426255	0.1723133	14.08049
70	-20186.9	-20063.8	-123.041	-1.590957	1.853748	0.2627903	7.054096
80	-19470.9	-19350.4	-120.512	-2.771668	3.075874	0.3042067	10.11113
90	-18536.1	-18427.4	-108.742	-3.019966	3.242011	0.2220447	14.60071
100	-18487.6	-18377.6	-110.003	-3.739802	3.99687	0.2570678	15.54792
110	-18182.9	-18077.9	-104.974	-3.813859	3.893807	0.07994813	48.70417
120	-18174.1	-18070.3	-103.865	-3.435905	3.493868	0.05796304	60.27752
130	-18123.9	-18020	-103.986	-2.963774	3.0136	0.04982602	60.48245
140	-18055.4	-17952.3	-103.058	-2.922291	2.938318	0.01602681	183.3376
150	-18053.9	-17951	-102.884	-3.212527	3.257785	0.04525747	71.98337
160	-17477.3	-17376.3	-100.924	-4.001377	4.043972	0.042595	94.94008
170	-17466.5	-17365.6	-100.87	-3.527158	3.579978	0.05282014	67.77676
180	-17459.4	-17358.4	-101.004	-4.166744	4.197861	0.03111664	134.9073
190	-17457.1	-17354.3	-102.874	-2.550314	2.56955	0.01923564	133.5828
200	-17433	-17332.3	-100.726	-4.076493	4.096964	0.02047055	200.1394
210	-17436.9	-17335.8	-101.148	-4.055052	4.10757	0.05251785	78.21284
220	-17446.6	-17345.8	-100.846	-4.038371	4.055696	0.01732491	234.0962
230	-17436.4	-17334.8	-101.608	-3.032136	3.102362	0.07022649	44.17652
240	-17432.2	-17331.6	-100.596	-3.337201	3.356735	0.01953464	171.835
250	-17380.9	-17279.7	-101.23	-4.196469	4.230476	0.03400687	124.4006
260	-17373.2	-17272.8	-100.39	-3.619624	3.647899	0.02827466	129.0165
270	-17372.1	-17270.6	-101.528	-3.217257	3.322526	0.1052684	31.56243
280	-17369.6	-17267.9	-101.716	-3.318012	3.444181	0.1261695	27.29806
290	-17364.4	-17263.3	-101.145	-3.185475	3.256864	0.07138963	45.62097
300	-17365.3	-17263.3	-102.039	-3.152289	3.312412	0.1601234	20.68662
310	-17368.9	-17267	-101.923	-2.756067	2.804092	0.04802462	58.38863
320	-17358.9	-17258.8	-100.166	-3.637451	3.664075	0.0266236	137.6251
330	-17365.2	-17262.4	-102.77	-4.104264	4.311428	0.2071633	20.81173
340	-17371.2	-17268.1	-103.143	-4.122514	4.335992	0.2134779	20.3112
350	-17370.7	-17269.1	-101.579	-3.64967	3.780818	0.1311479	28.82865
360	-17363.8	-17263.7	-100.13	-3.558883	3.575954	0.01707128	209.472
370	-17368.8	-17267.3	-101.466	-3.842356	3.943045	0.1006882	39.16094
380	-17368.5	-17266.2	-102.33	-3.773677	3.95457	0.1808932	21.86135
390	-17369.5	-17266.3	-103.227	-4.322002	4.492092	0.1700904	26.41002
400	-17361.1	-17259.8	-101.308	-4.266669	4.324172	0.05750363	75.19825
410	-17367.3	-17266.8	-100.518	-3.919917	3.939507	0.01958993	201.0986
420	-17361	-17260.9	-100.126	-3.614949	3.633312	0.01836331	197.8571
430	-17364.1	-17262.1	-102.026	-4.512146	4.577146	0.06499961	70.41804
440	-17364.9	-17262.4	-102.522	-3.240585	3.444741	0.2041563	16.87305
450	-17360.9	-17259.7	-101.166	-3.61644	3.730442	0.114002	32.72259
460	-17368.9	-17265.8	-103.13	-3.678823	3.931419	0.2525957	15.56408
470	-17358.5	-17257.3	-101.16	-3.127058	3.212996	0.08593859	37.38712
480	-17363.2	-17262.6	-100.651	-3.130731	3.183301	0.05257032	60.55319
490	-17363	-17263.1	-99.9231	-3.360844	3.380092	0.01924823	175.6053
500	-17357.8	-17256.8	-101.033	-3.24358	3.344321	0.1007409	33.19725
510	-17359.9	-17259.1	-100.792	-3.289847	3.38649	0.09664273	35.04133
520	-17362.5	-17261.8	-100.739	-3.494883	3.59557	0.1006867	35.71047
530	-17377.6	-17277.8	-99.8134	-3.876324	3.881	0.004675559	830.0612
540	-17367.2	-17267.4	-99.7419	-3.458282	3.474772	0.01648934	210.7284
550	-17357.3	-17257.3	-99.9949	-3.288332	3.295032	0.006700808	491.7366
560	-17362.7	-17261.4	-101.326	-2.935803	2.992618	0.0568142	52.67376
570	-17362.6	-17260	-102.599	-2.789245	2.941072	0.1518268	19.37123
580	-17364.1	-17261.3	-102.805	-4.216796	4.380076	0.16328	26.82556
590	-17371.7	-17270.3	-101.383	-3.957652	4.050125	0.09247354	43.79766
600	-17361.4	-17259.4	-101.96	-3.378451	3.559783	0.1813325	19.63125
610	-17362.7	-17262.6	-100.057	-3.903173	3.926224	0.0230507	170.3299
620	-17369.4	-17269.1	-100.332	-3.384954	3.423158	0.0382038	89.60256
630	-17370.8	-17269.9	-100.866	-4.337052	4.359177	0.02212561	197.0196
640	-17365.3	-17264.2	-101.131	-3.303726	3.431149	0.1274231	26.92721
650	-17365.8	-17263.7	-102.121	-3.286393	3.484873	0.1984799	17.55782
660	-17365.7	-17266	-99.7235	-3.863641	3.872077	0.008436056	458.9914
670	-17370.3	-17269.7	-100.588	-4.392817	4.396274	0.003457674	1271.454
680	-17364.3	-17264.4	-99.8361	-3.690522	3.713298	0.02277622	163.034
690	-17365	-17263.8	-101.265	-4.196662	4.278507	0.08184433	52.27615
700	-17357.5	-17257.5	-99.9777	-4.018774	4.026361	0.007586193	530.7485
710	-17363	-17263	-99.9703	-3.60586	3.630585	0.0247249	146.8392
720	-17362.5	-17262.1	-100.413	-3.173032	3.189085	0.01605359	198.6525
730	-17359.9	-17258.9	-101.008	-3.36503	3.452123	0.08709267	39.63735
740	-17360.3	-17258.4	-101.937	-3.477499	3.656175	0.1786769	20.4625
750	-17363.5	-17263.4	-100.062	-3.753151	3.768326	0.01517558	248.3151
760	-17366.8	-17265.4	-101.37	-3.033725	3.140428	0.1067026	29.43161
770	-17220.2	-17120.7	-99.4835	-4.163385	4.188088	0.02470278	169.5391
780	-17222.6	-17123.6	-99.0504	-3.776856	3.795714	0.01885823	201.2763
790	-17223.7	-17121.4	-102.318	-3.279803	3.568235	0.2884318	12.37115
800	-17220.3	-17119.6	-100.665	-3.713511	3.856529	0.143018	26.96533
810	-17227.3	-17128.2	-99.1164	-3.39846	3.417742	0.01928128	177.257
820	-17220.9	-17120.8	-100.045	-4.157774	4.22421	0.06643592	63.58322
830	-17227.8	-17128.4	-99.3839	-3.524741	3.563289	0.03854737	92.43921
840	-17228.9	-17127.5	-101.46	-4.830519	4.865816	0.03529685	137.8541
850	-17228.3	-17129.3	-99.0248	-3.626495	3.639624	0.01312944	277.2109
860	-17221.5	-17120.3	-101.297	-4.979604	4.996747	0.01714302	291.4741
870	-17228.5	-17129.4	-99.0009	-3.571195	3.584328	0.01313363	272.9122
880	-17224.9	-17125.9	-98.9687	-4.112346	4.125392	0.01304624	316.2131
890	-17221.9	-17122.9	-99.0044	-4.062106	4.077592	0.01548619	263.3051
900	-17221.4	-17119.5	-101.904	-2.748325	2.897808	0.1494825	19.3856
910	-17231	-17130.6	-100.391	-4.698742	4.712255	0.01351325	348.7138
920	-17235.6	-17135	-100.59	-3.51811	3.65483	0.13672	26.73223
930	-17230.6	-17131.8	-98.8092	-3.660951	3.661594	0.0006423547	5700.268
940	-17230.4	-17130	-100.367	-4.044064	4.143714	0.09964969	41.58281
950	-17224.6	-17124.7	-99.8728	-3.763624	3.854041	0.09041755	42.62493
960	-17227.2	-17127.9	-99.302	-3.737532	3.790321	0.05278865	71.80181
970	-17230.7	-17131.5	-99.2058	-3.771042	3.825884	0.05484231	69.76155
980	-17232.2	-17132.9	-99.2509	-4.025111	4.048369	0.02325844	174.0602
990	-17245.4	-17141.6	-103.718	-4.370686	4.651023	0.2803366	16.59085
1000	-17235.3	-17134.4	-100.846	-4.155682	4.264682	0.1089996	39.12567
1010	-17237.1	-17137	-100.157	-3.210292	3.272725	0.06243309	52.41972
1020	-17228.3	-17129.2	-99.1026	-3.568286	3.57666	0.008373359	427.1476
1030	-17229.7	-17127.7	-101.979	-2.708825	2.811005	0.1021799	27.51035
1040	-17232.2	-17128	-104.162	-3.110973	3.522535	0.4115623	8.558935
1050	-17224.8	-17124.2	-100.641	-3.374959	3.490376	0.1154171	30.24141
1060	-17235.4	-17136.1	-99.3082	-3.762681	3.76561	0.002929684	1285.33
1070	-17237.8	-17137.5	-100.258	-3.153947	3.22444	0.07049248	45.74161
1080	-17232	-17132.6	-99.3512	-3.427443	3.44694	0.01949661	176.7969
1090	-17232.4	-17132.4	-99.9466	-4.269891	4.303262	0.03337099	128.9522
1100	-17227	-17126.1	-100.946	-2.766922	2.776547	0.009625171	288.4673
1110	-17228.7	-17129	-99.6876	-3.499663	3.571285	0.07162245	49.86266
1120	-17221.6	-17122.8	-98.7731	-3.69739	3.703734	0.006343869	583.8289
1130	-17228.9	-17129.8	-99.1829	-4.231889	4.241603	0.009714851	436.6102
1140	-17225.7	-17126.3	-99.3873	-3.602017	3.635999	0.03398174	106.9986
1150	-17224.6	-17125.1	-99.4944	-4.177114	4.1829	0.00578551	722.9958
1160	-17227.5	-17127.9	-99.6296	-3.781195	3.834577	0.05338272	71.83181
1170	-17237.1	-17132.2	-104.858	-4.900946	5.152417	0.251471	20.48911
1180	-17230.5	-17129.6	-100.832	-4.113779	4.238437	0.1246579	34.00055
1190	-17227.3	-17126.3	-100.994	-4.580865	4.628481	0.0476159	97.20454
1200	-17233.9	-17133.7	-100.245	-3.493002	3.597055	0.1040525	34.5696
1210	-17224	-17124	-100.003	-4.117731	4.175343	0.0576124	72.473
1220	-17234.6	-17132.4	-102.244	-3.892089	4.146962	0.2548732	16.27069
1230	-17221.1	-17121.4	-99.6515	-3.723378	3.792398	0.06902038	54.94607
1240	-17228.5	-17126.7	-101.765	-3.209456	3.440357	0.2309013	14.89968
1250	-17221.1	-17121.4	-99.7485	-3.27615	3.324114	0.0479638	69.30464
1260	-17217.8	-17115.9	-101.877	-2.68486	2.764293	0.07943307	34.80029
1270	-17212.4	-17112.6	-99.8828	-3.705362	3.790482	0.0851198	44.53114
1280	-17214.8	-17115.2	-99.5956	-3.707631	3.768185	0.06055377	62.22875
1290	-17212.7	-17112.9	-99.8151	-4.416725	4.419634	0.002909033	1519.28
1300	-17212.3	-17112.4	-99.8518	-4.08881	4.136836	0.04802574	86.13789
1310	-17209.1	-17109.7	-99.3792	-4.23782	4.244502	0.006681816	635.2318
1320	-17207.9	-17108.8	-99.0466	-3.942954	3.953725	0.01077101	367.0709
1330	-17213.7	-17113.7	-99.9902	-3.43797	3.53092	0.09295024	37.98721
1340	-17209.1	-17107.1	-102.001	-4.8988	4.978477	0.07967761	62.48277
1350	-17211.5	-17112.1	-99.4028	-4.052496	4.098013	0.04551686	90.03286
1360	-17211.6	-17111.6	-99.9794	-3.772737	3.864751	0.09201474	42.00144
1370	-17214.3	-17114.9	-99.3922	-3.628911	3.65963	0.0307195	119.1305
1380	-17211.4	-17111.2	-100.174	-3.976975	4.054493	0.07751818	52.30377
1390	-17208.1	-17107.3	-100.733	-3.059376	3.167832	0.1084565	29.20832
1400	-17210.1	-17110.7	-99.4094	-4.094339	4.128306	0.0339676	121.5366
1410	-17208.7	-17109.2	-99.4885	-3.258412	3.286387	0.0279755	117.4738
1420	-17216.2	-17114.3	-101.874	-5.170171	5.17684	0.006669254	776.2248
1430	-17218.9	-17118.9	-100.057	-4.230043	4.299582	0.06953874	61.83002
1440	-17213.5	-17114.3	-99.2518	-4.09835	4.116032	0.01768192	232.782
1450	-17208.1	-17105	-103.111	-2.558693	2.734219	0.1755263	15.57726
1460	-17213.6	-17114.3	-99.239	-3.852972	3.889488	0.03651656	106.513
1470	-17211.8	-17112.6	-99.1488	-4.23447	4.243633	0.009162318	463.1615
1480	-17220	-17119.7	-100.232	-3.640825	3.776248	0.1354224	27.88495
1490	-17220.1	-17119.1	-101.012	-3.740125	3.915199	0.1750743	22.36308
1500	-17212.3	-17113.6	-98.7109	-3.893115	3.894461	0.00134582	2893.745
1510	-17213.8	-17113.3	-100.538	-3.5134	3.671412	0.1580118	23.23505
1520	-17215.8	-17115.9	-99.9375	-4.249982	4.308943	0.05896104	73.08119
1530	-17204.9	-17104.9	-100.064	-3.040223	3.113725	0.07350198	42.36247
1540	-17209.7	-17107.8	-101.815	-3.210832	3.461976	0.2511436	13.78484
1550	-17208.1	-17107.8	-100.376	-3.282169	3.39523	0.1130609	30.0301
1560	-17210.3	-17111.4	-98.9061	-3.836822	3.837755	0.0009333354	4111.871
1570	-17202.3	-17102.9	-99.3789	-4.159071	4.174065	0.01499376	278.3868
1580	-17206.3	-17105.5	-100.799	-2.762286	2.78429	0.02200401	126.5355
1590	-17202.9	-17104	-98.9501	-3.803179	3.825568	0.02238951	170.8644
1600	-17207.5	-17108.5	-98.9893	-3.464535	3.480695	0.01615917	215.4006
1610	-17205.8	-17104.6	-101.152	-4.716759	4.808764	0.09200511	52.26627
1620	-17207.2	-17105.7	-101.415	-3.087774	3.285402	0.197628	16.62417
1630	-17203.2	-17104.6	-98.6211	-3.889112	3.900214	0.01110231	351.2976
1640	-17204.2	-17102.7	-101.536	-3.731483	3.971237	0.2397534	16.56384
1650	-17208.9	-17108	-100.94	-3.057529	3.20015	0.142621	22.43814
1660	-17202.5	-17101.2	-101.361	-3.475745	3.703032	0.2272867	16.29234
1670	-17222.5	-17123.7	-98.8048	-3.537663	3.541391	0.00372855	949.804
1680	-17215.6	-17115.9	-99.6743	-4.070312	4.126297	0.05598476	73.70393
